"지점명","지번","lon","lat"
"잠실점","서울 송파구 잠실동 40-1",127.0980274,37.5112348
"본점","서울 중구 소공동 1",126.981369,37.5649903
"강남점","서울 강남구 대치동 937",127.0532731,37.4969255
"영등포점","서울 영등포구 영등포동 618-496",126.9066823,37.5154709
"노원점","서울 노원구 상계동 713 롯데백화점노원점",127.0612826,37.6552207
"스타시티점","서울 광진구 자양동 227-342",127.0710831,37.5387765
"청량리점","서울 동대문구 전농동 588-1",127.0464431,37.579245
"에비뉴엘 월드타워점","서울 송파구 신천동 29 롯데백화점에비뉴엘월드타워점",127.103495,37.5130605
"관악점","서울 관악구 봉천동 729-22 롯데백화점관악점",126.9250324,37.4904876
"미아점","서울 강북구 미아동 70-6",127.0305098,37.6145502
"에비뉴엘","서울 중구 소공동 7 롯데백화점에비뉴엘",126.9819274,37.5648464
"영플라자명동점","서울 중구 소공동 123",126.9817548,37.5635033
"김포공항점","서울 강서구 방화동 886 롯데백화점김포공항점",126.8030529,37.5628262
"잠실점","서울 송파구 잠실동 40-1",127.0980274,37.5112348
"본점","서울 중구 소공동 1",126.981369,37.5649903
"강남점","서울 강남구 대치동 937",127.0532731,37.4969255
"영등포점","서울 영등포구 영등포동 618-496",126.9066823,37.5154709
"노원점","서울 노원구 상계동 713 롯데백화점노원점",127.0612826,37.6552207
"스타시티점","서울 광진구 자양동 227-342",127.0710831,37.5387765
"청량리점","서울 동대문구 전농동 588-1",127.0464431,37.579245
"에비뉴엘 월드타워점","서울 송파구 신천동 29 롯데백화점에비뉴엘월드타워점",127.103495,37.5130605
"관악점","서울 관악구 봉천동 729-22 롯데백화점관악점",126.9250324,37.4904876
"미아점","서울 강북구 미아동 70-6",127.0305098,37.6145502
"에비뉴엘","서울 중구 소공동 7 롯데백화점에비뉴엘",126.9819274,37.5648464
"영플라자명동점","서울 중구 소공동 123",126.9817548,37.5635033
"김포공항점","서울 강서구 방화동 886 롯데백화점김포공항점",126.8030529,37.5628262
"잠실점","서울 송파구 잠실동 40-1",127.0980274,37.5112348
"본점","서울 중구 소공동 1",126.981369,37.5649903
"강남점","서울 강남구 대치동 937",127.0532731,37.4969255
"영등포점","서울 영등포구 영등포동 618-496",126.9066823,37.5154709
"노원점","서울 노원구 상계동 713 롯데백화점노원점",127.0612826,37.6552207
"스타시티점","서울 광진구 자양동 227-342",127.0710831,37.5387765
"청량리점","서울 동대문구 전농동 588-1",127.0464431,37.579245
"에비뉴엘 월드타워점","서울 송파구 신천동 29 롯데백화점에비뉴엘월드타워점",127.103495,37.5130605
"관악점","서울 관악구 봉천동 729-22 롯데백화점관악점",126.9250324,37.4904876
"미아점","서울 강북구 미아동 70-6",127.0305098,37.6145502
"에비뉴엘","서울 중구 소공동 7 롯데백화점에비뉴엘",126.9819274,37.5648464
"영플라자명동점","서울 중구 소공동 123",126.9817548,37.5635033
"김포공항점","서울 강서구 방화동 886 롯데백화점김포공항점",126.8030529,37.5628262
