"지점","도로명","지번","lon","lat"
"가든5점","서울특별시 송파구 충민로 10","서울특별시 송파구 문정동 628",127.1238462,37.4851331
"가양점","서울 강서구 양천로 559","서울특별시 강서구 가양동 449-19",126.8622978,37.5578966
"구로점","서울 구로구 디지털로 32길 43","서울특별시 구로구 구로동 188-26",126.89788,37.4843537
"마포점","서울특별시 마포구 백범로 212","서울특별시 마포구 신공덕동 173",126.9532728,37.54909
"명일점","서울 강동구 고덕로 276","서울특별시 강동구 명일동 46-4",127.1557517,37.5546516
"목동점","서울특별시 양천구 오목로 299","서울특별시 양천구 목동 962",126.8703272,37.5257763
"묵동점","서울특별시 중랑구 동일로 932","서울특별시 중랑구 묵동 170-1",127.0775029,37.613797
"미아점","서울특별시 성북구 도봉로 17 (길음동)","서울특별시 성북구 길음동 25-2",127.0296051,37.6108648
"상봉점","서울 중랑구 상봉로 118","서울특별시 중랑구 망우동 506-1",127.0935903,37.596438
"성수점","서울 성동구 뚝섬로 379","서울특별시 성동구 성수동2가 333-16",127.0531674,37.5399389
"수색점","서울 은평구 수색로 217 (수색동 디엠씨 자이1단지(DMC 자이1))","서울 은평구 수색동 75",126.8987214,37.5795991
"수서점","서울특별시 강남구 광평로 280","서울특별시 강남구 수서동 724",127.1031088,37.4872829
"신도림점","서울특별시 구로구 새말로 97 테크노마트 지하2층","서울특별시 구로구 구로동 3-25",126.8902185,37.5070431
"신월점","서울특별시 양천구 화곡로 59","서울특별시 양천구 신월동 26",126.8285127,37.5397142
"양재점","서울특별시 서초구 매헌로 16","서울특별시 서초구 양재동 215",127.0369582,37.4629528
"여의도점","서울특별시 영등포구 여의동로3길 10","서울특별시 영등포구 여의도동 47",126.9261297,37.5181371
"역삼점","서울특별시 강남구 역삼로 310","서울특별시 강남구 역삼동 755",127.048424,37.4992239
"영등포점","서울특별시 영등포구 영중로 15","서울특별시 영등포구 영등포동4가 442",126.9041419,37.517007
"왕십리점","서울특별시 성동구 왕십리광장로 17 이마트 왕십리점","서울특별시 성동구 행당동 168-151",127.0384407,37.5592833
"용산점","서울특별시 용산구 한강대로23길 55","서울특별시 용산구 한강로3가 40-999",126.9640447,37.5288539
"월계점","서울특별시 노원구 마들로3길 15","서울특별시 노원구 월계동 333-1",127.0619091,37.62644
"은평점","서울 은평구 은평로 111 이마트 은평점","서울 은평구 응암동 90-1",126.9202568,37.6003893
"이문점","서울특별시 동대문구 이문로 136","서울특별시 동대문구 이문동 292-10",127.0618484,37.5984506
"이수점","서울특별시 동작구 사당로 300 이수자이 B1","서울특별시 동작구 사당동 147-29 이수자이 B1",126.9804085,37.4839828
"자양점","서울특별시 광진구 아차산로 272","서울특별시 광진구 자양동 227-7",127.0726183,37.5376127
"창동점","서울 도봉구 노해로 65길 4","서울특별시 도봉구 창동 135-26",127.046933,37.6516821
"천호점","서울 강동구 천호대로 1017","서울특별시 강동구 천호동 454-1",127.1253669,37.5386477
"청계천점","서울특별시 중구 청계천로 400","서울특별시 중구 황학동 2545",127.0213284,37.5708733
"하월곡점","서울특별시 성북구 종암로 167 (하월곡동 동일하이빌뉴시티)","서울특별시 성북구 하월곡동 230",127.0409997,37.6041779
