"학원명","학원주소","lon","lat"
"강남청솔학원","서울특별시 강남구 강남대로94길 36 , 지하2층~7층 (역삼동)",127.0302018,37.4997866
"개혁신학원","서울특별시 강남구 테헤란로43길 17  (역삼동)",127.0436527,37.5043565
"강남삼육외국어학원","서울특별시 강남구 학동로47길 15 , 1,2,3층 (논현동)",127.0384296,37.5175865
"역삼실용음악학원","서울특별시 강남구 언주로 301 , 302호 (역삼동,수진빌딩)",127.0419372,37.5049598
"대림우등생학원","서울특별시 강남구 논현로115길 71 4층(논현동)",127.027185,37.5082866
"제이스음악학원","서울특별시 강남구 학동로101길 26   삼익상가 3층 (청담동)",127.0576076,37.5224076
"그린아트음악학원","서울특별시 강남구 선릉로 412 , 3층 (대치동)",127.0590465,37.4986278
"이엘미술학원","서울특별시 강남구 논현로168길 49   다인빌딩3층 (신사동)",127.0321155,37.5233386
"심스아카데미학원","서울특별시 강남구 학동로 171 , 201호 (논현동, 삼익악기 빌딩)",127.0295588,37.5139927
"강남고도미술학원","서울특별시 강남구 강남대로 240 , 302,303,304,307,308,405,409,410호 (도곡동,양재SK허브프리모)",127.034383,37.485268
"성수음악학원","서울특별시 강남구 압구정로 309 , 성수상가 b2-5 (압구정동,현대아파트)",127.027355,37.527346
"진수인무용학원","서울특별시 강남구 도곡로1길 14 ()",127.0326637,37.4908189
"한일독서실","서울특별시 강남구 선릉로85길 18  성보상가 3층 (역삼동)",127.0466551,37.5024363
"한국역학대학철학학원","서울특별시 강남구 학동로1길 14 , 영보빌딩 3층 (논현동)",127.0217723,37.5122922
"예림서예학원","서울특별시 강남구 선릉로 328   남서울상가 303호 (대치동)",127.0518865,37.4989949
"주공음악학원","서울특별시 강남구 개포로 310<U+00A0> 개포종합상가 210호(개포동)",127.066502,37.489167
"금강독서실","서울특별시 강남구 압구정로29길 68  주구센타 203호 (압구정동)",127.0280273,37.5328218
"와이비엠어학원","서울특별시 강남구 강남대로 408 , 4층~12층 (역삼동,YBM강남센터)",127.0275226,37.4991753
"이행숙미용학원","서울특별시 강남구 강남대로 540 , 4층,5층 (논현동,향산빌딩)",127.0222268,37.510337
"형과색미술학원","서울특별시 강남구 논현로163길 23 , 2층 (신사동)",127.0262367,37.5239949
"신세계음악학원","서울특별시 강남구 삼성로 212 , 205호 (대치동,은마아파트상가)",127.0648797,37.4976559
"베토벤음악학원","서울특별시 강남구 영동대로 210 ()",127.0709857,37.4979951
"소천피아노학원","서울특별시 강남구 선릉로 665 ()",127.0414358,37.5160449
"연세음악학원","서울특별시 강남구 언주로 323 ()",127.0450749,37.4966829
"공신피아노음악학원","서울특별시 강남구 개포로88길 6 상업업무용지2-6호 공신빌딩 3층 3호(개포동)",127.0753789,37.5003227
"일보미술학원","서울특별시 강남구 언주로75길 16 (역삼동)",127.0424387,37.4982515
"씨에미술학원","서울특별시 강남구 개포로82길 11   5층 (개포동)",127.0674325,37.4885214
"푸른미술학원","서울특별시 강남구 역삼로 145 ()",127.0352013,37.4947249
"지예음악학원","서울특별시 강남구 언주로174길 21   엔젤빌딩 2층 (신사동)",127.0357892,37.5283226
"심포니음악학원","서울특별시 강남구 학동로 513 3층(청담동)",127.0419539,37.523116
"아름드리음악학원","서울특별시 강남구 강남대로120길 42 , 2층 (논현동)",127.0267274,37.5076368
"청림독서실","서울특별시 강남구 도산대로38길 11 ()",127.0323233,37.5199505
"한미독서실","서울특별시 강남구 도곡로13길 8  (역삼동)",127.0366047,37.4917322
"대치스카이독서실","서울특별시 강남구 도곡로 504 , 3층 (대치동)",127.0615973,37.4987679
"신라보석공예학원","서울특별시 강남구 남부순환로 2921 , 3층 (대치동, 남서울종합시장)",127.0597692,37.4934619
"신현대독서실","서울특별시 강남구 언주로 107 , 2층 (개포동,현대아파트관리동)",127.051104,37.48263
"베스트독서실","서울특별시 강남구 영동대로 217   4층 (대치동)",127.0683673,37.4981123
"진독서실","서울특별시 강남구 개포로 303 5층(개포동)",127.0544891,37.4825481
"바른손독서실","서울특별시 강남구 언주로114길 17   2층 (논현동)",127.0390343,37.5102181
"조형미술학원","서울특별시 강남구 테헤란로 109   제일빌딩 2층 (역삼동)",127.0289942,37.498794
"한보미술학원","서울특별시 강남구 남부순환로 3032  한보미도상가(대치동)",127.066184,37.4925906
"신광음악학원","서울특별시 강남구 개포로 512 ()",127.0688124,37.4893117
"주예원음악학원","서울특별시 강남구 논현로67길 61   2층 3층일부 (역삼동)",127.0349433,37.4927143
"남서울알리앙스프랑세즈어학원","서울특별시 강남구 강남대로94길 27-15   2층 (역삼동)",127.0290901,37.5006569
"전선진실용음악학원","서울특별시 강남구 역삼로 442  301호(대치동)",127.0553685,37.5017917
"남부미술학원","서울특별시 강남구 선릉로 667 (논현동)",127.0413134,37.5162358
"미도독서실","서울특별시 강남구 남부순환로 3032 , 2층 (대치동)",127.0770289,37.4975757
"김이채학원","서울특별시 강남구 남부순환로395길 9  제일상가 201호 202 203호 (대치동)",127.0600469,37.4938229
"동현음악학원","서울특별시 강남구 언주로146길 18  (논현동)",127.0363736,37.5193396
"대치1관정상어학원","서울특별시 강남구 영동대로 227 , 1층~3층 (대치동)",127.0675251,37.4993564
