"학원명","학원주소","lon","lat"
"동인음악학원","서울특별시 양천구 오목로 69 , 2, 3층 (신월동)",126.845412,37.5229178
"수현음악학원","서울특별시 양천구 목동서로2길 20 , 3층 (목동,유승상가)",126.8819291,37.5398608
"성일음악학원","서울특별시 강서구 공항대로 61길 48-28 (염창동)",126.8677343,37.5521859
"양천서림보습학원","서울특별시 양천구 목동중앙북로 8 3층 좌측 (목동)",126.864414,37.548294
"예영피아노학원","서울특별시 강서구 곰달래로 145 ()",126.8489526,37.5308157
"피아노의숲음악학원","서울특별시 강서구 강서로47길 36 2층일부 (내발산동)",126.8341597,37.5528999
"삼미주산학원","서울특별시 강서구 방화대로37길 15 2층 (방화동,신동아아파트)",126.816013,37.5697815
"예명음악학원","서울특별시 강서구 등촌로39길 27 2층일부 (등촌동)",126.8607148,37.5457535
"진원컴퓨터학원","서울특별시 양천구 화곡로 41 3층일부 (신월동)",126.8264915,37.5395157
"청산미술웅변속셈학원","서울특별시 강서구 곰달래로53길 32 2층 (화곡동)",126.8593845,37.5333182
"수미미술학원","서울특별시 강서구 강서로17길 130 ()",126.8385302,37.5321274
"야국피아노음악학원","서울특별시 양천구 중앙로29길 115 ()",126.8474614,37.5214034
"연세속셈학원","서울특별시 양천구 중앙로 269 , 3층 (신정동)",126.8572601,37.524982
"대명컴퓨터학원","서울특별시 양천구 목동중앙본로 36 , 목동프라자 403호 (목동,목동프라자)",126.8692991,37.5395468
"목동2단지독서실","서울특별시 양천구 목동서로 70 , 2단지아파트 관리동 (목동,목동신시가지아파트)",126.876812,37.535997
"목동5단지독서실","서울특별시 양천구 목동동로 350 , 관리동 (목동,목동신시가지아파트)",126.8804532,37.5342234
"목우미술학원","서울특별시 강서구 등촌로39길 11-9 1 2층 (등촌동)",126.8616877,37.5453277
"예원아트미술학원","서울특별시 양천구 목동중앙남로4길 16 2 3층 (목동)",126.8680824,37.5367979
"월드음악학원","서울특별시 강서구 양천로11길 14 ()",126.8100287,37.5739034
"한서음악학원","서울특별시 강서구 곰달래로51길 7 (화곡동)",126.8580946,37.5320596
"아름다운음악학원","서울특별시 양천구 월정로29길 9-1 ()",126.8351024,37.5331947
"대한컴퓨터학원","서울특별시 강서구 곰달래로53길 56 ()",126.8584221,37.5341027
"공항아인스학원","서울특별시 강서구 방화대로7나길 46 (공항동, 아인스학원)",126.8131836,37.5563643
"서강학원","서울특별시 양천구 화곡로3길 7 ()",126.8268,37.5400513
"등촌한솔보습학원","서울특별시 강서구 강서로62길 98 3층 (등촌동)",126.8449988,37.5616626
"스피리트학원","서울특별시 양천구 오목로 57 2층 (신월동)",126.8440965,37.5226148
"목동10단지독서실","서울특별시 양천구 목동서로 400 , 관리동 (신정동,목동신시가지아파트)",126.8583351,37.5170742
"목동8단지독서실","서울특별시 양천구 목동서로 280 ()",126.8671061,37.5207402
"목동9단지독서실","서울특별시 양천구 목동서로 340 , 관리동 (신정동,목동신시가지아파트)",126.8782064,37.5440786
"예원무용학원","서울특별시 양천구 중앙로32길 61 현대프라자404-2 (신정동)",126.8602046,37.5200384
"경희음악학원","서울특별시 양천구 오목로52길 9 ()",126.8670452,37.524806
"라라음악학원","서울특별시 강서구 화곡로24길 34 , 라라피아노 (화곡동, 라라피아노학원)",126.8387059,37.5394049
"백합음악학원","서울특별시 강서구 양천로 601 3층 (염창동)",126.8682746,37.5545882
"예랑음악학원","서울특별시 양천구 지양로3길 7 302호 (신월동)",126.836215,37.518454
"레드팍스속셈학원","서울특별시 양천구 지양로14길 7 ()",126.8326432,37.5235789
"켐학원","서울특별시 양천구 목동중앙남로10길 4 ()",126.866783,37.5380279
"방화위너스보습학원","서울특별시 강서구 금낭화로 69 , 5층 (방화동,평화빌딩)",126.8113746,37.5715034
"동명아인스학원","서울특별시 양천구 화곡로10길 6 , ㅇ (신월동)",126.8308614,37.5387977
"엠탑학원","서울특별시 강서구 강서로56나길 110 부영상가302호 (등촌동)",126.8434171,37.5635275
"목동14단지독서실","서울특별시 양천구 목동동로 130 ()",126.8717251,37.5152368
"녹색개념미술학원","서울특별시 양천구 중앙로 312 2층 (신정동)",126.8533943,37.5198132
"신월홍익미술학원","서울특별시 양천구 남부순환로72길 17 ()",126.8362346,37.5197462
"해와3미술학원","서울특별시 양천구 목동서로 349 , 센트럴프라자 911,912호 (신정동,센트럴프라자)",126.8652319,37.5173721
"새연세속셈학원","서울특별시 강서구 등촌로39길 24 ()",126.8610099,37.5457708
"표준학원","서울특별시 강서구 까치산로 80 2층 (화곡동)",126.8476184,37.5456093
"신미래탐구학원","서울특별시 강서구 등촌로5가길 23 ()",126.860244,37.5338599
"강서새롬음악학원","서울특별시 강서구 곰달래로53길 56 ()",126.8584221,37.5341027
"나너피아노학원","서울특별시 강서구 강서로7길 89 ()",126.8427154,37.5290446
"맑은샘음악학원","서울특별시 양천구 지양로3길 9-1 , 3층 (신월동)",126.8359907,37.518404
"은성음악학원","서울특별시 강서구 까치산로20길 11 ()",126.8508241,37.5482752
"목동이화음악학원","서울특별시 양천구 목동동로 130 , 목동신시가지아파트 상가씨동 210호 (신정동,목동신시가지아파트14단지)",126.8591496,37.5104801
"온누리음악학원","서울특별시 강서구 국회대로 247 , 4층 (화곡동)",126.8623206,37.5299604
"윤정희피아노학원","서울특별시 강서구 방화대로37길 35 현대아파트 상가301호 (방화동)",126.8144436,37.5697671
"천사음악학원","서울특별시 양천구 목동중앙본로3길 10 , 4층 일부 (목동)",126.8688101,37.5391133
"현피아노음악학원","서울특별시 강서구 양천로66길 6 삼성한사랑아파트 상가2층 (등촌동)",126.864592,37.5548398
"소리엘음악학원","서울특별시 양천구 남부순환로 340 4층 (신월동)",126.8274949,37.5364288
"내발산스터디뱅크독서실","서울특별시 강서구 강서로 303 5층 (내발산동)",126.8294093,37.5539546
"참조은보습·피아노학원","서울특별시 강서구 까치산로4길 11 3층 4층 (화곡동)",126.8442573,37.5421805
"성미미용학원","서울특별시 강서구 공항대로 510 2 3층 (등촌동)",126.86302,37.5485032
"돌체음악학원","서울특별시 양천구 오목로54길 14 2층 (목동)",126.8730093,37.523388
"이엘음악학원","서울특별시 양천구 중앙로 222-7 2층 (신정동)",126.8571774,37.5252876
"강서청문보습학원","서울특별시 강서구 까치산로 118 ()",126.8501534,37.5482542
"혜림음악학원","서울특별시 양천구 지양로 82 ()",126.8330806,37.5226597
"참좋은독서실","서울특별시 양천구 목동중앙본로3길 10 4층 (목동)",126.8688101,37.5391133
"창조홍익미술학원","서울특별시 강서구 양천로30길 103 3층일부 (마곡동)",126.8227996,37.5685686
"난파음악학원","서울특별시 강서구 공항대로59다길 83 ()",126.8677684,37.5519502
