"Apart","pps","gu","dong","address","size","floor","year","crime","arrest","foreigner"
"개포2차현대아파트(220)",965,"강남구","개포동","655-2",77.75,5,28,8149,5905,9762
"개포2차현대아파트(220)",913,"강남구","개포동","655-2",77.75,2,28,8149,5905,9762
"개포6차우성아파트1동~8동",1032,"강남구","개포동","658-1",79.97,3,29,8149,5905,9762
"개포6차우성아파트1동~8동",1034,"강남구","개포동","658-1",79.97,5,29,8149,5905,9762
"개포6차우성아파트1동~8동",1130,"강남구","개포동","658-1",67.28,3,29,8149,5905,9762
"개포6차우성아파트1동~8동",1063,"강남구","개포동","658-1",79.97,1,29,8149,5905,9762
"개포우성3차",901,"강남구","개포동","652",161,8,32,8149,5905,9762
"개포우성3차",913,"강남구","개포동","652",161,4,32,8149,5905,9762
"개포우성3차",972,"강남구","개포동","652",133.46,13,32,8149,5905,9762
"개포우성3차",971,"강남구","개포동","652",133.46,9,32,8149,5905,9762
"개포우성3차",959,"강남구","개포동","652",133.46,10,32,8149,5905,9762
"개포우성3차",900,"강남구","개포동","652",104.43,15,32,8149,5905,9762
"개포우성3차",869,"강남구","개포동","652",104.43,1,32,8149,5905,9762
"개포우성3차",1019,"강남구","개포동","652",133.46,4,32,8149,5905,9762
"개포자이(12-2)",810,"강남구","개포동","12월 02일",170.32,17,12,8149,5905,9762
"개포자이(12-2)",822,"강남구","개포동","12월 02일",170.32,11,12,8149,5905,9762
"개포자이(12-2)",879,"강남구","개포동","12월 02일",134.3,11,12,8149,5905,9762
"개포자이(12-2)",772,"강남구","개포동","12월 02일",168.42,2,12,8149,5905,9762
"개포자이(12-2)",871,"강남구","개포동","12월 02일",134.3,16,12,8149,5905,9762
"개포자이(12-2)",901,"강남구","개포동","12월 02일",134.3,5,12,8149,5905,9762
"개포주공 1단지",1769,"강남구","개포동","141",50.64,2,34,8149,5905,9762
"개포주공 1단지",1786,"강남구","개포동","141",50.38,3,34,8149,5905,9762
"개포주공 1단지",1846,"강남구","개포동","141",53.63,1,34,8149,5905,9762
"개포주공 1단지",1860,"강남구","개포동","141",35.64,4,34,8149,5905,9762
"개포주공 1단지",1868,"강남구","개포동","141",35.87,3,34,8149,5905,9762
"개포주공 1단지",1854,"강남구","개포동","141",35.87,3,34,8149,5905,9762
"개포주공 1단지",1880,"강남구","개포동","141",35.64,2,34,8149,5905,9762
"개포주공 1단지",1888,"강남구","개포동","141",35.64,4,34,8149,5905,9762
