"addr","lon","lat"
"서울특별시 강남구 개포동 655-2",127.052897,37.4813054
"서울특별시 강남구 개포동 658-1",127.0567424,37.4762642
"서울특별시 강남구 개포동 652",127.0561699,37.4839447
"서울특별시 강남구 개포동 12-2",127.0767362,37.4960876
"서울특별시 강남구 개포동 141",127.0614839,37.478368
"서울특별시 강남구 개포동 138",127.067294,37.4841132
"서울특별시 강남구 개포동 189",127.0714351,37.4855371
"서울특별시 강남구 개포동 187",127.0686558,37.4875354
"서울특별시 강남구 개포동 185",127.071487,37.4888326
"서울특별시 강남구 개포동 649",127.054267,37.4843872
"서울특별시 강남구 개포동 12",127.0750977,37.4939654
"서울특별시 강남구 개포동 656",127.0542624,37.4785609
"서울특별시 강남구 개포동 179",127.0625135,37.4881707
"서울특별시 강남구 개포동 651-1",127.0571779,37.4848024
"서울특별시 강남구 개포동 140",127.0644888,37.4812032
"서울특별시 강남구 개포동 653",127.0544891,37.4825481
"서울특별시 강남구 개포동 654",127.0513673,37.482369
"서울특별시 강남구 개포동 177",127.0609236,37.4878994
"서울특별시 강남구 논현동 195-1",127.0289875,37.5066597
"서울특별시 강남구 논현동 196",127.0276384,37.5062954
"서울특별시 강남구 논현동 205-2",127.0303436,37.5067547
"서울특별시 강남구 논현동 252",127.0387343,37.5141181
"서울특별시 강남구 논현동 214-2",127.032682,37.5125829
"서울특별시 강남구 논현동 241-1",127.0404191,37.5164665
"서울특별시 강남구 논현동 275",127.0375793,37.5102504
"서울특별시 강남구 논현동 245",127.0380907,37.5145526
"서울특별시 강남구 논현동 105",127.0366998,37.5193601
"서울특별시 강남구 논현동 252-1",127.0386984,37.5133862
"서울특별시 강남구 논현동 109-9",127.0386631,37.5186949
"서울특별시 강남구 논현동 58-2",127.0289671,37.5138229
"서울특별시 강남구 논현동 43-3",127.0243963,37.5130238
"서울특별시 강남구 논현동 55",127.0239347,37.5124262
"서울특별시 강남구 논현동 22",127.0227423,37.5146969
"서울특별시 강남구 논현동 103",127.0413819,37.5108609
"서울특별시 강남구 논현동 276-1",127.0388621,37.5093526
"서울특별시 강남구 논현동 107-44",127.0373364,37.517802
"서울특별시 강남구 논현동 229-13",127.0340901,37.5092605
"서울특별시 강남구 논현동 44-9",127.0236364,37.5137051
"서울특별시 강남구 논현동 62-3",127.0326528,37.5205398
"서울특별시 강남구 논현동 80-13",127.0305634,37.5161661
"서울특별시 강남구 논현동 79-7",127.0312903,37.5169037
"서울특별시 강남구 논현동 221-7",127.0334919,37.5096909
"서울특별시 강남구 논현동 105-4",127.037115,37.5206817
"서울특별시 강남구 논현동 194-23",127.0307946,37.5074711
"서울특별시 강남구 논현동 261",127.0362884,37.5115897
"서울특별시 강남구 논현동 46-2",127.0228893,37.5132249
"서울특별시 강남구 논현동 53-1",127.0231002,37.512404
"서울특별시 강남구 대치동 503",127.05991,37.491182
"서울특별시 강남구 대치동 500",127.0573085,37.4908748
"서울특별시 강남구 대치동 891-26",127.0537958,37.5045291
"서울특별시 강남구 대치동 891-23",127.0537731,37.5050714
"서울특별시 강남구 대치동 891-28",127.0541516,37.5045644
"서울특별시 강남구 대치동 890-42",127.0525547,37.504284
"서울특별시 강남구 대치동 1014-3",127.0588507,37.4965682
"서울특별시 강남구 대치동 888",127.0545774,37.495014
"서울특별시 강남구 대치동 63",127.0691228,37.5002033
"서울특별시 강남구 대치동 907-2",127.0515885,37.5013596
"서울특별시 강남구 대치동 974",127.0608409,37.5008289
"서울특별시 강남구 대치동 988-4",127.0612125,37.4997794
"서울특별시 강남구 대치동 915-13",127.0583065,37.5010925
"서울특별시 강남구 대치동 938-11",127.0555253,37.4977806
"서울특별시 강남구 대치동 670",127.0559479,37.4925092
"서울특별시 강남구 대치동 985",127.0653883,37.500937
"서울특별시 강남구 대치동 1027",127.0610527,37.4994914
"서울특별시 강남구 대치동 893",127.056471,37.5046812
"서울특별시 강남구 대치동 1025",127.053971,37.4962859
"서울특별시 강남구 대치동 1009-4",127.0680804,37.501544
"서울특별시 강남구 대치동 506",127.0625605,37.4920987
"서울특별시 강남구 대치동 602",127.0608953,37.494139
"서울특별시 강남구 대치동 890-54",127.051482,37.5041457
"서울특별시 강남구 대치동 890-49",127.0515902,37.5044448
"서울특별시 강남구 대치동 975-20",127.062111,37.5007327
"서울특별시 강남구 대치동 65",127.0703247,37.4994947
"서울특별시 강남구 대치동 66",127.0709857,37.4979951
"서울특별시 강남구 대치동 889-74",127.0505735,37.5033662
"서울특별시 강남구 대치동 950-3",127.0623976,37.5065728
"서울특별시 강남구 대치동 316",127.0653265,37.4974576
"서울특별시 강남구 대치동 891-6",127.0542018,37.5056037
"서울특별시 강남구 대치동 902",127.0572425,37.5040431
"서울특별시 강남구 대치동 910-6",127.0549741,37.5013137
"서울특별시 강남구 대치동 1007-1",127.0666999,37.5045985
"서울특별시 강남구 대치동 511",127.0673376,37.4935161
"서울특별시 강남구 대치동 992",127.0651317,37.4997456
"서울특별시 강남구 도곡동 953-1",127.0344078,37.4852042
"서울특별시 강남구 도곡동 967",127.0408333,37.4887779
"서울특별시 강남구 도곡동 960",127.0396924,37.4864808
"서울특별시 강남구 도곡동 467-6",127.0511666,37.4881387
"서울특별시 강남구 도곡동 944-6",127.0343337,37.4890286
"서울특별시 강남구 도곡동 952",127.0334977,37.486424
"서울특별시 강남구 도곡동 543-7",127.0429773,37.4919624
"서울특별시 강남구 도곡동 969",127.0370914,37.4891448
"서울특별시 강남구 도곡동 527",127.0507447,37.4936848
"서울특별시 강남구 도곡동 514-3",127.0425453,37.4840828
"서울특별시 강남구 도곡동 957-11",127.0358583,37.4851386
"서울특별시 강남구 도곡동 933",127.0380857,37.4879716
"서울특별시 강남구 도곡동 538-3",127.0505701,37.4950584
"서울특별시 강남구 도곡동 462",127.0462223,37.4861363
"서울특별시 강남구 도곡동 963",127.0401859,37.4904143
"서울특별시 강남구 도곡동 966",127.0488071,37.4891712
"서울특별시 강남구 도곡동 193-42",127.0445707,37.4866366
"서울특별시 강남구 도곡동 161",127.0462809,37.4885498
"서울특별시 강남구 도곡동 91-5",127.0505919,37.4896766
"서울특별시 강남구 도곡동 869",127.0421113,37.4907129
"서울특별시 강남구 도곡동 467-7",127.0520866,37.4885335
"서울특별시 강남구 도곡동 934-10",127.0369876,37.4882393
"서울특별시 강남구 도곡동 465",127.0494848,37.4853084
"서울특별시 강남구 도곡동 467-10",127.0525713,37.4883815
"서울특별시 강남구 도곡동 463-1",127.0475934,37.4859032
"서울특별시 강남구 도곡동 467-24",127.0518455,37.4864024
"서울특별시 강남구 도곡동 950-19",127.0351034,37.4869498
"서울특별시 강남구 도곡동 965",127.0389678,37.4858433
"서울특별시 강남구 도곡동 467",127.0544123,37.4882818
"서울특별시 강남구 도곡동 467-17",127.0545117,37.4896405
"서울특별시 강남구 도곡동 467-29",127.0527274,37.4873934
"서울특별시 강남구 도곡동 464",127.0489647,37.4869126
"서울특별시 강남구 도곡동 895-8",127.0406411,37.4872733
"서울특별시 강남구 도곡동 964",127.0394373,37.4889143
"서울특별시 강남구 도곡동 467-19",127.051556,37.4873002
"서울특별시 강남구 도곡동 961",127.0379787,37.4888159
"서울특별시 강남구 도곡동 193-1",127.0449658,37.4880229
"서울특별시 강남구 삼성동 142-7",127.0509131,37.5064703
"서울특별시 강남구 삼성동 142-3",127.0509138,37.5060621
"서울특별시 강남구 삼성동 33-20",127.0442073,37.5131056
"서울특별시 강남구 삼성동 98-18",127.0645597,37.5181243
"서울특별시 강남구 삼성동 108-2",127.0622545,37.5151209
"서울특별시 강남구 삼성동 102",127.0641091,37.5166133
"서울특별시 강남구 삼성동 103-22",127.0640034,37.5171071
"서울특별시 강남구 삼성동 7-3",127.0434589,37.5161739
"서울특별시 강남구 삼성동 11",127.0451257,37.5151584
"서울특별시 강남구 삼성동 107",127.060586,37.5145796
"서울특별시 강남구 삼성동 147-2",127.0559557,37.5131794
"서울특별시 강남구 삼성동 64-4",127.0522207,37.5173736
"서울특별시 강남구 삼성동 99",127.064863,37.5173852
"서울특별시 강남구 삼성동 99-13",127.0651387,37.5169575
"서울특별시 강남구 삼성동 17",127.0485461,37.5177621
"서울특별시 강남구 삼성동 8-2",127.0423523,37.5154901
"서울특별시 강남구 삼성동 65-4",127.0515897,37.516736
"서울특별시 강남구 삼성동 101",127.0648405,37.516292
"서울특별시 강남구 삼성동 14-1",127.0462102,37.5159844
"서울특별시 강남구 삼성동 4-6",127.0455489,37.5173694
"서울특별시 강남구 삼성동 16-2",127.0485407,37.5162276
"서울특별시 강남구 삼성동 130-2",127.0536051,37.508431
"서울특별시 강남구 삼성동 104",127.0625077,37.5159545
"서울특별시 강남구 삼성동 47-20",127.0496709,37.5130119
"서울특별시 강남구 삼성동 19-4",127.0499901,37.5176314
"서울특별시 강남구 삼성동 2",127.0430478,37.5171888
"서울특별시 강남구 삼성동 3-3",127.0448098,37.5174878
"서울특별시 강남구 삼성동 117",127.0517546,37.5122834
"서울특별시 강남구 삼성동 87",127.0591595,37.5180985
"서울특별시 강남구 삼성동 122-7",127.0523083,37.5103596
"서울특별시 강남구 삼성동 3-8",127.0443222,37.5171415
"서울특별시 강남구 삼성동 144-10",127.0548939,37.5070483
"서울특별시 강남구 삼성동 144-14",127.0553302,37.5079717
"서울특별시 강남구 삼성동 78-4",127.0582766,37.5198576
"서울특별시 강남구 삼성동 146",127.0549788,37.512967
"서울특별시 강남구 삼성동 4-3",127.0460152,37.5177913
"서울특별시 강남구 삼성동 106",127.0617602,37.51539
"서울특별시 강남구 삼성동 48",127.0499091,37.5137553
"서울특별시 강남구 삼성동 117-18",127.0516124,37.5119922
"서울특별시 강남구 삼성동 6",127.0446879,37.5167552
"서울특별시 강남구 삼성동 143-37",127.053033,37.5061783
"서울특별시 강남구 삼성동 50",127.0515142,37.5138493
"서울특별시 강남구 삼성동 37",127.0439458,37.5109113
"서울특별시 강남구 삼성동 79",127.0595683,37.5199625
"서울특별시 강남구 세곡동 525",127.1015872,37.4600486
"서울특별시 강남구 세곡동 579",127.1073203,37.4692712
"서울특별시 강남구 세곡동 533",127.099603,37.4645163
"서울특별시 강남구 수서동 559",127.0911716,37.4809122
"서울특별시 강남구 수서동 746",127.0873935,37.4846721
"서울특별시 강남구 수서동 738",127.0966796,37.4852813
"서울특별시 강남구 수서동 747",127.09066,37.4848802
"서울특별시 강남구 수서동 708",127.101008,37.4890673
"서울특별시 강남구 수서동 712",127.1036464,37.489418
"서울특별시 강남구 수서동 736",127.0983474,37.4870719
"서울특별시 강남구 신사동 524-8",127.0215858,37.5214011
"서울특별시 강남구 신사동 635-14",127.034518,37.5265308
"서울특별시 강남구 신사동 540-2",127.0243381,37.5194956
"서울특별시 강남구 신사동 658",127.0373027,37.5265851
"서울특별시 강남구 신사동 522",127.019975,37.5206993
"서울특별시 강남구 신사동 562-24",127.0264806,37.5203738
"서울특별시 강남구 신사동 622",127.0320408,37.5261447
"서울특별시 강남구 신사동 659",127.0372219,37.5274161
"서울특별시 강남구 신사동 550-20",127.0238337,37.5236533
"서울특별시 강남구 신사동 551-5",127.0237858,37.5217734
"서울특별시 강남구 압구정동 414",127.0199989,37.5251822
"서울특별시 강남구 압구정동 397",127.018523,37.524113
"서울특별시 강남구 압구정동 433",127.024268,37.527481
"서울특별시 강남구 압구정동 434",127.0242707,37.5289263
"서울특별시 강남구 압구정동 426",127.0246603,37.5260254
"서울특별시 강남구 압구정동 490",127.0387567,37.5302705
"서울특별시 강남구 압구정동 493",127.0405888,37.5298051
"서울특별시 강남구 압구정동 489",127.0381148,37.5290723
"서울특별시 강남구 압구정동 486",127.0368902,37.5308644
"서울특별시 강남구 압구정동 513",127.0419761,37.5289036
"서울특별시 강남구 압구정동 484",127.0365345,37.529664
"서울특별시 강남구 압구정동 528",127.043812,37.5291933
"서울특별시 강남구 압구정동 510",127.0423037,37.5300056
"서울특별시 강남구 압구정동 436",127.0250939,37.5310487
"서울특별시 강남구 압구정동 448",127.0273203,37.5301931
"서울특별시 강남구 압구정동 447",127.0262824,37.5304891
"서울특별시 강남구 압구정동 369-1",127.0280273,37.5328218
"서울특별시 강남구 압구정동 443",127.0269248,37.5311981
"서울특별시 강남구 압구정동 462",127.0305942,37.5324077
"서울특별시 강남구 압구정동 455",127.0284556,37.5320757
"서울특별시 강남구 압구정동 456",127.028845,37.5300542
"서울특별시 강남구 압구정동 481",127.0352887,37.5307261
"서울특별시 강남구 역삼동 755-4",127.0499436,37.4987189
"서울특별시 강남구 역삼동 796-29",127.0385342,37.4938222
"서울특별시 강남구 역삼동 755-1",127.0499488,37.4996497
"서울특별시 강남구 역삼동 712",127.0455138,37.5016503
"서울특별시 강남구 역삼동 716-3",127.0493726,37.50246
"서울특별시 강남구 역삼동 754",127.0464387,37.498551
"서울특별시 강남구 역삼동 794-28",127.0375324,37.492139
"서울특별시 강남구 역삼동 722",127.0423465,37.5002722
"서울특별시 강남구 역삼동 835-67",127.0349054,37.4920581
"서울특별시 강남구 역삼동 728-10",127.0400626,37.4981939
"서울특별시 강남구 역삼동 794-24",127.037802,37.492543
"서울특별시 강남구 역삼동 761-10",127.0463178,37.4960577
"서울특별시 강남구 역삼동 727-2",127.0389649,37.4978993
"서울특별시 강남구 역삼동 720-25",127.0427038,37.5013456
"서울특별시 강남구 역삼동 824-25",127.0310602,37.497514
"서울특별시 강남구 역삼동 716",127.0493726,37.50246
"서울특별시 강남구 역삼동 763-16",127.0482989,37.4964269
"서울특별시 강남구 역삼동 762-3",127.0472735,37.4953338
"서울특별시 강남구 역삼동 713-7",127.0475603,37.5005387
"서울특별시 강남구 역삼동 787-4",127.0426022,37.4936263
"서울특별시 강남구 역삼동 747-5",127.0378689,37.4956162
"서울특별시 강남구 역삼동 761-3",127.0463912,37.4966827
"서울특별시 강남구 역삼동 826-37",127.0303725,37.4953323
"서울특별시 강남구 역삼동 778-5",127.0429209,37.4955878
"서울특별시 강남구 역삼동 831-45",127.0309928,37.4936281
"서울특별시 강남구 역삼동 713-11",127.0466111,37.4994913
"서울특별시 강남구 역삼동 681-26",127.0412814,37.5091876
"서울특별시 강남구 역삼동 832-5",127.03094,37.4921103
"서울특별시 강남구 역삼동 757",127.0502289,37.4972705
"서울특별시 강남구 역삼동 656-31",127.0388229,37.5066825
"서울특별시 강남구 역삼동 836-35",127.0340341,37.4920086
"서울특별시 강남구 역삼동 633-11",127.0310985,37.5019862
"서울특별시 강남구 역삼동 707-18",127.0458512,37.5025992
"서울특별시 강남구 역삼동 777-49",127.041122,37.4952101
"서울특별시 강남구 역삼동 754-1",127.0467951,37.4976537
"서울특별시 강남구 역삼동 727-9",127.0392163,37.4974265
"서울특별시 강남구 역삼동 706-10",127.0435446,37.5021021
"서울특별시 강남구 역삼동 707-15",127.0451788,37.5024649
"서울특별시 강남구 역삼동 759-1",127.0477022,37.4971979
"서울특별시 강남구 역삼동 747-1",127.0373248,37.4958054
"서울특별시 강남구 역삼동 766-8",127.0503784,37.4960895
"서울특별시 강남구 역삼동 727-11",127.0393853,37.497299
"서울특별시 강남구 역삼동 836",127.0329659,37.4918016
"서울특별시 강남구 역삼동 706-20",127.0442817,37.5019467
"서울특별시 강남구 역삼동 606-18",127.0337383,37.5064572
"서울특별시 강남구 율현동 6",127.1137539,37.4704297
"서울특별시 강남구 율현동 8",127.1130202,37.4696592
"서울특별시 강남구 일원동 735",127.0852937,37.4824572
"서울특별시 강남구 일원동 615-1",127.0794836,37.4911668
