"학원명","학원주소","lon","lat"
"도우리이발기술학원","서울특별시 동대문구 왕산로33길 32 , 2층  (제기동)",127.0419117,37.5806995
"대성회계실무학원","서울특별시 동대문구 왕산로 225 , 5층2호, 5층6호 (청량리동)",127.047128,37.5820032
"국제전자과학학원","서울특별시동대문구  고산자로36길3  3층일부(제기동)",127.0391628,37.5792013
"영란피아노음악학원","서울특별시 동대문구 이문로 70  (이문동)",127.0583763,37.5933294
"한독자동차정비학원","서울특별시 동대문구 왕산로 31 , 2층,3층 (신설동)",127.0275827,37.5781081
"한국간호학원","서울특별시 동대문구 왕산로5길 6  지하1층1층2층3층4층 (신설동)",127.0273176,37.5782095
"수도간호조무사학원","서울특별시 동대문구 왕산로 225 , 511호 (청량리동)",127.0487135,37.5838334
"예맥보습학원","서울특별시 중랑구 동일로151길 30  2층3층 (묵동)",127.0762791,37.6080677
"세진보습학원","서울특별시 중랑구 공릉로 58  2층4층일부 (묵동)",127.079237,37.6157289
"세종보습학원","서울특별시 중랑구 상봉로 21  (1층2층3층) (면목동)",127.0939891,37.5878226
"금파음악학원","서울특별시 중랑구 동일로101길 52  2층 (면목동)",127.0770412,37.5889203
"푸른미술학원","서울특별시 동대문구 제기로 86 3층일부(청량리동)",127.0426105,37.5865169
"탑(TOP)성제학원","서울특별시 동대문구 전농로 120 , 3층 (전농동)",127.057887,37.5756426
"동대문종로엠보습학원","서울특별시 동대문구 한천로 95 3.4층(답십리동)",127.0576058,37.5696589
"수학엠플러스학원","서울특별시 동대문구 한천로 165  3층 (답십리동)",127.0646841,37.5725656
"해법영어배봉학원","서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",127.0648496,37.5773406
"동부교연보습학원","서울특별시 동대문구 천호대로16길 12  3층4층 (용두동)",127.0311577,37.5732304
"필립학원","서울특별시 중랑구 동일로129길 54  2층 (중화동)",127.0770102,37.5999524
"예원플러스학원","서울특별시 중랑구 상봉중앙로8길 44 , B동 2층 (상봉동)",127.0897075,37.6022702
"주미음악학원","서울특별시 동대문구 장한로30길 31  3층 (장안동)",127.0738279,37.5741919
"새암음악학원","서울특별시 동대문구 답십리로72길 118  5층 (장안동)",127.0719532,37.5670743
"소울음악학원","서울특별시 중랑구 겸재로3길 22  3층 (면목동)",127.0766261,37.5868663
"황제음악학원","서울특별시 동대문구 이문로1길 16-3  (2층) (회기동)",127.0531048,37.5890659
"한얼보습학원","서울특별시 동대문구 한천로 212 , 2층 일부 (장안동)",127.0706515,37.570627
"티엔피(TnP)학원","서울특별시 중랑구 용마산로 439  4층 (망우동)",127.1024065,37.6099795
"가나보습학원","서울특별시 중랑구 동일로130길 57  (2층) (중화동)",127.0828998,37.6003497
"에이스보습학원","서울특별시 중랑구 면목로35길 8  3층일부 (면목동)",127.085433,37.5782434
"명선학원","서울특별시 동대문구 황물로 42  2층일부3층일부 (답십리동)",127.0462213,37.5732855
"한영보습학원","서울특별시 동대문구 답십리로23길 59  (2층) (전농동)",127.0498357,37.5780325
"YBM잉글루학원","서울특별시 중랑구 면목로48길 49 , 2층 (면목동,21세기보습학원)",127.091407,37.5820874
"신현대보습학원","서울특별시 동대문구 이문로1길 21 3층",127.0520492,37.5895359
"신영속셈학원","서울특별시 동대문구 전농로36길 20  2층 (전농동)",127.0536152,37.5852397
"샤갈미술학원","서울특별시 동대문구 이문로1길 16-3  3층 (회기동)",127.0531048,37.5890659
"루체음악학원","서울특별시 동대문구 천호대로77길 89  2층 (장안동)",127.0632816,37.5656858
"고려기계용접기술학원","서울특별시 동대문구 하정로5길 1  3층.4층 (신설동)",127.0262431,37.5759526
"대우건축토목학원","서울특별시 동대문구 하정로 36 , 5층  (신설동)",127.0269666,37.5742979
"진주컴퓨터학원","서울특별시 동대문구 홍릉로15길 43 , 2층 (제기동)",127.0409941,37.585154
"큰샘학원","서울특별시 중랑구 겸재로49길 53 2층(면목본동)",127.0897607,37.591396
"엠아이티아카데미학원","서울특별시 중랑구 봉우재로71길 34  (2층,3층) (망우동)",127.0982851,37.5963604
"동서보습학원","서울특별시 중랑구상봉중앙로 51 2층(상봉동)",127.0871592,37.6017307
"정실보습학원","서울특별시 중랑구 봉화산로21길 14-7 , 3층 일부 (중화동, 정실유치원)",127.0823315,37.6025465
"SDA삼육외국어학원","서울특별시 동대문구 망우로18길 33 , 1층,2층,3층일부 (휘경동)",127.0630086,37.5879294
"상아미술학원","서울특별시 중랑구 양원역로 20 , 2층일부 (망우동,신흥상가)",127.1082303,37.6023035
"오늘미술학원","서울특별시 중랑구 망우로 277  남선빌딩2,3,4,5층 (상봉동)",127.0834048,37.5960169
"가름피아노학원","서울특별시 중랑구 동일로129길 58  (중화동)",127.0767021,37.6000509
"박정호학원","서울특별시 동대문구 천호대로91길 83  3층 (장안동)",127.0704367,37.5652261
"대정보습학원","서울특별시 중랑구 용마산로 389 , 3층 (면목동,석주빌딩)",127.0949264,37.5864395
"백년대계제1관선화학원","서울특별시 중랑구 면목로 306  2층3층일부 (면목동)",127.0877198,37.5793721
