"학교명","설립","주소","lon","lat"
"서울군자초등학교","공립","서울특별시 동대문구 한천로6길 21 , 서울군자초등학교 (장안동)",127.061517,37.5644532
"서울답십리초등학교","공립","서울특별시 동대문구 전농로3길 23 , 서울답십리초등학교 (답십리동)",127.0554461,37.568765
"서울동답초등학교","공립","서울특별시 동대문구 답십리로60길 12 (답십리동,서울동답초등학교)",127.0642055,37.5718166
"서울동원초등학교","공립","서울특별시 중랑구 송림길 114 , 서울동원초등학교 (망우동)",127.1048172,37.604949
"서울망우초등학교","공립","서울특별시 중랑구 망우로72길 49 , 망우초등학교 (망우동)",127.10329,37.598255
"서울면남초등학교","공립","서울특별시 중랑구 면목로30나길 38 (면목동,면남초등학교)",127.0881529,37.5770355
"서울면동초등학교","공립","서울특별시 중랑구 면목로57길 32 , 서울면동초등학교 (면목동,면동초등학교)",127.0865939,37.5852267
"서울면목초등학교","공립","서울특별시 중랑구 면목로 434 (면목동)",127.0876154,37.591356
"서울면북초등학교","공립","서울특별시 중랑구 용마공원로5길 32 (망우동,서울면북초등학교)",127.103512,37.594367
"서울면일초등학교","공립","서울특별시 중랑구 용마산로100길 13 (망우동)",127.0967817,37.59701
"서울면중초등학교","공립","서울특별시 중랑구 용마산로70길 43 , 서울면중초등학교 (면목동,면중초등학교)",127.0966242,37.5820628
"서울묵동초등학교","공립","서울특별시 중랑구 동일로138길 27 (중화동, 묵동초등학교)",127.081236,37.603865
"서울묵현초등학교","공립","서울특별시 중랑구 동일로157길75 , 서울묵현초등학교 (묵동)",127.0736151,37.6089984
"서울배봉초등학교","공립","서울특별시 동대문구 사가정로 193 , 서울배봉초등학교 (전농동)",127.0661224,37.5801932
"서울봉화초등학교","공립","서울특별시 중랑구 신내로15길 110 서울봉화초등학교 ",127.0920313,37.613164
"서울상봉초등학교","공립","서울특별시 중랑구 동일로126가길 11 (상봉동,상봉초등학교)",127.0836528,37.597894
"서울새솔초등학교","공립","서울특별시 중랑구 신내역로1길 164 (신내동)",127.1067657,37.6171078
"서울신내초등학교","공립","서울특별시 중랑구 용마산로125나길 22 , 서울신내초등학교 (신내동)",127.1000399,37.604088
"서울신답초등학교","공립","서울특별시 동대문구 천호대로 177 , 서울신답초등학교 (답십리동)",127.0433241,37.5729519
"서울신묵초등학교","공립","서울특별시 중랑구 동일로149길 46 (묵동,신묵초등학교)",127.0752897,37.6070199
"서울신현초등학교","공립","서울특별시 중랑구 봉화산로 188 , 서울신현초등학교 (신내동)",127.0937349,37.6053932
"서울안평초등학교","공립","서울특별시 동대문구 장한로14길 61 , 서울안평초등학교 (장안동)",127.0719604,37.5658699
"서울용두초등학교","공립","서울특별시 동대문구 천호대로13길 43 (용두동,서울용두초등학교)",127.0289663,37.5760811
"서울원묵초등학교","공립","서울특별시 중랑구 숙선옹주로 109 , 서울원묵초등학교 (묵동)",127.0860686,37.6176694
"서울이문초등학교","공립","서울특별시 동대문구 신이문로 16 , 서울이문초등학교 (이문동)",127.0641929,37.60204
"서울장평초등학교","공립","서울특별시 동대문구 답십리로 , 69길 27 (전농동)",127.0732688,37.5738145
"서울전곡초등학교","공립","서울특별시 동대문구 전농로 172 , 서울전곡초등학교 (전농동,서울전곡초등학교)",127.0565148,37.5804312
"서울전농초등학교","공립","서울특별시 동대문구 사가정로 66 (전농동)",127.0542426,37.574489
"서울전동초등학교","공립","서울특별시 동대문구 전농로16길 61 , 서울전동초등학교 (전농동)",127.0613777,37.5793958
"서울종암초등학교","공립","서울특별시 동대문구 무학로44길 25 (제기동,서울종암초등학교)",127.0313341,37.5818256
"서울중곡초등학교","공립","서울특별시 중랑구 면목로23길 20 , 서울중곡초등학교 (면목동)",127.0834868,37.5743413
"서울중랑초등학교","공립","서울특별시 중랑구 봉우재로6길 26 서울중랑초등학교 (면목동)",127.0757944,37.5892338
"서울중목초등학교","공립","서울특별시 중랑구 동일로 665 (면목동)",127.0793385,37.5897528
"서울중화초등학교","공립","서울특별시 중랑구 신내로7가길 22 , 중화초등학교 (신내동)",127.0944849,37.6033379
"서울중흥초등학교","공립","서울특별시 중랑구 봉화산로 82 서울중흥초등학교 (중화동)",127.08414,37.6016352
"서울청량초등학교","공립","서울특별시 동대문구 회기로25길 31 , 서울청량초등학교 (회기동)",127.0557261,37.5919938
"서울홍릉초등학교","공립","서울특별시 동대문구 회기로 90 (청량리동)",127.0474406,37.5909629
