"학교명","주소","lon","lat"
"국립국악고등학교","서울특별시 강남구 개포로22길 65 , 국악고등학교 (개포동)",127.0513545,37.4763807
"국립전통예술고등학교","서울특별시 금천구 시흥대로38길 62 , 국립전통예술고등학교 (시흥동,서울국악예술중.고등학교)",126.9064243,37.4463538
"서울대학교사범대학부설고등학교","서울특별시 성북구 월곡로6 (종암동)서울대학교사범대학부설고등학교",127.0378518,37.5927271
"가락고등학교","서울특별시 송파구 송이로 42 (송파동,가락고등학교)",127.1169106,37.5013907
"가재울고등학교","서울특별시 서대문구 수색로 100-35 (북가좌동)",126.9121504,37.5743004
"강일고등학교","서울특별시 강동구 아리수로98길 40 , 강일고등학교 (강일동)",127.1778668,37.5639554
"개포고등학교","서울특별시 강남구 개포로 402 , 개포고등학교 (개포동)",127.0594393,37.4848679
"경기고등학교","서울특별시 강남구 영동대로 643 (삼성동,경기고등학교)",127.0562145,37.5170678
"경기여자고등학교","서울특별시 강남구 삼성로 29 , 경기여자고등학교 (개포동)",127.0656299,37.4867128
"경동고등학교","서울특별시 성북구 보문로29길 49 , 경동고등학교 (삼선동3가)",127.0146321,37.5861997
"경복고등학교","서울특별시 종로구 자하문로28가길 9 , 경복고등학교 (청운동)",126.9714148,37.5871648
"경인고등학교","서울특별시 구로구 경인로46길 31 , 경인고등학교 (고척동)",126.8657602,37.4967636
"경일고등학교","서울특별시 성동구 성수일로 27 경일고등학교 (성수동1가,경일 중.고등학교)",127.0475209,37.5438361
"고척고등학교","서울특별시 구로구 중앙로15길 162 (고척동)",126.8506504,37.5085758
"공항고등학교","서울특별시 강서구 개화동로 495 , 공항고등학교 (방화동)",126.8184512,37.5701922
"관악고등학교","서울특별시 영등포구 영등포로6길 26 (양평동2가,관악고등학교)",126.8828968,37.5213442
"광남고등학교","서울특별시 광진구 아차산로70길 17-16 , 광남고등학교 (광장동)",127.1018748,37.5413179
"광양고등학교","서울특별시 광진구 자양로3가길 31 (자양동, 광양고등학교)",127.0852101,37.5294579
"구로고등학교","서울특별시 구로구 가마산로27길 45 , 구로고등학교 (구로동)",126.8901189,37.4982638
"구암고등학교","서울특별시 관악구 성현로 57 (봉천동)",126.948524,37.491848
"구일고등학교","서울특별시 구로구 구일로 90-51 , 구일고등학교 (구로동)",126.8738962,37.4941717
"구현고등학교","서울특별시 구로구 경인로53가길 17 (구로동, 구현고등학교)",126.8744127,37.5022703
"금옥여자고등학교","서울특별시 양천구 신정로 213 (신정동)",126.8442611,37.5106219
"금천고등학교","서울특별시 금천구 시흥대로38길 26 , 금천고등학교 (시흥동)",126.9058331,37.4451293
"노원고등학교","서울특별시 노원구 노원로 586 (상계동)",127.0531016,37.6624531
"누원고등학교","서울특별시 도봉구 마들로 849 (도봉동,누원고등학교)",127.0504591,37.6850772
"당곡고등학교","서울특별시 관악구 봉천로21길 108 , 당곡고등학교 (봉천동)",126.9346703,37.4916265
"대영고등학교","서울특별시 영등포구 도림로86길 16 , 대영고등학교 (신길동)",126.9059783,37.5031524
"도봉고등학교","서울특별시 도봉구 도봉산길 27 , 도봉고등학교 (도봉동)",127.0425643,37.6871705
"독산고등학교","서울특별시 금천구 문성로 64 (독산동,독산고등학교)",126.9109786,37.4765168
"동작고등학교","서울특별시 동작구 솔밭로 51 (사당동)",126.9652979,37.4823386
"둔촌고등학교","서울특별시 강동구 명일로 140 (둔촌동,둔촌고등학교)",127.1443173,37.5307575
"등촌고등학교","서울특별시 강서구 공항대로39길 115 (등촌동)",126.8450161,37.5625935
"면목고등학교","서울특별시 중랑구 용마산로72길 36-14 (면목동)",127.0971627,37.5842779
"명일여자고등학교","서울특별시 강동구 명일로 350 , 명일여자고등학교 (명일동)",127.1504429,37.5498951
"무학여자고등학교","서울특별시 성동구 고산자로 197 무학여자고등학교",127.03352,37.557398
"문정고등학교","서울특별시 송파구 송이로34길 62 , 문정고등학교 (문정동)",127.126588,37.4851105
"문현고등학교","서울특별시 송파구 충민로 115 (장지동)",127.1287497,37.4812764
"미양고등학교","서울특별시 강북구 인수봉로 39 , 미양고등학교 (미아동)",127.0122723,37.6235239
"반포고등학교","서울특별시 서초구 고무래로 71 , 반포고등학교 (반포동)",127.0162454,37.5021267
"방산고등학교","서울특별시 송파구 오금로27길 18 (방이동, 방산고등학교)",127.120885,37.5081106
"불암고등학교","서울특별시 노원구 중계로 155 (중계동)",127.0801792,37.648924
"삼각산고등학교","서울특별시 강북구 삼양로19길 40 (미아동)",127.0200563,37.6160082
"삼성고등학교","서울특별시 관악구 신림로 41 (신림동, 삼성고등학교)",126.9435132,37.469573
