"유치원명","설립","주소","lon","lat"
"서울군자초등학교병설유치원","공립","서울특별시 동대문구 한천로6길 21 (장안동)",127.0613465,37.5643765
"서울답십리초등학교병설유치원","공립","서울특별시 동대문구 전농로3길 23 (답십리동,답십리초등학교)",127.0554461,37.568765
"서울동원초등학교병설유치원","공립","서울특별시 중랑구 송림길 114  서울동원초등학교 (망우동)",127.1048172,37.604949
"서울면동초등학교병설유치원","공립","서울특별시 중랑구 면목로57길 32 (면목동)",127.0866427,37.5854287
"서울면목초등학교병설유치원","공립","서울특별시 중랑구 면목로 434 , 면목초등학교 병설유치원 (면목동)",127.087569,37.591034
"서울면북초등학교병설유치원","공립","서울특별시 중랑구 용마공원로5길 32 (망우동)",127.1034704,37.5944753
"서울묵현초등학교병설유치원","공립","서울특별시 중랑구 동일로157길 75 (묵동,묵현초등학교)",127.0736151,37.6089984
"서울새솔유치원","공립","서울특별시 중랑구 신내역로1길 136 (신내동)",127.1067657,37.6171078
"서울이문초등학교병설유치원","공립","서울특별시 동대문구 신이문로 16 (이문동)",127.0641929,37.60204
"서울장평초등학교병설유치원","공립","서울특별시 동대문구 답십리로69길 27 (장안동) 서울장평초등학교병설유치원 ",127.0733105,37.5737339
"서울전동초등학교병설유치원","공립","서울특별시 동대문구 전농로16길 61 (전농동)",127.061138,37.5790952
"서울중곡초등학교병설유치원","공립","서울특별시 중랑구 면목로23길 20 , 중곡초등학교병설유치원 (면목동)",127.0836257,37.5742858
"서울중랑초등학교병설유치원","공립","서울특별시 중랑구 봉우재로6길 26 (면목동)",127.0757187,37.5893695
"서울홍파초등학교병설유치원","공립","서울특별시 동대문구 고산자로 518 , 서울홍파초등학교병설유치원 (제기동)",127.0393911,37.5860789
"서울휘경유치원","공립","서울특별시 동대문구 망우로6길 48 , 서울휘경유치원 (휘경동)",127.0580445,37.5857839
"서울휘봉초등학교병설유치원","공립","서울특별시 동대문구 장안벚꽃로 309 , 휘봉초등학교병설유치원 (휘경동)",127.0700989,37.5862007
"서울가재울초등학교병설유치원","공립","서울특별시 서대문구 명지대길 101 (남가좌동) ",126.9230411,37.5843836
"서울공덕초등학교병설유치원","공립","서울특별시 마포구 만리재옛길 13 (공덕동)",126.9537786,37.5457002
"서울구현초등학교병설유치원","공립","서울특별시 은평구 갈현로15길 51 (구산동,구현초등학교)",126.9055587,37.6095283
"서울금화초등학교병설유치원","공립","서울특별시 서대문구 통일로 165 서울금화초등학교 (천연동)",126.9630251,37.5683284
"서울마포초등학교병설유치원","공립","서울특별시 마포구 도화2길 64 , 서울마포초등학교병설유치원 (도화동)",126.9496406,37.538255
"서울북성유치원","공립","서울특별시 서대문구 북아현로5나길 86-10 (북아현동)",126.951959,37.559433
"서울상암초등학교병설유치원","공립","서울특별시 마포구 월드컵북로 353 , 상암초등학교병설유치원 (상암동)",126.8923387,37.5762821
"서울상지초등학교병설유치원","공립","서울특별시 마포구 월드컵로42길 30 , 서울상지초등학교 (상암동)",126.8820619,37.5798092
"서울서신초등학교병설유치원","공립","서울특별시 은평구 은평터널로 150 (신사동,서신초등학교)",126.9075035,37.5921971
"서울성산초등학교병설유치원","공립","서울특별시 마포구 양화로3길 94 (합정동) 427-2",126.9111567,37.5534098
"서울수색초등학교병설유치원","공립","서울특별시 은평구 수색로16길 21 (수색동)",126.8954934,37.5850571
"서울신도초등학교병설유치원","공립","서울특별시 은평구 진관1로 77-23 , 신도초등학교 (진관동)",126.9289746,37.6328259
"서울연광초등학교병설유치원","공립","서울특별시 은평구 연서로35길 37 , 서울연광초등학교 (불광동)",126.9240191,37.6239483
"서울연신초등학교병설유치원","공립","서울특별시 은평구 연서로 347 서울연신초등학교병설유치원",126.9283856,37.6262803
"서울연은초등학교병설유치원","공립","서울특별시 은평구 백련산로2길 19 (응암동)",126.9248412,37.5908109
"서울연천초등학교병설유치원","공립","서울특별시 은평구 연서로34길 22 (불광동,연천초등학교)",126.9294874,37.6208582
"서울용강초등학교병설유치원","공립","서울특별시 마포구 백범로17길 9 (대흥동,용강초등학교)",126.9437789,37.548703
"서울은명초등학교병설유치원","공립","서울특별시 은평구 은평로4길 21-9 (응암동)",126.9188333,37.5979615
"서울은빛유치원","공립","서울특별시 은평구 진관3로 73-11 , 진관동, 서울은빛유치원 (진관동)",126.9179826,37.6340893
"서울은평초등학교병설유치원","공립","서울특별시 은평구 은평로 239 , 서울은평초등학교병설유치원 (녹번동)",126.9344172,37.6016964
"서울인왕초등학교병설유치원","공립","서울특별시 서대문구 세무서길 33-9 , 서울인왕초등학교병설유치원 (홍제동)",126.9451366,37.5897211
"서울진관유치원","공립","서울특별시 은평구 진관2로 111-16 , 서울진관유치원 (진관동)",126.931633,37.6363626
"서울창천초등학교병설유치원","공립","서울특별시 마포구 백범로1길 56 , 창천초등학교 병설유치원 (노고산동)",126.9393201,37.5548546
"서울하늘초등학교병설유치원","공립","서울특별시 마포구 월드컵북로 502-14 (상암동)",126.8806962,37.5855241
"서울한서초등학교병설유치원","공립","서울특별시 마포구 대흥로24바길 27 서울한서초등학교병설유치원 (염리동)",126.949278,37.55348
"서울홍제초등학교병설유치원","공립","서울특별시 서대문구 홍은중앙로 13 , 서울홍제초등학교병설유치원 (홍은동)",126.943861,37.5926421
"서울개봉초등학교병설유치원","공립","서울특별시 구로구 개봉로16길 30-11 , 개봉초등학교병설유치원 (개봉동)",126.8584,37.4897087
"서울고척초등학교병설유치원","공립","서울특별시 구로구 경서로 31 (고척동)",126.8569941,37.5006668
"서울구로남초등학교병설유치원","공립","서울특별시 구로구 디지털로27길 76 , 구로남초등학교 병설유치원 (구로동)",126.8907595,37.4848094
"서울구일초등학교병설유치원","공립","서울특별시 구로구 구일로 68 , 서울구일초등학교병설유치원 (구로동)",126.8729276,37.4927953
