"학교명","주소","lon","lat"
"동대문중학교","서울특별시 동대문구 사가정로 59 , 동대문중학교 (전농동)",127.0520944,37.5745089
"동원중학교","서울특별시 중랑구 양원역로 32 (망우동, 동원중학교)",127.1083446,37.6035604
"면목중학교","서울특별시 중랑구 용마산로70길 37 , (면목동) (면목동)",127.0960613,37.5830377
"봉화중학교","서울특별시 중랑구 망우로70길 89 (망우동,봉화중학교)",127.1039842,37.5962279
"상봉중학교","서울특별시 중랑구 상봉중앙로8나길 28 (상봉동)",127.0900877,37.6014604
"성일중학교","서울특별시 동대문구 왕산로23길 55 (제기동)",127.0339637,37.5811451
"숭인중학교","서울특별시 동대문구 천호대로47길 34 , 숭인중학교 (답십리동)",127.0439073,37.5737018
"신현중학교","서울특별시 중랑구 봉화산로 162 , 신현중학교 (상봉동)",127.0917629,37.6041156
"용마중학교","서울특별시 중랑구 면목로28길 18 , 용마중학교 (면목동)",127.0860458,37.5743414
"원묵중학교","서울특별시 중랑구 신내로23길 57 , 원묵중학교 (묵동)",127.0864307,37.6178662
"장안중학교","서울특별시 중랑구 동일로 780 (중화동,장안중학교)",127.0807235,37.600592
"장평중학교","서울특별시 동대문구 답십리로72길 158 (장안동)",127.0705317,37.5665027
"전농중학교","서울특별시 동대문구 사가정로13길 71 , 전농중학교 (전농동)",127.0596556,37.5817566
"전동중학교","서울특별시 동대문구 장안벚꽃로 291 , 전동중학교 (휘경동)",127.0709599,37.5855619
"전일중학교","서울특별시 동대문구 사가정로13길 67 (전농동, 전일중학교)",127.058434,37.58182
"중랑중학교","서울특별시 중랑구 동일로140길 33 (중화동)",127.0813987,37.6051919
"중화중학교","서울특별시 중랑구 용마산로 364 , (면목3.8동 83번지) (면목동)",127.0952713,37.5846058
"청량중학교","서울특별시 동대문구 왕산로 301 , 청량중학교 (청량리동)",127.0513507,37.5876169
"태릉중학교","서울특별시 중랑구 공릉로2길 60-25 , 태릉중학교 (묵동)",127.0829024,37.6122811
"휘경중학교","서울특별시 동대문구 망우로18나길 20 (휘경동,휘경중학교)",127.0622278,37.5869524
"경희여자중학교","서울특별시 동대문구 경희대로 26 , 경희여자중학교 (회기동)",127.0511222,37.5945044
"경희중학교","서울특별시 동대문구 경희대로 26 , 경희중학교 (회기동)",127.0548498,37.5945041
"대광중학교","서울특별시 동대문구 안암로 6 (신설동) 대광중학교",127.0248228,37.5784791
"동국대학교사범대학부속중학교","서울특별시 동대문구 장안벚꽃로 201 (장안동)",127.0752098,37.5777907
"송곡여자중학교","서울특별시 중랑구 양원역로 67 (망우본동",127.1053091,37.6063172
"영란여자중학교","서울특별시 중랑구 망우로73길 56 (망우동)",127.1049617,37.6037439
"정화여자중학교","서울특별시 동대문구 홍릉로15길 50 (제기동)",127.0408473,37.5857448
"혜원여자중학교","서울특별시 중랑구 봉우재로 58길 39 (망우동)",127.0967019,37.592991
"휘경여자중학교","서울특별시 동대문구 한천로 247 휘경여자중학교 (휘경동)",127.0674199,37.583169
"가재울중학교","서울특별시 서대문구 수색로 100-75 (북가좌동)",126.9121504,37.5743004
"구산중학교","서울특별시 은평구 갈현로15길 20-23 (구산동)",126.9089984,37.6096908
"덕산중학교","서울특별시 은평구 가좌로 400 (신사동)",126.9043646,37.6017792
"불광중학교","서울특별시 은평구 불광로 180 (불광동)",126.932123,37.6230193
"상신중학교","서울특별시 은평구 증산로15길 61 , 상신중학교 (신사동)",126.9063925,37.5900862
