단지명,전용면적(㎡),계약년월,거래금액(만원)
개포2차현대아파트(220),77.75,201503,"65,000"
개포2차현대아파트(220),77.75,201503,"62,500"
개포2차현대아파트(220),77.75,201508,"68,000"
개포6차우성아파트1동~8동,54.98,201503,"58,000"
개포6차우성아파트1동~8동,67.28,201503,"70,500"
개포6차우성아파트1동~8동,79.97,201504,"82,000"
개포6차우성아파트1동~8동,67.28,201505,"72,000"
개포6차우성아파트1동~8동,79.97,201506,"81,000"
개포6차우성아파트1동~8동,79.97,201507,"82,500"
개포6차우성아파트1동~8동,79.97,201507,"80,500"
개포6차우성아파트1동~8동,79.97,201510,"80,000"
개포우성3차,133.46,201502,"110,000"
개포우성3차,161,201502,"123,000"
개포우성3차,133.46,201502,"113,000"
개포우성3차,104.43,201502,"84,800"
개포우성3차,161,201502,"127,000"
개포우성3차,161,201502,"130,000"
개포우성3차,133.46,201503,"116,100"
개포우성3차,133.46,201504,"120,000"
개포우성3차,104.43,201504,"85,000"
개포우성3차,104.43,201505,"88,000"
개포우성3차,161,201507,"143,000"
개포우성3차,133.46,201507,"127,800"
개포우성3차,104.43,201507,"87,400"
개포우성3차,161,201508,"139,000"
개포우성3차,161,201508,"141,000"
개포우성3차,133.46,201509,"125,000"
개포우성3차,104.43,201509,"92,800"
개포우성3차,133.46,201509,"123,000"
개포우성3차,133.46,201510,"126,000"
개포우성3차,133.46,201510,"140,000"
개포우성3차,104.43,201510,"89,000"
개포우성3차,104.43,201510,"90,000"
개포우성3차,161,201510,"143,000"
개포우성3차,161,201511,"145,000"
개포우성3차,104.43,201511,"95,000"
개포자이(12-2),168.42,201502,"141,000"
개포자이(12-2),170.32,201502,"135,000"
개포자이(12-2),134.3,201502,"115,500"
개포자이(12-2),134.3,201503,"117,000"
개포자이(12-2),134.3,201504,"115,500"
개포자이(12-2),153.8,201506,"136,000"
개포자이(12-2),134.3,201506,"118,900"
개포자이(12-2),168.42,201506,"144,250"
개포자이(12-2),153.8,201507,"144,000"
개포자이(12-2),170.32,201508,"142,000"
개포자이(12-2),134.3,201510,"121,700"
개포자이(12-2),170.32,201510,"130,000"
개포자이(12-2),170.32,201510,"142,000"
개포자이(12-2),134.3,201511,"119,000"
개포자이(12-2),153.8,201511,"126,500"
개포주공 1단지,35.64,201502,"60,000"
개포주공 1단지,50.38,201502,"81,500"
개포주공 1단지,42.55,201502,"68,500"
개포주공 1단지,42.55,201502,"67,900"
개포주공 1단지,50.38,201502,"81,000"
개포주공 1단지,35.87,201502,"60,000"
개포주공 1단지,49.56,201502,"83,500"
개포주공 1단지,41.98,201502,"68,250"
개포주공 1단지,42.55,201502,"68,200"
개포주공 1단지,35.87,201502,"60,000"
