date,data
Jan-16,1.61
Feb-16,1.54
Mar-16,1.55
Apr-16,1.55
May-16,1.52
Jun-16,1.37
Jul-16,1.27
Aug-16,1.27
Sep-16,1.31
Oct-16,1.37
Nov-16,1.48
Dec-16,1.51
Jan-17,1.42
Feb-17,1.41
Mar-17,1.43
Apr-17,1.39
May-17,1.36
Jun-17,1.36
Jul-17,1.37
Aug-17,1.36
Sep-17,1.35
Oct-17,1.41
Nov-17,1.57
Dec-17,1.67
Jan-18,1.65
Feb-18,1.64
Mar-18,1.64
Apr-18,1.65
May-18,1.65
Jun-18,1.67
Jul-18,1.68
Aug-18,1.67
Sep-18,1.67
Oct-18,1.76
Nov-18,1.81
Dec-18,1.89
Jan-19,1.86
Feb-19,1.86
Mar-19,1.87
Apr-19,1.84
May-19,1.8
Jun-19,1.72
Jul-19,1.63
Aug-19,1.46
Sep-19,1.49
Oct-19,1.46
Nov-19,1.48
Dec-19,1.51
Jan-20,1.45
