시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,201603,28,"75,000",5,1988,언주로 103
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,201604,2,"71,000",2,1988,언주로 103
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,201602,24,"82,500",3,1987,언주로 3
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,201604,17,"82,700",5,1987,언주로 3
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,67.28,201604,18,"76,000",3,1987,언주로 3
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,201604,30,"85,000",1,1987,언주로 3
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,201603,7,"145,000",8,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,201604,2,"147,000",4,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201604,4,"129,750",13,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201604,4,"129,600",9,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201604,8,"128,000",10,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,201604,9,"94,000",15,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,201604,11,"90,700",1,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201604,23,"136,000",4,1984,개포로 307
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),170.32,201602,17,"138,000",17,2004,개포로109길 69
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),170.32,201602,25,"140,000",11,2004,개포로109길 69
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,201603,11,"118,000",11,2004,개포로109길 69
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),168.42,201603,14,"130,000",2,2004,개포로109길 69
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,201604,15,"117,000",16,2004,개포로109길 69
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,201604,26,"121,000",5,2004,개포로109길 69
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201602,3,"89,600",2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201602,3,"90,000",3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,53.63,201602,4,"99,000",1,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201602,5,"66,300",4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.87,201602,12,"67,000",3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.87,201602,16,"66,500",3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201602,17,"67,000",2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201602,20,"67,300",4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,201602,20,"107,500",2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201602,22,"76,000",2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201602,22,"75,500",4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201602,23,"90,000",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201602,24,"90,000",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,201602,24,"110,000",3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201602,25,"90,000",4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,49.56,201602,26,"96,500",2,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201602,26,"90,000",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,53.63,201602,27,"100,000",1,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201602,27,"76,000",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,49.56,201602,27,"96,900",4,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,61.57,201602,29,"136,000",5,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201603,1,"90,000",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201603,1,"77,500",5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201603,2,"79,500",1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201603,2,"71,000",5,1982,개포로 310
