date,data
Jan-16,100.39
Feb-16,100.82
Mar-16,100.56
Apr-16,100.75
May-16,100.81
Jun-16,100.79
Jul-16,100.6
Aug-16,100.86
Sep-16,101.46
Oct-16,101.6
Nov-16,101.45
Dec-16,101.56
Jan-17,102.64
Feb-17,102.92
Mar-17,102.85
Apr-17,102.72
May-17,102.83
Jun-17,102.61
Jul-17,102.78
Aug-17,103.37
Sep-17,103.49
Oct-17,103.39
Nov-17,102.62
Dec-17,102.99
Jan-18,103.42
Feb-18,104.21
Mar-18,104.1
Apr-18,104.29
May-18,104.34
Jun-18,104.13
Jul-18,103.93
Aug-18,104.85
Sep-18,105.65
Oct-18,105.46
Nov-18,104.71
Dec-18,104.35
Jan-19,104.24
Feb-19,104.69
Mar-19,104.49
Apr-19,104.87
May-19,105.05
Jun-19,104.88
Jul-19,104.56
Aug-19,104.81
Sep-19,105.2
Oct-19,105.46
Nov-19,104.87
Dec-19,105.12
Jan-20,105.79
