지점명,도로명,지번
강서점,서울 강서구 화곡로 398 홈플러스강서점,서울 강서구 등촌동 639-11 홈플러스강서점
강동점,서울 강동구 양재대로 1571 홈플러스강동점,서울 강동구 천호동 42 홈플러스강동점
월드컵점,서울 마포구 월드컵로 240 월드컵주경기장,서울 마포구 성산동 515 홈플러스월드컵점
금천점,서울 금천구 시흥대로 391 삼성홈플러스,서울 금천구 독산동 291-7
영등포점,서울 영등포구 당산로 42 홈플러스영등포점,서울 영등포구 문래동3가 55-3 홈플러스영등포점
잠실점,서울 송파구 올림픽로35가길 16 홈플러스잠실점,서울 송파구 신천동 7-12 홈플러스잠실점
중계점,서울 노원구 동일로204가길 12 홈플러스중계점,서울 노원구 중계동 509-2 홈플러스중계점
동대문점,서울 동대문구 천호대로 133 홈플러스동대문점,서울 동대문구 용두동 33-1 홈플러스동대문점
시흥점,서울 금천구 시흥대로 201 홈플러스시흥점,서울 금천구 시흥동 992-47 홈플러스시흥점
방학점,서울 도봉구 도봉로 678 홈플러스방학점,서울 도봉구 방학동 707-7 홈플러스방학점
신도림점,서울 구로구 경인로 661 신도림1차푸르지오,서울 구로구 신도림동 337 대우미래사랑시티 지하 1층
상봉점,서울 중랑구 망우로 353 홈플러스상봉점,서울 중랑구 상봉동 500 홈플러스상봉점
합정점,서울 마포구 양화로 45 메세나폴리스,서울 마포구 서교동 490 홈플러스합정점
가양점,서울 강서구 양천로 431 홈플러스가양점,서울 강서구 가양동 18-24 홈플러스가양점
월곡점,서울 성북구 화랑로 76 홈플러스월곡점,서울 성북구 하월곡동 46-73 홈플러스월곡점
목동점,서울 양천구 목동서로 170 홈플러스목동점,서울 양천구 목동 919-7
신내점,서울 중랑구 신내로 201 홈플러스서울신내점,서울 중랑구 신내동 645
남현점,서울 관악구 과천대로 909 남현프라자,서울 관악구 남현동 612-51
면목점,서울 중랑구 사가정로 332,서울 중랑구 면목동 168-2
