"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"기간","자치구","행정구역","행정구역","청소구역","청소구역","수거지인구율(%)","배출량ⓒ","처리량(d)","수거율(%)(d/c)","수거처리","수거처리","수거처리","수거처리"
"기간","자치구","면적","인구","면적","인구","수거지인구율(%)","배출량ⓒ","처리량(d)","수거율(%)(d/c)","계","매립","소각","재활용"
"2016","합계","605.2","10,204,057","605.2","10,204,057","100","45,117.5","45,117.5","100","45,117.5","3,257.0","2,740.7","39,119.8"
"2016","종로구","23.91","161,922","23.91","161,922","100","945.6","945.6","100","945.6","58.9","144.3","742.4"
"2016","중구","9.96","134,409","9.96","134,409","100","1,511.2","1,511.2","100","1,511.2","67.4","169.4","1,274.4"
"2016","용산구","21.87","245,102","21.87","245,102","100","914.9","914.9","100","914.9","25.4","84.2","805.3"
"2016","성동구","16.86","307,161","16.86","307,161","100","2,254.7","2,254.7","100","2,254.7","512.2","75.1","1,667.4"
"2016","광진구","17.06","372,104","17.06","372,104","100","1,457.4","1,457.4","100","1,457.4","29.4","64.2","1,363.8"
"2016","동대문구","14.22","370,312","14.22","370,312","100","1,564.7","1,564.7","100","1,564.7","33.8","95.4","1,435.5"
"2016","중랑구","18.5","415,677","18.5","415,677","100","1,091.2","1,091.2","100","1,091.2","21","90.1","980.1"
"2016","성북구","24.58","461,617","24.58","461,617","100","1,664.5","1,664.5","100","1,664.5","19.9","91.7","1,552.9"
"2016","강북구","23.6","330,704","23.6","330,704","100","885.1","885.1","100","885.1","9.2","67.7","808.2"
"2016","도봉구","20.67","350,272","20.67","350,272","100","745.5","745.5","100","745.5","7.8","62.4","675.3"
"2016","노원구","35.44","571,212","35.44","571,212","100","1,202.2","1,202.2","100","1,202.2","99.2","113.9","989.1"
"2016","은평구","29.7","495,937","29.7","495,937","100","2,010.9","2,010.9","100","2,010.9","66.3","87.8","1,856.8"
"2016","서대문구","17.61","325,871","17.61","325,871","100","1,255.5","1,255.5","100","1,255.5","38.7","92.8","1,124.0"
"2016","마포구","23.84","390,887","23.84","390,887","100","1,998.7","1,998.7","100","1,998.7","87.6","121.7","1,789.4"
"2016","양천구","17.41","481,845","17.41","481,845","100","1,312.3","1,312.3","100","1,312.3","63.5","99.3","1,149.5"
"2016","강서구","41.44","602,104","41.44","602,104","100","3,846.3","3,846.3","100","3,846.3","830.6","256.7","2,759.0"
"2016","구로구","20.12","449,600","20.12","449,600","100","1,445.2","1,445.2","100","1,445.2","84.8","124.5","1,235.9"
"2016","금천구","13.02","254,654","13.02","254,654","100","1,194.3","1,194.3","100","1,194.3","139.6","2.1","1,052.6"
"2016","영등포구","24.53","406,779","24.53","406,779","100","1,641.7","1,641.7","100","1,641.7","59.7","102.8","1,479.2"
"2016","동작구","16.35","413,247","16.35","413,247","100","1,801.8","1,801.8","100","1,801.8","25.4","72.7","1,703.7"
"2016","관악구","29.57","525,607","29.57","525,607","100","1,523.3","1,523.3","100","1,523.3","75.8","56.5","1,391.0"
"2016","서초구","46.98","451,477","46.98","451,477","100","1,876.1","1,876.1","100","1,876.1","70.4","143.7","1,662.0"
"2016","강남구","39.5","572,140","39.5","572,140","100","4,009.8","4,009.8","100","4,009.8","618.4","234.8","3,156.6"
"2016","송파구","33.88","664,946","33.88","664,946","100","3,334.4","3,334.4","100","3,334.4","147.4","161.3","3,025.7"
"2016","강동구","24.59","448,471","24.59","448,471","100","3,630.2","3,630.2","100","3,630.2","64.6","125.6","3,440.0"
