date,data
Jan-16,93.3
Feb-16,93.3
Mar-16,93.3
Apr-16,93.4
May-16,93.6
Jun-16,93.9
Jul-16,94.3
Aug-16,94.6
Sep-16,95
Oct-16,95.7
Nov-16,96.2
Dec-16,96.3
Jan-17,96.3
Feb-17,96.4
Mar-17,96.6
Apr-17,96.8
May-17,97.3
Jun-17,98.2
Jul-17,98.7
Aug-17,99.3
Sep-17,99.3
Oct-17,99.6
Nov-17,100
Dec-17,100.8
Jan-18,102.2
Feb-18,103.6
Mar-18,104.4
Apr-18,104.8
May-18,105
Jun-18,105.2
Jul-18,105.6
Aug-18,106.5
Sep-18,108.4
Oct-18,109.1
Nov-18,109.1
Dec-18,108.9
Jan-19,108.5
Feb-19,108.1
Mar-19,107.7
Apr-19,107.3
May-19,107.1
Jun-19,107
Jul-19,107.1
Aug-19,107.2
Sep-19,107.4
Oct-19,108.1
Nov-19,108.8
Dec-19,110.1
Jan-20,110.6
