"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 1월","642.48","672.53","691.17","637.43","20.15B","-4.08%"
"2019년 12월","669.83","635.58","669.83","613.77","16.77B","5.82%"
"2019년 11월","632.99","658.16","673.86","629.74","21.65B","-3.88%"
"2019년 10월","658.52","623.70","662.27","619.53","18.65B","5.91%"
"2019년 9월","621.76","609.46","651.45","608.97","15.23B","1.84%"
"2019년 8월","610.55","627.94","634.44","540.83","16.02B","-3.11%"
"2019년 7월","630.18","696.38","699.44","610.70","18.13B","-8.74%"
"2019년 6월","690.53","693.26","730.86","687.29","16.26B","-0.85%"
"2019년 5월","696.47","753.51","762.72","684.07","17.27B","-7.72%"
"2019년 4월","754.74","731.50","770.66","729.74","18.55B","3.49%"
"2019년 3월","729.31","739.19","762.41","714.53","15.57B","-0.27%"
"2019년 2월","731.25","719.08","755.92","714.66","13.73B","2.01%"
"2019년 1월","716.86","682.16","721.58","648.95","15.02B","6.10%"
"2018년 12월","675.65","704.38","711.77","652.84","11.54B","-2.89%"
"2018년 11월","695.76","655.11","710.45","651.19","12.64B","7.26%"
"2018년 10월","648.67","824.86","825.53","617.00","11.77B","-21.11%"
"2018년 9월","822.27","817.93","837.97","810.28","10.96B","0.65%"
"2018년 8월","816.97","779.00","817.83","743.68","13.10B","5.34%"
"2018년 7월","775.52","818.75","831.41","744.11","13.73B","-5.22%"
"2018년 6월","818.22","879.61","887.95","802.00","15.80B","-6.98%"
"2018년 5월","879.66","869.52","884.64","815.27","21.46B","0.42%"
"2018년 4월","875.95","876.85","906.06","857.40","23.02B","0.56%"
"2018년 3월","871.09","846.40","895.72","822.96","17.90B","1.64%"
"2018년 2월","857.06","916.78","919.90","814.46","16.07B","-6.19%"
"2018년 1월","913.57","803.63","932.01","800.54","25.45B","14.42%"
"2017년 12월","798.42","779.54","798.68","740.05","20.38B","3.50%"
"2017년 11월","771.42","696.65","803.74","691.52","16.79M","11.12%"
"2017년 10월","694.20","658.76","694.23","652.17","9.57M","6.34%"
"2017년 9월","652.82","660.71","677.97","637.36","13.84M","-0.76%"
"2017년 8월","657.83","650.89","658.94","626.08","12.70M","1.13%"
"2017년 7월","650.47","671.17","679.48","643.77","11.61M","-2.78%"
"2017년 6월","669.04","653.57","678.82","651.10","13.16M","2.61%"
"2017년 5월","652.04","629.21","652.52","626.40","13.19M","3.79%"
"2017년 4월","628.24","621.47","638.02","614.21","15.83M","1.45%"
"2017년 3월","619.28","614.58","619.48","596.85","18.86M","1.16%"
"2017년 2월","612.20","617.30","624.13","604.75","18.46M","-0.64%"
"2017년 1월","616.13","632.89","645.92","609.25","14.32M","-2.42%"
"2016년 12월","631.44","596.52","631.51","573.54","13.89M","5.93%"
"2016년 11월","596.11","621.69","631.20","581.64","13.35M","-4.57%"
"2016년 10월","624.68","682.32","687.93","623.37","11.63M","-8.30%"
"2016년 9월","681.21","664.33","690.57","652.91","13.93M","2.64%"
"2016년 8월","663.69","708.84","709.67","656.21","14.40M","-6.02%"
"2016년 7월","706.24","679.21","710.42","679.21","19.76M","4.61%"
"2016년 6월","675.09","699.49","707.81","626.99","20.68M","-3.34%"
"2016년 5월","698.45","700.43","706.49","678.48","14.55M","-0.19%"
"2016년 4월","699.77","690.18","705.51","689.05","13.46M","1.65%"
"2016년 3월","688.38","658.95","699.76","658.64","13.18M","5.64%"
"2016년 2월","651.62","687.65","688.15","594.75","9.70M","-4.57%"
"2016년 1월","682.80","686.41","693.55","659.72","12.28M","0.07%"
