"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 1월","2,119.01","2,201.21","2,277.23","2,119.01","13.10B","-3.58%"
"2019년 12월","2,197.67","2,097.55","2,215.55","2,053.56","10.19B","5.25%"
"2019년 11월","2,087.96","2,084.79","2,165.89","2,081.53","10.74B","0.22%"
"2019년 10월","2,083.48","2,062.44","2,105.17","2,010.90","8.88B","0.99%"
"2019년 9월","2,063.05","1,961.19","2,101.63","1,958.59","8.62B","4.84%"
"2019년 8월","1,967.79","2,015.09","2,032.23","1,891.81","10.47B","-2.80%"
"2019년 7월","2,024.55","2,147.24","2,147.24","2,010.95","11.91B","-4.98%"
"2019년 6월","2,130.62","2,031.03","2,141.27","2,029.17","11.26B","4.35%"
"2019년 5월","2,041.74","2,192.94","2,217.03","2,016.25","11.24B","-7.34%"
"2019년 4월","2,203.59","2,153.31","2,252.05","2,153.31","9.69B","2.94%"
"2019년 3월","2,140.67","2,210.97","2,216.02","2,120.93","6.46B","-2.49%"
"2019년 2월","2,195.44","2,211.93","2,241.76","2,167.36","6.88B","-0.43%"
"2019년 1월","2,204.85","2,050.55","2,222.88","1,984.53","9.46B","8.03%"
"2018년 12월","2,041.04","2,127.78","2,136.64","2,014.28","7.63B","-2.66%"
"2018년 11월","2,096.86","2,035.11","2,136.74","2,023.43","6.98B","3.31%"
"2018년 10월","2,029.69","2,349.64","2,352.11","1,985.95","7.02B","-13.37%"
"2018년 9월","2,343.07","2,317.93","2,356.62","2,264.90","5.43B","0.87%"
"2018년 8월","2,322.88","2,301.17","2,322.88","2,218.09","6.20B","1.20%"
"2018년 7월","2,295.26","2,322.23","2,327.59","2,243.90","7.51B","-1.33%"
"2018년 6월","2,326.13","2,419.63","2,479.56","2,296.39","9.45B","-4.00%"
"2018년 5월","2,423.01","2,515.75","2,516.57","2,399.58","12.82B","-3.67%"
"2018년 4월","2,515.38","2,454.72","2,515.38","2,405.91","10.44B","2.84%"
"2018년 3월","2,445.85","2,406.57","2,508.71","2,374.80","8.08B","0.76%"
"2018년 2월","2,427.36","2,578.91","2,583.74","2,346.73","7.28B","-5.42%"
"2018년 1월","2,566.46","2,474.86","2,607.10","2,465.94","8.25B","4.01%"
"2017년 12월","2,467.49","2,488.92","2,514.61","2,411.48","5.75B","-0.36%"
"2017년 11월","2,476.37","2,535.97","2,561.63","2,474.28","7.47B","-1.86%"
"2017년 10월","2,523.43","2,425.63","2,528.32","2,421.10","5.05B","5.39%"
"2017년 9월","2,394.47","2,367.45","2,429.12","2,314.31","5.84B","1.32%"
"2017년 8월","2,363.19","2,397.12","2,434.47","2,310.20","5.72B","-1.64%"
"2017년 7월","2,402.71","2,397.66","2,453.17","2,372.83","6.23B","0.46%"
"2017년 6월","2,391.79","2,348.31","2,402.80","2,335.63","7.48B","1.89%"
"2017년 5월","2,347.38","2,213.61","2,371.67","2,212.87","7.03B","6.44%"
"2017년 4월","2,205.44","2,166.04","2,217.04","2,117.82","7.73B","2.09%"
"2017년 3월","2,160.23","2,105.19","2,182.42","2,067.68","8.87B","3.28%"
"2017년 2월","2,091.64","2,075.31","2,108.99","2,052.29","7.13B","1.16%"
"2017년 1월","2,067.57","2,022.23","2,091.02","2,015.68","8.42B","2.03%"
"2016년 12월","2,026.46","1,987.48","2,053.46","1,960.65","6.04B","2.17%"
"2016년 11월","1,983.48","2,003.41","2,015.23","1,931.07","6.61B","-1.23%"
"2016년 10월","2,008.19","2,056.94","2,070.43","2,002.29","6.64B","-1.73%"
"2016년 9월","2,043.63","2,022.96","2,073.89","1,991.47","8.85B","0.44%"
"2016년 8월","2,034.65","2,024.71","2,063.09","1,993.00","7.81B","0.92%"
"2016년 7월","2,016.19","1,977.36","2,030.69","1,944.33","8.07B","2.33%"
"2016년 6월","1,970.35","1,976.87","2,035.27","1,892.75","9.82B","-0.66%"
"2016년 5월","1,983.40","1,991.84","1,991.84","1,937.67","9.65B","-0.54%"
"2016년 4월","1,994.15","1,994.77","2,023.77","1,954.11","7.97B","-0.09%"
"2016년 3월","1,995.85","1,944.27","2,009.10","1,935.55","7.75B","4.13%"
"2016년 2월","1,916.66","1,919.62","1,929.53","1,817.97","6.19B","0.24%"
"2016년 1월","1,912.06","1,954.47","1,954.52","1,830.06","7.30B","-2.51%"
