지점명,도로명,지번
잠실점,서울 송파구 올림픽로 240 롯데백화점 잠실점,서울 송파구 잠실동 40-1
본점,서울 중구 남대문로 81,서울 중구 소공동 1
강남점,서울 강남구 도곡로 401 롯데백화점,서울 강남구 대치동 937
영등포점,서울 영등포구 경인로 846,서울 영등포구 영등포동 618-496
노원점,서울 노원구 동일로 1414 롯데백화점노원점,서울 노원구 상계동 713 롯데백화점노원점
스타시티점,서울 광진구 능동로 92,서울 광진구 자양동 227-342
청량리점,서울 동대문구 왕산로 214,서울 동대문구 전농동 588-1
에비뉴엘 월드타워점,서울 송파구 올림픽로 300 롯데백화점에비뉴엘월드타워점,서울 송파구 신천동 29 롯데백화점에비뉴엘월드타워점
관악점,서울 관악구 봉천로 209 롯데백화점관악점,서울 관악구 봉천동 729-22 롯데백화점관악점
미아점,서울 강북구 도봉로 62 롯데백화점미아점,서울 강북구 미아동 70-6
에비뉴엘,서울 중구 남대문로 73 롯데백화점에비뉴엘,서울 중구 소공동 7 롯데백화점에비뉴엘
영플라자명동점,서울 중구 남대문로 67,서울 중구 소공동 123
김포공항점,서울 강서구 하늘길 77 롯데백화점김포공항점,서울 강서구 방화동 886 롯데백화점김포공항점
