지점명,주소,전화번호
VIC마켓금천점,서울특별시 금천구 두산로 71 (독산동 롯데마트금천점),02-868-4300
VIC마켓도봉점,서울특별시 도봉구 마들로 645 (방학동 빅마켓도봉점),02-956-3600
VIC마켓영등포점,서울특별시 영등포구 영중로 125 (영등포동8가 롯데마트),02-2068-3434
가락점,서울특별시 송파구 중대로 222 (가락동),02-409-6036
가양점,서울특별시 강서구 양천로 570  631-5(등촌동),02-3661-0018
개봉점,서울특별시 구로구 경인로 334 (개봉동 하이마트),02-2611-6500
건대스타시티롯데백화점점,서울특별시 광진구 능동로 92 (자양동 롯데백화점),02-444-7638
건대입구점,서울특별시 광진구 아차산로 300-1 (자양동),02-2201-0091
공릉점,서울특별시 노원구 동일로 1091 (공릉동 하이마트공릉점),02-977-6700
교대역점,서울특별시 서초구 서초대로 289 (서초동 하이마트서초점),02-534-7777
구로롯데마트점,서울특별시 구로구 경인로 482  636-89 지하1층(구로동 롯데마트구로점),02-2068-2700
구로점,서울특별시 구로구 가마산로 277 (구로동 하이마트구로점),02-861-6677
금천점,서울특별시 금천구 시흥대로 322 (독산동 하이마트독산동점),02-892-8877
길동점,서울특별시 강동구 양재대로 1540 (길동 하이마트길동점),02-489-5545
김포공항롯데마트점,서울특별시 강서구 하늘길 38  롯데몰(방화동 스카이시티),02-2667-0070
난곡점,서울특별시 금천구 남부순환로 1406 (독산동 웨딩캐슬신관),02-837-6100
대방점,서울특별시 동작구 여의대방로 208 (대방동 하이마트대방점),02-835-5151
대치점,서울특별시 강남구 삼성로 156  하이마트 빌딩 B1층(대치동 하이마트사옥),02-558-8100
독산점,서울특별시 금천구 시흥대로 385 (독산동 하이마트),02-808-7009
둔촌점,서울특별시 강동구 천호대로 1156 (둔촌동),02-482-5858
면목점,서울특별시 중랑구 동일로 623 (면목동 하이마트면목점),02-496-2277
목동점,서울특별시 양천구 등촌로 10 (목동),02-2645-3300
미아롯데백화점점,서울특별시 강북구 도봉로 62  8층(미아동 롯데백화점),02-945-8557
미아사거리점,서울특별시 강북구 도봉로 10 (미아동 장작구이황궁오리정식),02-989-7400
미아점,서울특별시 강북구 도봉로 147 (미아동 하이마트),02-988-9366
발산점,서울특별시 강서구 공항대로 283 (등촌동),02-2659-6699
봉천점,서울특별시 관악구 남부순환로 1780 (봉천동 롯데하이마트),02-874-8522
불광점,서울특별시 은평구 통일로 766 (불광동 하이마트),02-355-7100
사당점,서울특별시 동작구 동작대로 77 (사당동),02-582-1491
삼선교점,서울특별시 성북구 동소문로 62 (동소문동3가),02-928-8400
삼양롯데마트점,서울특별시 강북구 삼양로 247 (미아동 롯데마트),02-985-9700
