"address","Apart","gu","dong","long","lat"
"밤고개로26길 50","강남한신휴플러스6단지","강남구","율현동",127.105484,37.468035
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403
"평창문화로 172","삼성","종로구","평창동",126.978884,37.611107
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641
"4.19로11길 16","진안골드밸리","강북구","수유동",127.0082939,37.64566661
"4.19로1길 33","정원","강북구","수유동",127.0139352,37.64654007
"63로 32","콤비빌딩","영등포구","여의도동",126.9386981,37.51896085
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078
