기간,자치구,총 개소,총 매장면적,총 건물연면적,대형마트 개소,대형마트 매장면적,대형마트 건물연면적,백화점 개소,백화점 매장면적,백화점 건물연면적,전문점 개소,전문점 매장면적,전문점 건물연면적,쇼핑센터 개소,쇼핑센터 매장면적,쇼핑센터 건물연면적,복합쇼핑몰 개소,복합쇼핑몰 매장면적,복합쇼핑몰 건물연면적,그 외 대규모 점포 개소,그 외 대규모 점포 매장면적,그 외 대규모 점포 건물연면적
2016,합계,470,"5,331,053","27,007,889",62,"869,050","6,430,205",32,"942,943","4,198,451",22,"373,094","2,827,885",35,"732,229","3,553,922",10,"278,711","1,534,046",309,"2,135,028","8,463,380"
2016,종로구,12,"133,876","444,978",-,-,-,-,-,-,2,"16,256","168,311",-,-,-,-,-,-,10,"117,620","276,667"
2016,중구,53,"688,455","4,168,708",2,"26,479","408,605",3,"86,672","386,180",2,"20,821","520,930",8,"99,051","294,531",-,-,-,38,"455,432","2,558,462"
2016,용산구,15,"298,458","1,218,260",2,"13,417","293,331",1,"19,377","276,688",5,"167,320","228,979",3,"86,786","298,328",-,-,-,4,"11,558","120,934"
2016,성동구,14,"118,525","638,524",2,"28,891","198,358",-,-,-,1,"27,129","31,845",-,-,-,1,"13,997","142,038",10,"48,508","266,283"
2016,광진구,19,"99,408","822,946",2,"14,314","313,848",1,"27,017","88,630",-,-,-,-,-,-,-,-,-,16,"58,077","420,468"
2016,동대문구,23,"172,452","797,378",2,"22,921","220,971",2,"53,326","203,479",3,"28,501","75,102",-,-,-,-,-,-,16,"67,704","297,826"
2016,중랑구,14,"114,817","586,582",6,"66,688","257,850",-,-,-,-,-,-,-,-,-,1,"21,844","232,943",7,"26,285","95,789"
2016,성북구,18,"106,229","167,757",3,"47,024","47,024",1,"36,583","88,679",-,-,-,-,-,-,1,"17,056","26,488",13,"5,566","5,566"
2016,강북구,13,"96,414","184,038",1,"8,319","19,707",1,"45,651","73,173",-,-,-,2,"17,188","37,900",-,-,-,9,"25,256","53,258"
2016,도봉구,9,"53,923","141,130",3,"25,115","91,084",-,-,-,-,-,-,-,-,-,-,-,-,6,"28,808","50,046"
2016,노원구,14,"167,941","446,552",3,"42,343","134,100",2,"58,519","132,704",-,-,-,-,-,-,-,-,-,9,"67,079","179,748"
2016,은평구,19,"143,617","484,672",2,"22,986","139,162",-,-,-,-,-,-,4,"37,538","145,047",1,"57,505","160,220",12,"25,588","40,243"
2016,서대문구,9,"80,282","199,525",-,-,-,1,"35,472","84,575",-,-,-,-,-,-,-,-,-,8,"44,810","114,950"
2016,마포구,15,"80,768","678,379",3,"31,906","521,007",-,-,-,1,"13,532","29,002",-,-,-,-,-,-,11,"35,330","128,370"
2016,양천구,14,"119,303","443,945",2,"14,074","59,518",2,"62,577","239,441",-,-,-,1,"19,765","3,387",-,-,-,9,"22,887","141,599"
2016,강서구,18,"315,656","1,054,037",4,"155,481","482,673",1,"34,547","110,026",1,"17,623","38,254",1,"77,670","315,098",-,-,-,11,"30,335","107,986"
2016,구로구,24,"364,371","1,830,202",4,"45,030","569,584",2,"63,277","210,647",-,-,-,1,"4,389","13,224",-,-,-,17,"251,675","1,036,747"
2016,금천구,15,"322,035","748,144",3,"56,885","153,342",-,-,-,-,-,-,5,"103,085","284,932",1,"24,948","98,995",6,"137,117","210,875"
2016,영등포구,27,"402,843","1,626,729",5,"97,713","733,867",2,"50,499","146,749",2,"19,564","113,125",3,"101,724","385,067",1,"37,286","84,288",14,"96,057","163,633"
2016,동작구,6,"23,288","39,029",-,-,-,1,"11,900","15,248",-,-,-,-,-,-,-,-,-,5,"11,388","23,781"
2016,관악구,21,"107,180","320,190",1,"14,784","32,282",1,"21,711","91,647",-,-,-,1,"7,081","7,870",3,"26,037","87,194",15,"37,567","101,197"
2016,서초구,27,"299,026","1,408,128",3,"22,979","208,763",2,"65,607","285,708",3,"54,347","231,184",-,-,-,-,-,-,19,"156,093","682,473"
2016,강남구,32,"332,701","1,815,204",1,"5,174","46,778",6,"136,951","318,845",-,-,-,3,"27,290","443,334",1,"80,038","701,880",21,"83,248","304,367"
2016,송파구,23,"545,601","6,292,644",5,"74,611","1,390,126",2,"104,262","1,371,829",2,"8,001","1,391,153",3,"150,662","1,325,204",-,-,-,11,"208,065","814,332"
2016,강동구,16,"143,884","450,208",3,"31,916","108,225",1,"28,994","74,203",-,-,-,-,-,-,-,-,-,12,"82,974","267,780"
