지점명,주소,lon,lat
VIC마켓금천점,서울특별시 금천구 두산로 71 (독산동 롯데마트금천점),126.8956768,37.4705726
VIC마켓도봉점,서울특별시 도봉구 마들로 645 (방학동 빅마켓도봉점),127.0455021,37.6675614
VIC마켓영등포점,서울특별시 영등포구 영중로 125 (영등포동8가 롯데마트),126.905,37.5277778
가락점,서울특별시 송파구 중대로 222 (가락동),127.1281042,37.5014031
가양점,서울특별시 강서구 양천로 570  631-5(등촌동),126.862007,37.5566252
개봉점,서울특별시 구로구 경인로 334 (개봉동 하이마트),126.8572727,37.4970985
건대스타시티롯데백화점점,서울특별시 광진구 능동로 92 (자양동 롯데백화점),127.0711279,37.5389565
건대입구점,서울특별시 광진구 아차산로 300-1 (자양동),127.0730723,37.5385957
공릉점,서울특별시 노원구 동일로 1091 (공릉동 하이마트공릉점),127.0717915,37.6273353
교대역점,서울특별시 서초구 서초대로 289 (서초동 하이마트서초점),127.0131156,37.4939406
구로롯데마트점,서울특별시 구로구 경인로 482  636-89 지하1층(구로동 롯데마트구로점),126.8726515,37.498243
구로점,서울특별시 구로구 가마산로 277 (구로동 하이마트구로점),126.8907494,37.4965501
금천점,서울특별시 금천구 시흥대로 322 (독산동 하이마트독산동점),126.8980914,37.4622406
길동점,서울특별시 강동구 양재대로 1540 (길동 하이마트길동점),127.1424594,37.5429143
김포공항롯데마트점,서울특별시 강서구 하늘길 38  롯데몰(방화동 스카이시티),126.8038755,37.5636432
난곡점,서울특별시 금천구 남부순환로 1406 (독산동 웨딩캐슬신관),126.9077844,37.4801552
대방점,서울특별시 동작구 여의대방로 208 (대방동 하이마트대방점),126.922671,37.50518
대치점,서울특별시 강남구 삼성로 156  하이마트 빌딩 B1층(대치동 하이마트사옥),127.0638243,37.4942118
독산점,서울특별시 금천구 시흥대로 385 (독산동 하이마트),126.8972997,37.4678294
둔촌점,서울특별시 강동구 천호대로 1156 (둔촌동),127.1418989,37.5333196
면목점,서울특별시 중랑구 동일로 623 (면목동 하이마트면목점),127.0795348,37.5859246
목동점,서울특별시 양천구 등촌로 10 (목동),126.8642235,37.5307906
미아롯데백화점점,서울특별시 강북구 도봉로 62  8층(미아동 롯데백화점),127.0305098,37.6145502
미아사거리점,서울특별시 강북구 도봉로 10 (미아동 장작구이황궁오리정식),127.0310739,37.6154128
미아점,서울특별시 강북구 도봉로 147 (미아동 하이마트),127.0274486,37.6219883
발산점,서울특별시 강서구 공항대로 283 (등촌동),126.848598,37.557626
봉천점,서울특별시 관악구 남부순환로 1780 (봉천동 롯데하이마트),126.9478839,37.4813982
불광점,서울특별시 은평구 통일로 766 (불광동 하이마트),126.9276953,37.6135004
사당점,서울특별시 동작구 동작대로 77 (사당동),126.9815625,37.4834386
삼선교점,서울특별시 성북구 동소문로 62 (동소문동3가),127.0104043,37.589613
삼양롯데마트점,서울특별시 강북구 삼양로 247 (미아동 롯데마트),127.0178887,37.6254501
상계점,서울특별시 노원구 동일로 1641 (상계동 하이마트),127.0548662,37.6748897
상도점,서울특별시 동작구 상도로 237 (상도동 (주)하이마트상도점),126.9452245,37.505375
