"학원명","학원주소","lon","lat"
"나라음악학원","서울특별시 강동구 고덕로27길 29 (암사동)",127.1377237,37.5561027
"YBM바른보습학원","서울특별시 강동구 구천면로42길 38 , 3층 (천호동)",127.136074,37.5456691
"빈음악학원","서울특별시 강동구 동남로49길 60-4 , 3층 (둔촌동, 헤어이슈)",127.1466445,37.532853
"하얀음악학원","서울특별시 강동구 천중로51길 56 , 2층 (길동)",127.1449175,37.5432267
"학우속셈학원","서울특별시 송파구 백제고분로42길 35 (송파동)",127.1061795,37.5086756
"모짜르트음악학원","서울특별시 송파구 오금로31가길 13 , 3층 (방이동)",127.1225447,37.5070701
"선화음악학원","서울특별시 송파구 백제고분로46길 26 , 3층 (송파동)",127.1136337,37.5074928
"신화창조미술학원","서울특별시 송파구 가락로 151 , 6층 (송파동)",127.1175211,37.5072111
"희가원무용학원","서울특별시 송파구 양재대로72길 8 , 4층 (오금동)",127.1276745,37.509467
"윤선생영어숲상일보습학원","서울특별시 강동구 상일로11길 63 , 상가205,206,208,209,210호 (상일동,고덕주공아파트)",127.1669237,37.5522344
"신수지음악학원","서울특별시 강동구 동남로81길 44 , 2층 일부 (고덕동)",127.154494,37.5599822
"TTE미술학원","서울특별시 강동구 양재대로136길 24 , 3층 (명일동, 한양빌딩)",127.1553401,37.5519077
"소진음악학원","서울특별시 송파구 양재대로64길  , 가락아파트42-506 (가락동)",127.1203961,37.4950933
"동화나라미술학원","서울특별시 강동구 구천면로100길 11 , 3층 (상일동)",127.1717121,37.5503648
"글로리아음악학원","서울특별시 강동구 천중로15길 36 , 2층 (천호동)",127.1236423,37.5459136
"대지보습학원","서울특별시 강동구 양재대로 1330 , 둔촌종합상가 314,318,319,321,324호 (둔촌동)",127.136231,37.527657
"하나미술학원","서울특별시 강동구 양재대로 1626 , 고덕빌딩504호 (명일동)",127.1545916,37.5538729
"두리미술학원","서울특별시 송파구 동남로8길 26 (문정동)",127.1260536,37.4893813
"담비피아노학원","서울특별시 송파구 백제고분로20길 13 (잠실동)",127.0859794,37.5034796
"연당서예학원","서울특별시 강동구 명일로 243 (길동)",127.1466661,37.5403227
"엠제이서울무용학원","서울특별시 송파구 동남로18길 45 , 2층일부 (가락동)",127.1348016,37.4928022
"홍파피아노학원","서울특별시 강동구 상일로11길 25 , 고덕주공바상가215,216호 (상일동)",127.1706987,37.5522472
"수음악학원","서울특별시 강동구 구천면로 278 ,  동아하이빌상가201호 (천호동)",127.1343993,37.5447069
"권혜경음악학원","서울특별시 송파구 도곡로64길 8 , (2층) (잠실동)",127.0788634,37.5051138
"현대신웅변학원","서울특별시 강동구 상암로39길 24 , 2층 (천호동)",127.1403754,37.546952
"비발디음악학원","서울특별시 강동구 고덕로20길 15 , 2층 (암사동)",127.1339949,37.5539102
"아뜰리에작은화가들미술학원","서울특별시 송파구 가락로28길 15 (송파동)",127.1170014,37.5063853
"미파음악학원","서울특별시 송파구 오금로31길 19 , 3층 (방이동)",127.1219307,37.5076341
"은파음악학원","서울특별시 송파구 송이로33길 10 , 2층 (문정동)",127.1332622,37.4879333
"모란미술학원","서울특별시 송파구 석촌호수로 133 , 주공4단지상가320호 (잠실동)",127.069113,37.483822
"제이와이보습학원","서울특별시 송파구 가락로39길 8 , 2층 (방이동 158-17)",127.1182662,37.5118535
"칸타빌레음악학원","서울특별시 송파구 새말로17길 15  2층 (문정동)",127.1304101,37.4863958
"홍익서예학원","서울특별시 송파구 동남로20길 9 (가락동)",127.1335433,37.49649
"미래보습학원","서울특별시 강동구 동남로67길 30 , 2층 (명일동)",127.1542048,37.5488234
"예고은미술학원","서울특별시 강동구 성안로25길 55 , 3층 (천호동)",127.1296914,37.5261073
"예고은음악학원","서울특별시 강동구 성안로25길 55 , 3층 (천호동)",127.1296914,37.5261073
"강동세계로보습학원","서울특별시 강동구 명일로 276 , 2층 (길동)",127.1479204,37.5431637
"프라임솔리스트음악학원","서울특별시 송파구 가락로36길 9 , 2층 (방이동)",127.1191516,37.5096624
"김수연음악학원","서울특별시 송파구 백제고분로46길 32-36 , 2층 (송파동)",127.112983,37.5059958
"세미피아노학원","서울특별시 송파구 백제고분로42길 20 , 2층 (송파동)",127.110383,37.5048283
"짐머만음악학원","서울특별시 강동구 동남로81길 66 , 2층 (고덕동)",127.153284,37.559387
"이레음악학원","서울특별시 강동구 구천면로 440 (명일동)",127.1500409,37.5502209
"예시각미술학원","서울특별시 송파구 오금로46길 44 (가락동)",127.1336981,37.4944392
"김소연음악학원","서울특별시 송파구 한가람로  ,  우성4차아파트 우성상가2층 (잠실본동)",127.0829611,37.5027667
"예그린음악학원","서울특별시 강동구 구천면로47가길 14 , 2층 (암사동)",127.1339735,37.5492083
"이지스보습학원","서울특별시 송파구 거마로 7 , 3층 (거여동, OK 빌딩)",127.1444558,37.4939781
"김정록무용학원","서울특별시 송파구 한가람로  , 3층 (풍납동)",127.1134887,37.5327384
"명문음악학원","서울특별시 강동구 암사길 60 (암사동)",127.1360664,37.551825
"산성보습학원","서울특별시 송파구 성내천로 254 , 2층 (마천동)",127.1598069,37.4968446
"까치음악학원","서울특별시 강동구 양재대로 1330 , 종합상가315호 (둔촌동,주공아파트)",127.142042,37.523972
"케임브리지영어보습학원","서울특별시 강동구 상일로 127 , 2층 전체 (고덕동)",127.1708754,37.5584648
"SSEN쎈영어보습학원","서울특별시 강동구 동남로75길 13-25 , 5층 (명일동)",127.1555377,37.5541563
"나라엠보습학원","서울특별시 송파구 백제고분로22길 30 , 3층 (삼전동)",127.0881506,37.5012708
"죽림서예학원","서울특별시 송파구 마천로  , 프라자상가 202호 (거여동)",127.1491076,37.4954308
"석정속셈학원","서울특별시 강동구 구천면로46길 4 (천호동)",127.1362421,37.5479869
"송파해정보습학원","서울특별시 송파구 오금로36길 63 ,  2층 (가락동)",127.1218427,37.49854
"대신보습학원","서울특별시 송파구 오금로46길 37 , 3층 (가락동)",127.1338805,37.4944209
"민병철어학학원","서울특별시 송파구 백제고분로 365 , 태문빌딩 4층 (석촌동)",127.1062921,37.5053224
"엠비씨방송아카데미학원","서울특별시 송파구 백제고분로9길 10 , 1,2,3,4층 (잠실동)",127.080224,37.5089827
"다원색미술학원","서울특별시 송파구 마천로7가길 5 , 2층 (오금동)",127.1276386,37.5088568
"지수학사랑보습학원","서울특별시 송파구 거마로 83 , 2층 (마천동)",127.1473341,37.5003261
"정도보습학원","서울특별시 강동구 명일로 244 , 2층1호 (길동)",127.1470957,37.5403609
"풍납현대음악학원","서울특별시 송파구 토성로19길 7 , 3층 (풍납동)",127.1126179,37.5310018
"그루터기속셈학원","서울특별시 송파구 성내천로 158 (마천동)",127.1521087,37.4997568
"이튼스쿨보습학원","서울특별시 송파구 오금로34길 49-1 , 2층 (가락동)",127.122327,37.4994879
"엠아이티수학보습학원","서울특별시 송파구 오금로32길 50 , 2,3층 (송파동)",127.1174619,37.5026387
"가을미술학원","서울특별시 강동구 양재대로 1590 , 1층일부 (명일동)",127.1500409,37.5502209
"한아름보습학원","서울특별시 송파구 위례성대로22길 8 , 2층 (오금동)",127.1309732,37.5095265
"백향목보습학원","서울특별시 송파구 오금로 422 , 3층 (가락동)",127.1251764,37.5032169
"가온음악학원","서울특별시 송파구 백제고분로15길  , 2층 (잠실본동)",127.0843184,37.5060673
"강동하늘소리음악학원","서울특별시 강동구 진황도로27길 29 , 2층 (천호동)",127.132033,37.5397078
"서울과학보습학원","서울특별시 송파구 마천로 31 , 3층 (방이동)",127.1244049,37.5094302
"천호대성보습학원","서울특별시 강동구 양재대로123길 9 ,  (3층) (천호동)",127.1413897,37.5432768
"가락이지음악학원","서울특별시 송파구 가락로 82 , 3층일부(308호) (석촌동)",127.1035697,37.503517
"하늘연음악학원","서울특별시 강동구 명일로 261 , (2층) (길동)",127.1472025,37.541907
"한솔속셈학원","서울특별시 송파구 백제고분로41길 19-1 (송파동)",127.1082289,37.5075377
"마천성문속셈학원","서울특별시 송파구 거마로 74 , 3층 (마천동)",127.1473835,37.4991623
"신동아피아노학원","서울특별시 강동구 천중로 264 ,  신동아아파트상가2층 (길동)",127.1381235,37.531707
"필보습학원","서울특별시 송파구 성내천로8길 3 , 2층 (오금동)",127.1360643,37.5021671
"예인음악학원","서울특별시 강동구 구천면로42길 28 , 2,3층 (천호동)",127.135597,37.5459197
"예종피아노음악학원","서울특별시 강동구 구천면로16길 33 , 2층 (천호동)",127.1215455,37.5404989
"천호연세속셈학원","서울특별시 강동구 구천면로62길 24 (천호동)",127.1391563,37.549048
"뉴멘토보습학원","서울특별시 송파구 동남로20길 22 , 3층 (가락동)",127.1342832,37.4955826
"제이유에스티원보습학원","서울특별시 강동구 성내로 69 , (4층) (성내동)",127.127819,37.5278613
"서울라이프음악학원","서울특별시 송파구 올림픽로35길 112 , 2동 407호 (신천동, 장미아파트B상가)",127.1015754,37.5190781
"동부진학속셈학원","서울특별시 강동구 명일로 189 ,  2,3층 (길동)",127.1451607,37.5355984
"예음음악학원","서울특별시 송파구 오금로 ,  나상가 2층 (가락동,가락아파트)",127.1265404,37.4944907
"수신보습학원","서울특별시 송파구 문정로11길 24 , 2층 (가락동)",127.123956,37.4862779
"엄지미술학원","서울특별시 강동구 고덕로83길  , 3층 (고덕동)",127.1694886,37.5603324
"오늘미술학원","서울특별시 송파구 송파대로 370 ,  3,4층  (송파동)",127.113255,37.5069016
"마천수지음악학원","서울특별시 송파구 성내천로 230 ,  2,3층 (마천동)",127.1585181,37.4985204
"최영숙무용학원","서울특별시 송파구 양재대로  , 4층 (오금동)",127.1318961,37.5096342
"송파줄리어드음악학원","서울특별시 송파구 새말로6길 7 , 2층 (문정동)",127.1261464,37.4820952
"와이비엠시사닷컴송파잠실이씨씨어학학원","서울특별시 송파구 오금로 235 , 4층 (방이동 227-4외4필지,동양증권)",127.1199018,37.5067947
"우주미술학원","서울특별시 송파구 백제고분로50길 42 , 2층 (방이동)",127.1190449,37.5127747
"성우음악학원","서울특별시 송파구 올림픽로4길 42 , 상가2동3층 301호 (잠실동)",127.0729819,37.5068555
"그레이스음악학원","서울특별시 송파구 송파대로32길 8 , 가락우성상가3층(7,8호) (가락동)",127.1177959,37.4965473
"위례음악학원","서울특별시 강동구 양재대로  (둔촌동)",127.136248,37.527664
"영란음악학원","서울특별시 강동구 명일로16길 25 , 2층 (길동)",127.1475273,37.5372356
"하모니음악학원","서울특별시 송파구 백제고분로32길 12 , 2층 (삼전동)",127.09489,37.5012803
"서광음악학원","서울특별시 송파구 가락로 169 , 3층 (송파동)",127.1119989,37.5096323
"예윤음악학원","서울특별시 송파구 동남로18길 44 , 3층 (가락동)",127.1336195,37.4919492
"천년의미소미술학원","서울특별시 강동구 양재대로 1478 , 5층 (길동)",127.1528376,37.5415268
"이레실용음악학원","서울특별시 강동구 고덕로 95 , 2층 (암사동)",127.1358228,37.5548841
"베르디음악학원","서울특별시 송파구 오금로 432 , 3층 303호 (가락동)",127.1157128,37.4952783
"선화피아노학원","서울특별시 강동구 양재대로116길 41 , 2층 (길동)",127.1426989,37.5382395
"가나미술학원","서울특별시 강동구 천중로12길 23-40 , (1,2층) (천호동)",127.1283227,37.5433955
"마루보습학원","서울특별시 강동구 동남로75길 13-7 , 401호 (명일동, 배재빌딩)",127.1555359,37.5539562
