"학원명","학원주소","lon","lat"
"한국옥외광고물전문학원","서울특별시 용산구 한강대로80길 5 , 3층 (남영동, 유명숙산부인과)",126.9731096,37.5427598
"예림미용학원","서울특별시 종로구 돈화문로9길 32<U+00A0> 1층일부,3,4층(낙원동)",126.9899182,37.5717963
"제일편물학원","서울특별시 중구 퇴계로18길 66  (남신동1가)",126.9842135,37.5580705
"코리아헤럴드학원","서울특별시 중구 남대문로10길 6   2~4층 (수하동)",126.9832228,37.5668399
"세기음악학원","서울특별시 종로구 종로 65<U+00A0>  4층(종로2가)",126.9847122,37.5704557
"한성경상고시학원","서울특별시 종로구 인사동7길 12  3층 (관훈동)",126.9852473,37.5729745
"한국심리화술학원","서울특별시 종로구 종로 123<U+00A0>  7층(종로3가)",126.990028,37.570543
"미동소방기술학원","서울특별시 종로구 돈화문로 12-1 , 5층 및 6층일부 (장사동)",126.9925211,37.5695813
"동향음악학원","서울특별시 중구 다산로36길 36  (신당동)",127.0168981,37.5618793
"새서울미용학원","서울특별시 중구 다산로 221-1   3층 (신당동)",127.0150771,37.5629814
"종로실용음악학원","서울특별시 종로구 종로 80-2 , 4층 (종로2가,삼양빌딩)",126.9864096,37.5699074
"한양목공예학원","서울특별시 종로구 수표로 108  금강빌딩4층 (낙원동)",126.989487,37.5708655
"이화독서실","서울특별시 종로구 율곡로19길 33-13 (이화동)",127.0062461,37.5771222
"노라노패션학원","서울특별시 종로구 종로 393-1 , 3층,4층 (숭인동)",127.0209606,37.5748805
"J음악학원","서울특별시 용산구 원효로 68   4층 (원효로4가)",126.9538053,37.5333409
"국제냉동공조기술학원","서울특별시 종로구 종로46길 1  (창신동)",127.0102636,37.5706172
"상록펜글씨학원","서울특별시 종로구 종로 383 (종로3가)",126.9912475,37.5715
"삼성음악학원","서울특별시 종로구 종로 70  (종로2가)",126.9851293,37.5698912
"GnB뉴보습학원","서울특별시 중구 다산로36가길 16   23층 (신당동)",127.0194624,37.5610609
"재동보습학원","서울특별시 종로구 북촌로6길 1 (가회동)",126.9851717,37.5801298
"한미컴퓨터학원","서울특별시 종로구 종로 383 (숭인동)",127.0221796,37.5781509
"동화음악학원","서울특별시 중구 퇴계로86길 100 , 3층 (신당동,두복빌딩)",127.0180213,37.5613695
"예진음악학원","서울특별시 용산구 보광로 30  (보광동)",127.0002912,37.5271282
"세기속셈학원","서울특별시 용산구 보광로 30  (보광동)",127.0002912,37.5271282
"맥보습학원","서울특별시 용산구 이촌로 200   2층 (이촌동)",126.9693336,37.5209017
"영재보습학원","서울특별시 용산구 새창로14길 27  (용문동)",126.9596696,37.5374141
"화인컴퓨터학원","서울특별시 용산구 우사단로 2-1   5층 일부 (보광동)",126.9969101,37.5305523
"명륜독서실","서울특별시 종로구 성균관로 40   4층 (명륜1가)",126.9978552,37.5901838
"힐독서실","서울특별시 종로구 자하문로41길 4   1층 (부암동)",126.962275,37.5975811
"용산한맥프라임학원","서울특별시 용산구 신흥로 72    1층,2층(용산동2가)",126.9868187,37.544544
"MY음악학원","서울특별시 종로구 창신길 63  (창신동)",127.0105757,37.5745248
"소리샘음악학원","서울특별시 용산구 새창로20길 9  (신영동)",126.959177,37.5381711
"새롬피아노학원","서울특별시 용산구 우사단로2길 1  (신당동)",126.9968605,37.5307925
"창조미술학원","서울특별시 종로구 율곡로 282   외 8필지 7층일부 8층 (종로6가)",127.0078329,37.571853
"명륜음악학원","서울특별시 종로구 창경궁로 247   2345층 (명륜2가)",126.9993852,37.5854975
"예림음악학원","서울특별시 종로구 이화장길 40   2층 (이화동)",127.004756,37.5769691
"도올미술학원","서울특별시 용산구 두텁바위로1길 105  (후암동)",126.975907,37.5485622
"중구정일학원","서울특별시 중구 다산로42나길 31 , 2~4층 (신당동)",127.018143,37.563016
"모듈미술학원","서울특별시 중구 다산로 104  4층 (신당동)",127.0098603,37.5531354
"늘푸른보습학원","서울특별시 중구 청구로14길 41 , 3층 (신당동)",127.0129882,37.5625954
"한맥보습학원","서울특별시 종로구 지봉로8길 54   3층 (숭인동)",127.0157357,37.5766746
"윤선생영어숲청파보습학원","서울특별시 용산구 효창원로94길 3 , 2층 (청파동1가)",126.9642972,37.54828
"선린보습학원","서울특별시 용산구 원효로 189-3   2층 3층 (원효로2가)",126.9633329,37.536566
"영재스카이학원","서울특별시 종로구 혜화로 47  2층 (명륜1가)",126.9989078,37.5896296
"GT영재학원","서울특별시 용산구 이촌로75길 16   2층 (이촌동)",126.9743871,37.52056
"원일보습학원","서울특별시 중구 청구로 105   2층 (신당동)",127.0106452,37.5612225
"바다소리음악학원","서울특별시 종로구 성균관로1길 6-3   3층(명륜3가)",126.9977661,37.5834055
"새서울보습학원","서울특별시 종로구 창신4나길 4  1층 (창신동)",127.0100391,37.5737526
"가회독서실","서울특별시 종로구 북촌로 42-3  4층 (가회동)",126.9836531,37.5824075
"청운음악학원","서울특별시 용산구 효창원로94길 23   5층 (청파동1가)",126.9642972,37.54828
"종로스마트카스속기학원","서울특별시 종로구 돈화문로 29<U+00A0>  802호(묘동, 영신빌딩)",126.9917929,37.5710348
"종로제과학원","서울특별시 종로구 돈화문로11길 15  2층 (돈의동)",126.9906342,37.5724251
"동원스시아카데미학원","서울특별시 중구 퇴계로 354 , 5층/6층일부 (신당동)",127.0108632,37.5644275
"킹버드예음종합학원","서울특별시 종로구 진흥로 484 , 2층, 3층일부 (신영동)",126.960519,37.6051226
"자하미술학원","서울특별시 종로구 자하문로 219   12층 (부암동)",126.9634691,37.593782
"종각21제과제빵커피학원","서울특별시 종로구 종로8길 21   3층4층 일부 (관철동)",126.9841088,37.5690344
"고려한복학원","서울특별시 종로구 동호로 408  (종로5가)",127.0022143,37.5706935
"제일섬유퀄트디자인학원","서울특별시 중구 퇴계로18길 66<U+00A0>  12층(남산동1가)",126.9842135,37.5580705
"KC중국어학원","서울특별시 종로구 종로 120 , 6~8층 (종로3가)",126.9901218,37.5705483
"차이나로중국어학원","서울특별시 종로구 삼봉로 95<U+00A0>   3,4층(견지동)",126.9824791,37.5724163
"한솔요리학원","서울특별시 종로구 삼일대로 395 , 종로빌딩 7층 일부, 8층 (종로2가,종로2가71-2외2필지)",126.9873712,37.5699162
"미래보험교육학원","서울특별시 용산구 한강대로 295 ,  501호 (갈월동,남영빌딩)",126.9717485,37.5445096
"동아음악학원","서울특별시 중구 동호로10길 30  (종로2가)",127.0136603,37.5549858
"동아보습학원","서울특별시 중구 동호로10길 30  약수하이츠상가6층 (신당동)",127.0136603,37.5549858
"종로엘리트학원","서울특별시 용산구 효창원로 218 , 2층 (청파동2가, 리챠드빌딩)",126.9636104,37.5466203
"산울림음악학원","서울특별시 종로구 진흥로 490 , 2층 (신영동, 새마을금고)",126.9607201,37.6046965
"쇼팽음악학원","서울특별시 종로구 통일로 246-10 3층 305호 쇼팽음악학원<U+00A0>(무악동,현대아파트상가)",126.9604154,37.5752001
"벌리츠어학원","서울특별시 중구 서소문로 115 (서소문동,한산빌딩)",126.9736367,37.5633684
"강북서연학원","서울특별시 중구 다산로 178  309-50번지 4층 (신당동)",127.0135757,37.559244
"연세보습학원","서울특별시 중구 청구로1길 23 , 1상가 404호 (신당동, 신당동삼성아파트)",127.0177159,37.5581199
"케이에스탑학원","서울특별시 중구 동호로11길 29  23층 (신당동)",127.0094919,37.553863
"MBC아카데미디지털교육학원","서울특별시 종로구 대학로 144<U+00A0>  4층(혜화동)",127.0020454,37.5839463
"에스제이통역번역어학원","서울특별시 중구 세종대로20길 15<U+00A0> 2,3,4층(태평로1가)",126.97832,37.5671913
"강변학원","서울특별시 용산구 이촌로 68-1 , 3층 (이촌동)",126.9562539,37.5258588
"마포메이플베어캐나다문화어학원","서울특별시 용산구 원효로 51 , 리버힐삼성아파트상가 4층일부 (산천동,삼성테마트)",126.9503898,37.5339827
"수학의맥학원","서울특별시 용산구 후암로 42-1 , 3층 (후암동, 홍인한의원)",126.9776089,37.549648
"참진하이캠퍼스학원","서울특별시 중구 다산로 85 , 2층 (신당동)",127.0081281,37.5521567
"서울통역학원","서울특별시 용산구 한강대로 367   3층 (동자동)",126.9759981,37.5526546
"꿈나라음악학원","서울특별시 용산구 보광로24길 9 , 3층 (보광동)",126.9994957,37.5284126
"혜승학원","서울특별시 종로구 통일로 246-20<U+00A0>  4층(무악동, 무악현대아파트상가)",126.9604154,37.5752001
"아이비독서실","서울특별시 중구 동호로7길 45   4층 (신당동)",127.0108665,37.5517643
"21C이화음악학원","서울특별시 용산구 새창로 70  삼성래미안아파트 상가 404호 (도원동)",126.955778,37.5385378
"숙명음악학원","서울특별시 중구 다산로 32  남산타운4상가 201호 (신당동)",127.0116094,37.5500195
"해오름보습학원","서울특별시 종로구 자하문로9길 11   2-3층 (통인동)",126.9705513,37.5792842
"약수시강원학원","서울특별시 중구 동호로7길 26   1층2층3층 (신당동)",127.0106196,37.5526326
"삼성수학학원","서울특별시 중구 중림로 10 , 210호 (중림동, 중림동 삼성 사이버 빌리지)",126.9649372,37.5587312
"열공학원","서울특별시 용산구 후암로 40-2   3층 (후암동)",126.9776594,37.5495172
"남산학원","서울특별시 중구 동호로7길 45   3층 (신당동)",127.0108665,37.5517643
"이얼싼중국어(中國語)학원","서울특별시 중구 세종대로 93 (태평로2가,광학빌딩)",126.9765531,37.5646183
"한양문화예술학원","서울특별시 용산구 한강대로44길 17-4 , 2층 (한강로2가)",126.9709041,37.5308412
"할리스커피학원","서울특별시 종로구 대학로10길 11 , 3~4층 (동숭동)",127.0027906,37.5818127
"삼육외국어학원","서울특별시 용산구 한강대로81길 26 (갈월동)",126.9715307,37.5456895
"VDAS디자인학원","서울특별시 종로구 창경궁로 240-7   인성빌딩 3층 일부 (명륜4가)",126.999022,37.5823673
"현독서실","서울특별시 종로구 평창11길 6 () (평창동)",126.9669424,37.6060494
"서울외국어아카데미학원","서울특별시 용산구 한강대로 367   1-3층 (동자동)",126.9765234,37.5528898
"YBM어학원","서울특별시 종로구 종로 104 , 1층/3~10층 (종로2가)",126.985657,37.5701735
"YBMe4u어학원","서울특별시 종로구 삼일대로20길 6 , 1층~9층 (관철동)",126.9882648,37.5694998
"개념원리수학원","서울특별시 용산구 원효로 70 , 2번지 3층 (원효로4가,신정빌딩)",126.9537377,37.5332376
"문단열의잉글리시시어터글로벌어학원","서울특별시 종로구 삼일대로15길 19  (관철동)",126.9863839,37.5686417
"국제문화어학학원","서울특별시 종로구 송월1길 73-18  304-44번지 (사직동)",126.9646095,37.5733948
"한국자동차정비학원","서울특별시 용산구 한강대로 375   19-101번지1234 (동자동)",126.972128,37.5523409
"수도관광학원","서울특별시 종로구 종로 409  (숭인동)",127.0220645,37.5774309
"수도어학학원","서울특별시 종로구 종로 405  (숭인동)",127.0221636,37.5774687
"대성컴퓨터학원","서울특별시 종로구 지봉로 77-3   3층 (창신동)",127.0152236,37.5768766
"장원보습학원","서울특별시 용산구 만리재로 134 , 힐타워 8층 (서계동,파리바게뜨제과)",126.9625504,37.5512938
"테스트와이즈시사영어학원","서울특별시 종로구 우정국로2길 34 , 3~6층 (관철동)",126.9849322,37.5694199
"PAGODA어학원","서울특별시 종로구 청계천로 93 , 2~11층/12층일부/14~15층 (관철동, 파고다타워)",126.9879963,37.5684514
"뉴G.S.T보습학원","서울특별시 용산구 회나무로6길 5   4층 (이태원동)",126.9887596,37.5386714
"플랜티어학원","서울특별시 종로구 수표로 105 , 8~9층 (종로2가,육의전빌딩)",126.989102,37.570504
"영상작가전문교육학원","서울특별시 중구 서애로 27 , 2층  (필동3가)",126.9970793,37.5599051
"오름학원","서울특별시 용산구 보광로 46   용호빌딩 405호 (보광동)",126.9991845,37.5282487
"세종액터스연기학원(TheProfessionalActorsStudio)","서울특별시 종로구 대학로 144 , 4층 (혜화동,중원빌딩)",126.9866074,37.573173
"종로기술사학원","서울특별시 종로구 돈화문로5가길 1  피카디리플러스 7층 (돈의동)",126.9911934,37.5710462
"대학로정수보습학원","서울특별시 종로구 이화장1길 12   찬스빌딩 23층 (이화동)",127.0052534,37.5771895
"중앙요리학원","서울특별시 용산구 한강대로 328   3층-4층 (갈월동)",126.9721095,37.547176
"권상국애견미용학원","서울특별시 중구 퇴계로 209   4층 (충무로4가)",126.993538,37.5625754
"가톨릭간호학원","서울특별시 용산구 한강대로 283   세종빌딩 5층 일부 (갈월동)",126.9709712,37.5305113
"문화외국어학원","서울특별시 중구 퇴계로18길 66<U+00A0>  12층(남산동1가)",126.9842135,37.5580705
"메디안간호학원","서울특별시 중구 장충단로 263   밀리오레상가 18층 (을지로6가)",127.0084776,37.568063
"YBMe4u종로어학원","서울특별시 종로구 종로 98 (종로2가)",126.988378,37.569836
"종로엠학원","서울특별시 중구 다산로 175 , 6,7층 (신당동,명덕빌딩)",127.012848,37.5592388
"그린컴퓨터아트학원","서울특별시 종로구 수표로 96<U+00A0>  2층(관수동)",126.9917321,37.5687483
"박문각종로고시학원","서울특별시 종로구 수표로 93 , 3층 (관수동,경보빌딩)",126.9756919,37.5705621
"칩꾸아프학원","서울특별시 중구 필동로 14 , 4층 (필동2가, 대평빌딩)",126.9959124,37.5603692
"토파스여행정보학원","서울특별시 중구 소공로 88   신관19층(소공동, 해운빌딩)",126.9809212,37.5632943
"아마데우스음악학원","서울특별시 용산구 원효로 51 , ,406호 (산천동,삼성테마트)",126.9503898,37.5339827
"종로학원","서울특별시 중구 청파로 456<U+00A0>  1,2,3,4,5층(중림동)",126.9682129,37.5607773
"비엔나뮤직인스티튜트음악학원","서울특별시 중구 명동9길 31   4층 (을지로2가)",126.9840848,37.5651291
"참독서실","서울특별시 용산구 보광로 34   외 1필지 4층 (보광동)",127.0000035,37.527406
"신영보습학원","서울특별시 종로구 세검정로9길 59   2층 (신영동)",126.9599843,37.6054575
"Testmate시사일본어학원","서울특별시 종로구 삼일대로17길 16 , 2층일부, 3층 (관철동)",126.9866381,37.5692534
"대한커피학원","서울특별시 종로구 종로 223 , 5층 (종로5가,우교빌딩)",127.002467,37.5713124
"연세스피치학원","서울특별시 종로구 종로 82   4-5층 (종로2가)",126.9881235,37.5695689
"JRC중국어학원","서울특별시 종로구 종로 68   6층 (종로2가)",126.9835766,37.5707075
"케이지아이티뱅크학원","서울특별시 종로구 대학로 9  외 1필지 광일빌딩 3-4층 (효제동)",127.0016722,37.5719576
"시사일본어학원","서울특별시 종로구 종로12길 6   1층 2층 3층 4층 6층 (관철동)",126.984601,37.5698018
"국제칵테일교육학원","서울특별시 용산구 한강대로 397   7층 9층 (동자동)",126.9727203,37.5507383
"퓨쳐스베스트어학원","서울특별시 용산구 이촌로 206 , 4층 (이촌동,국민은행)",126.9698437,37.520882
"동방디자인학원","서울특별시 종로구 수표로18길 15   유덕빌딩 4층 (관수동)",126.9903849,37.5694791
"EM플러스학원","서울특별시 중구 다산로40길 56 , 3층 (신당동,신당치과의원)",127.0198266,37.5638414
"한국보건통역학원","서울특별시 종로구 종로17길 12<U+00A0> (종로2가)",126.9889929,37.5709045
"샌프란시스코음악학원","서울특별시 용산구 새창로 70  도원삼성래미안 상가 305호 (도원동)",126.9552615,37.5382852
"ebest도원학원","서울특별시 용산구 새창로 70  도원삼성래미안아파트 상가동 406호 (도원동)",126.957358,37.53961
"ExploreEnglish영어학원","서울특별시 종로구 자하문로 83 , 3층 (신교동,신도빌딩)",126.9700669,37.5833869
"종로전기학원","서울특별시 중구 을지로11길 18 , 3~4층 (을지로3가)",126.9909936,37.5670994
