"행정구역(시군구)별",2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"서울특별시",10018537,10014261,10009588,10002979,9995784,9989795,9981673,9971111,9964291,9954791,9943333,9930616,9930478,9931412,9926968,9922745,9919016,9914381,9908612,9902072,9891448,9882810,9870167,9857426,9851767,9845336,9838892,9830452,9820971,9814049,9806538,9799075,9793003,9784112,9774088,9765623,9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107,9733509,9736962,9733655
"종로구",154856,154950,155142,154919,154626,154365,154201,153961,153793,153581,153232,152737,152405,152398,153589,153937,154293,154408,154802,155035,155109,155103,154906,154770,154619,154509,154549,154312,154104,153780,153531,153401,153396,153296,153172,153065,152866,152880,152778,152495,152220,152026,151858,151766,151767,151541,151457,151290,151215,151309,151217
"중구",125602,125555,125765,125786,125580,125457,125454,125642,125635,125710,125572,125249,124976,124714,124312,124072,124064,123970,123926,124793,125332,125445,125580,125709,125786,125945,126082,125986,126152,126032,125941,125802,125815,125803,125760,125725,125872,125995,125942,125913,125808,126143,126414,126412,126409,126270,126209,126171,126201,126259,126175
"용산구",233069,232869,232684,232543,232389,232335,232242,231857,231528,231015,230593,230241,229997,229795,229456,229062,228865,228861,228766,228820,228960,229118,229058,229161,229541,229770,229909,229939,229896,229677,229545,229448,229391,229371,229341,228999,229167,229279,229168,228940,228926,229122,229155,229117,228830,228594,228507,228670,229385,229677,229579
"성동구",296888,296697,296575,296594,297195,297558,297618,297705,297615,296955,297210,299259,301040,302612,303380,303576,303818,304049,304236,304785,304879,304828,304860,304808,304955,305200,306532,307460,307630,308066,308519,309037,309251,309147,308773,308221,307723,307064,306404,305785,305436,304936,304292,303730,303158,302198,301527,300889,300410,299797,299042
"광진구",360132,360144,360083,359899,359494,359310,359117,358919,358744,358262,357726,357215,357303,357397,357211,357261,357128,357252,357419,357800,357743,357665,357773,357703,357785,357700,357149,356757,356176,355748,355352,355109,355032,355141,355555,355559,355382,355387,354873,354344,354158,353878,353206,353002,352692,352204,351699,351350,351263,351032,350417
"동대문구",360021,359878,359864,359488,358923,358218,357653,357027,356691,356286,355800,355069,354637,354403,354079,353898,353414,353031,352714,352391,352011,351732,351184,350647,350118,349901,349308,348916,348462,348903,349917,350587,350556,350134,349247,348052,347415,347459,346750,346312,346301,346501,346524,346649,346551,346152,346166,346194,346080,346072,346156
"중랑구",413844,413680,413605,413648,413621,413400,412936,412389,412223,411988,411659,411005,410731,410417,409882,409740,409786,410266,410565,410446,410109,409755,409059,408226,407731,407137,406868,406494,406102,405551,405118,404651,404313,403894,403544,403209,402974,402616,402203,401546,400933,400661,399878,399195,398812,397938,397297,397015,396755,396314,395619
"성북구",458855,458731,458450,458028,457364,456795,455724,454608,453684,452839,451781,450355,449708,450005,449773,449280,448763,448104,447730,447237,446457,445594,444804,444055,443297,442827,442226,441618,440937,440272,439292,438619,438031,437224,436514,435868,435270,435754,438245,439754,440082,440397,441170,441503,441590,443000,443111,442650,442471,442483,442494
