Var1,Freq
서울,6213
아파트,5966
들이,5959
사업,4739
지역,4396
주택,4324
도시,4320
시장,4254
재개발,4230
사람,3995
주민,3890
정부,3587
co,3479
hani,3057
가구,2992
부동산,2703
후보,2692
개발,2669
문제,2578
건물,2446
시작,2266
우리,2241
생각,2215
사회,2178
시민,2043
분양,2011
마을,1991
지난해,1948
이상,1944
분양가,1931
공간,1916
재건축,1787
철거,1746
서울시,1729
이후,1708
추진,1708
계획,1705
공급,1666
경우,1660
대책,1659
정책,1569
올해,1539
필요,1519
이야기,1511
경기,1504
당시,1499
지원,1484
국토,1436
재생,1415
예정,1408
집값,1401
경찰,1397
조합,1388
관련,1376
진행,1356
가격,1346
적용,1329
경제,1323
시간,1315
발표,1300
자신,1293
공공,1287
정도,1280
동네,1277
년대,1266
구역,1251
과정,1246
하나,1240
상황,1238
주거,1238
사진,1232
거리,1231
상한제,1220
지정,1220
관리,1218
주변,1216
참여,1192
가운데,1186
단지,1186
이번,1186
의원,1175
역사,1162
활동,1161
대표,1148
전국,1140
모습,1135
동안,1116
강남,1113
방식,1113
문화,1102
사이,1095
공사,1083
마련,1077
지구,1077
운영,1067
작가,1061
설명,1058
일부,1048
이곳,1037
이유,1035
골목,1023
서울시장,1023
결과,1022
자리,1021
공원,1017
입주,1002
기준,1000
사람들,1000
현장,1000
청년,976
이름,975
생활,969
여성,964
주장,963
중심,955
조사,936
규제,934
사실,930
반대,922
수도권,921
지적,921
임대주택,913
상가,903
전체,890
학교,889
이날,888
대상,887
사건,886
조성,884
일반,867
규모,859
대통령,851
기업,830
서울시는,827
민간,825
교통,822
상승,816
포함,815
가족,813
검찰,809
세입자,809
요구,797
건설,793
영화,788
오후,787
조합원,786
박원순,777
투자,777
안정,776
국민,773
방안,771
변화,762
결정,758
시설,757
인근,753
물량,752
다양,748
기존,747
있다”고,747
철거민,737
확대,737
가능성,736
대출,735
관심,733
가능,732
작업,731
사례,728
세계,726
강화,725
월세,717
관계자,714
설치,714
지방,713
내용,711
이전,706
중요,704
수준,700
부담,697
시절,680
시행,678
누구,677
우려,677
선정,674
전문가,674
기록,672
한국,672
정치,669
지난달,668
해제,668
세상,664
마음,662
청약,660
평균,660
해결,658
기간,656
해서,656
정비,653
대학,650
기억,646
친구,645
현실,644
활용,644
전세,639
교수,627
센터,624
평가,623
비판,621
서울시가,620
학생,620
공동체,618
이하,617
운동,615
차례,614
국회,612
발생,612
작품,612
회장,612
후보자,612
얘기,609
한다”고,609
이용,608
장관,608
골목길,607
택지,605
수사,602
부산,599
시대,599
상인,597
무엇,593
개선,592
분석,591
제도,591
정비사업,587
지하,587
안전,584
처음,584
연구,582
고민,581
것”이라고,579
추가,578
산업,576
강조,575
계약,573
중구,573
경험,572
할머니,568
과거,567
빈집,563
아이들,562
가치,561
거주,561
공약,561
구성,561
대부분,554
보호,553
대규모,551
고려,549
최종,545
가게,542
단체,540
국가,539
행복,539
도입,537
개월,536
내년,533
영향,529
가지,525
비용,525
제공,524
위치,522
비율,521
의미,520
보유,519
용산,518
건설사,516
오전,516
공장,512
환경,510
문재,509
인사,509
보존,507
시공사,506
망루,503
사용,500
상태,500
예상,496
병원,495
인간,492
구조,491
업체,491
국내,489
목소리,489
관계,486
주인,486
검토,485
이사,483
전용면적,483
제한,483
논란,482
임대료,482
자체,482
주요,480
인정,478
아버지,477
마포구,476
최대,473
마지막,469
교육,468
만큼,467
아래,467
회사,462
뉴타운,461
종로구,461
책임,458
완화,457
개정,456
대한,456
의견,456
지상,456
활성화,456
나무,455
프로젝트,455
서민,453
부족,452
행정,452
선거,451
최고,451
비롯,450
임대,450
제주,450
그것,449
발전,449
적극,447
질문,447
방문,446
전망,445
부분,442
이익,441
전시,441
확인,440
세월,439
주제,439
그동안,438
설계,438
여기,437
대형,435
자료,435
종합,435
인구,434
증가,433
풍경,432
효과,432
동의,431
실제,431
노동자,429
부부,428
상대,424
용산구,424
공시,423
소개,423
준비,417
신청,416
권리금,414
제기,413
예산,411
설립,409
재개발·재건축,409
판단,409
지금,408
불안,407
제시,407
방침,405
아들,405
입장,405
해당,405
어머니,402
자기,402
아이,401
제안,401
존재,401
지속,400
삼성,399
죽음,399
직원,399
연결,398
거래,395
확보,395
행사,394
3m2당,393
성공,393
현상,393
위원회,392
미국,390
복합,390
집중,390
건축물,389
진압,389
대비,388
영상,387
연합,385
성장,384
기획,383
민주,382
구청,379
그때,379
공개,378
하루,376
상승률,375
수요,375
대안,374
노후,373
복지,372
음식,372
조정,371
방법,370
대표적,369
소리,368
청계,368
남편,366
반영,366
핵심,366
선임기자,365
역할,365
방향,364
선택,364
매입,363
하자,363
구체,362
뉴스,362
장기,362
참사,360
혐의,360
전환,359
노력,358
인터뷰,357
절차,357
단계,356
용산참사,356
처분,356
녹색,354
목적,354
비슷,354
소유,352
위험,352
민국,351
주목,351
호텔,351
노인,349
이웃,349
인천,349
cjhoon,347
논의,347
얼굴,345
이주,344
마포,343
건물주,342
보상,341
장소,341
독립,340
동물,339
보장,339
중단,339
각종,338
한옥,338
단독주택,337
목표,337
신규,336
약속,336
용역,336
식당,332
업계,332
일정,332
기사,330
미래,330
분위기,327
예술가,327
재산,327
마리,326
접근,326
집주인,326
상당,325
규정,324
현대,324
협동조합,323
감독,321
반면,321
철도,321
인상,320
재건축·재개발,320
통과,320
근처,319
자연,319
등장,318
제외,318
지하철,318
조건,317
인가,316
화재,316
www,315
박근혜,315
면적,314
연기,314
하락,314
혁신,314
엄마,313
광장,312
유기,312
의사,312
의혹,312
소송,311
민주주의,310
곳곳,309
기자,309
사무실,309
인권,309
여부,308
이명,307
공동,306
시위,306
전면,306
희망,305
대구,303
투기과열,303
도움,302
바람,302
일자리,302
토지,302
최초,301
목포,300
언론,300
어린이,299
강제,297
옥상,297
회의,297
걱정,296
경관,294
국제,294
서울에서,294
영업,294
출신,294
조처,293
이해,292
급등,291
다원,291
드라마,291
무리,291
불과,291
위원장,290
텃밭,290
기회,288
남자,288
실수요자,288
정리,287
카페,287
직장,286
권리,285
사랑,285
혜택,285
다음,284
전용,284
그곳,283
얼마,283
공연,282
장사,282
특별,282
대선,281
오늘,281
아침,280
근대,279
바로가기:,279
발언,279
사실상,279
웃음,279
전화,279
보증금,278
등록,277
자금,277
kr,276
Weconomy,276
계속,276
신고,276
외국,276
전통,276
투기,276
표현,276
그림,275
소득,274
소설,274
정권,274
총선,274
프로그램,274
시세,273
임차인,273
주거환경,273
케이,273
되기,272
발견,272
사업자,272
원인,272
의지,272
건립,270
기자회견,270
음악,270
절반,270
차관,270
폭력,270
형태,270
기대,269
당선,269
수요자,269
국회의원,268
노래,267
시스템,267
심의,267
아내,267
전략,267
조선,267
피해자,267
한국의,267
배치,266
오피스텔,266
특공대,266
분야,264
인생,264
주거지,264
개인,263
근거,263
내부,263
일상,263
소통,261
우사단,261
재판,261
전문,261
고향,260
그룹,260
대화,260
연대,260
정의,260
정치인,259
구입,258
정보,258
청구,258
통합,258
금지,257
입주자,257
해소,257
강남권,256
형성,256
건축,255
법원,255
환수,255
거기,252
불법,252
요청,252
의식,252
제작,252
협력,251
대응,249
변경,249
에스,249
자유한국당,249
페이스,248
새벽,247
인식,247
있다”며,247
개동,246
먼지,246
본격,246
부인,246
새누리당,246
에너지,246
인물,246
성북구,245
참석,245
확정,244
공유,243
브랜드,243
애초,243
예술,243
더불어민주당,241
버스,241
부지,241
기술,240
김씨는,240
농성,240
성매매,240
세금,240
영역,240
어디,239
재정,239
흔적,239
강북,238
누군가,238
방치,238
판결,238
금융,237
방송,237
빌딩,237
수요가,237
순간,237
자녀,237
자유,237
장면,237
저희,237
취지,237
반발,236
배경,234
초과,234
그들,233
시도,233
자동차,233
담당,232
공부,231
광화,231
교회,231
대변인,231
미세,231
은평구,231
이씨는,231
정신,231
시선,230
합의,230
세운상가,228
수립,228
은행,227
신도시,226
재개발사업,226
고시,225
마무리,225
통계,225
복원,224
저녁,224
감소,222
거대,222
결혼,222
고가,222
공무원,222
난민,222
눈길,222
보도,222
유산,222
을지로,222
진입,222
팀장,222
공동주택,221
유명,221
허용,221
계단,220
사태,220
정당,220
노점상,219
점검,219
조례,219
차원,219
주체,218
가슴,217
서울과,217
과열,216
단위,216
땅값,216
모두,216
부산시,216
성과,216
송파구,216
업무,216
요건,216
원칙,216
중앙,216
퇴거,216
계기,215
시점,215
실패,215
제정,215
폐지,215
심각,214
구속,213
대학생,213
미술,213
변호사,213
학년,213
