"Apart","pps","gu","dong","address","size","floor","year"
"개포2차현대아파트(220)",965,"강남구","개포동","언주로 103",77.75,5,28
"개포2차현대아파트(220)",913,"강남구","개포동","언주로 103",77.75,2,28
"개포6차우성아파트1동~8동",1032,"강남구","개포동","언주로 3",79.97,3,29
"개포6차우성아파트1동~8동",1034,"강남구","개포동","언주로 3",79.97,5,29
"개포6차우성아파트1동~8동",1130,"강남구","개포동","언주로 3",67.28,3,29
"개포6차우성아파트1동~8동",1063,"강남구","개포동","언주로 3",79.97,1,29
"개포우성3차",901,"강남구","개포동","개포로 307",161,8,32
"개포우성3차",913,"강남구","개포동","개포로 307",161,4,32
"개포우성3차",972,"강남구","개포동","개포로 307",133.46,13,32
"개포우성3차",971,"강남구","개포동","개포로 307",133.46,9,32
"개포우성3차",959,"강남구","개포동","개포로 307",133.46,10,32
"개포우성3차",900,"강남구","개포동","개포로 307",104.43,15,32
"개포우성3차",869,"강남구","개포동","개포로 307",104.43,1,32
"개포우성3차",1019,"강남구","개포동","개포로 307",133.46,4,32
"개포자이(12-2)",810,"강남구","개포동","개포로109길 69",170.32,17,12
"개포자이(12-2)",822,"강남구","개포동","개포로109길 69",170.32,11,12
"개포자이(12-2)",879,"강남구","개포동","개포로109길 69",134.3,11,12
"개포자이(12-2)",772,"강남구","개포동","개포로109길 69",168.42,2,12
"개포자이(12-2)",871,"강남구","개포동","개포로109길 69",134.3,16,12
"개포자이(12-2)",901,"강남구","개포동","개포로109길 69",134.3,5,12
"개포주공 1단지",1769,"강남구","개포동","개포로 310",50.64,2,34
"개포주공 1단지",1786,"강남구","개포동","개포로 310",50.38,3,34
"개포주공 1단지",1846,"강남구","개포동","선릉로 7",53.63,1,34
"개포주공 1단지",1860,"강남구","개포동","개포로 310",35.64,4,34
"개포주공 1단지",1868,"강남구","개포동","개포로 310",35.87,3,34
"개포주공 1단지",1854,"강남구","개포동","개포로 310",35.87,3,34
"개포주공 1단지",1880,"강남구","개포동","개포로 310",35.64,2,34
"개포주공 1단지",1888,"강남구","개포동","개포로 310",35.64,4,34
"개포주공 1단지",1851,"강남구","개포동","개포로 310",58.08,2,34
"개포주공 1단지",1786,"강남구","개포동","개포로 310",42.55,2,34
"개포주공 1단지",1774,"강남구","개포동","개포로 310",42.55,4,34
"개포주공 1단지",1777,"강남구","개포동","개포로 310",50.64,1,34
"개포주공 1단지",1786,"강남구","개포동","개포로 310",50.38,1,34
"개포주공 1단지",1894,"강남구","개포동","개포로 310",58.08,3,34
"개포주공 1단지",1786,"강남구","개포동","개포로 310",50.38,4,34
"개포주공 1단지",1947,"강남구","개포동","선릉로 7",49.56,2,34
"개포주공 1단지",1777,"강남구","개포동","개포로 310",50.64,1,34
"개포주공 1단지",1865,"강남구","개포동","선릉로 7",53.63,1,34
"개포주공 1단지",1786,"강남구","개포동","개포로 310",42.55,1,34
"개포주공 1단지",1955,"강남구","개포동","선릉로 7",49.56,4,34
"개포주공 1단지",2209,"강남구","개포동","선릉로 7",61.57,5,34
