"Apart","pps"
"개포2차현대아파트(220)",965
"개포2차현대아파트(220)",913
"개포6차우성아파트1동~8동",1032
"개포6차우성아파트1동~8동",1034
"개포6차우성아파트1동~8동",1130
"개포6차우성아파트1동~8동",1063
"개포우성3차",901
"개포우성3차",913
"개포우성3차",972
"개포우성3차",971
"개포우성3차",959
"개포우성3차",900
"개포우성3차",869
"개포우성3차",1019
"개포자이(12-2)",810
"개포자이(12-2)",822
"개포자이(12-2)",879
"개포자이(12-2)",772
"개포자이(12-2)",871
"개포자이(12-2)",901
"개포주공 1단지",1769
"개포주공 1단지",1786
"개포주공 1단지",1846
"개포주공 1단지",1860
"개포주공 1단지",1868
"개포주공 1단지",1854
"개포주공 1단지",1880
"개포주공 1단지",1888
"개포주공 1단지",1851
"개포주공 1단지",1774
"개포주공 1단지",1777
"개포주공 1단지",1894
"개포주공 1단지",1947
"개포주공 1단지",1865
"개포주공 1단지",1955
"개포주공 1단지",2209
"개포주공 1단지",1992
"개포주공 1단지",1962
"개포주공 1단지",1886
"개포주공 1단지",1904
"개포주공 1단지",1903
"개포주공 1단지",1918
"개포주공 1단지",1882
"개포주공 1단지",1668
"개포주공 1단지",1866
"개포주공 1단지",1901
"개포주공 1단지",1906
"개포주공 1단지",1856
"개포주공 1단지",1876
"개포주공 1단지",1929
"개포주공 1단지",1937
"개포주공 1단지",1927
"개포주공 1단지",1896
"개포주공 1단지",2042
"개포주공 1단지",1951
"개포주공 1단지",1953
"개포주공 1단지",1928
"개포주공 1단지",2068
"개포주공 1단지",2119
"개포주공 1단지",2005
"개포주공 1단지",1977
"개포주공 1단지",2139
"개포주공 1단지",2091
"개포주공 1단지",1945
"개포주공 1단지",1986
"개포주공 1단지",1925
"개포주공 1단지",2144
"개포주공 1단지",2006
"개포주공 1단지",1998
"개포주공 1단지",2104
"개포주공 1단지",2146
"개포주공 1단지",2013
"개포주공 1단지",1931
"개포주공 1단지",1867
"개포주공 1단지",2025
"개포주공 1단지",2033
"개포주공 1단지",2155
"개포주공 1단지",2010
"개포주공 1단지",1935
"개포주공 1단지",2001
"개포주공 1단지",1878
"개포주공 1단지",2210
"개포주공 1단지",2092
"개포주공 1단지",2149
"개포주공 1단지",1965
"개포주공 3단지",1992
"개포주공 3단지",2035
"개포주공 3단지",2017
"개포주공 3단지",1915
"개포주공 3단지",2245
"개포주공 3단지",1938
"개포주공 3단지",2127
"개포주공 3단지",2099
"개포주공 3단지",2120
"개포주공 3단지",2103
"개포주공 3단지",1985
"개포주공 3단지",2198
"개포주공 3단지",2091
"개포주공 3단지",2146
"개포주공 3단지",2270
"개포주공 3단지",2286
"개포주공 3단지",2262
"개포주공 3단지",2357
"개포주공 3단지",2385
"개포주공 4단지",1854
"개포주공 4단지",1744
"개포주공 4단지",1807
"개포주공 4단지",1763
"개포주공 4단지",1758
"개포주공 4단지",1774
"개포주공 4단지",1750
"개포주공 4단지",1880
"개포주공 4단지",1868
"개포주공 4단지",1786
"개포주공 4단지",1762
"개포주공 4단지",1687
"개포주공 4단지",1798
"개포주공 4단지",1896
"개포주공 4단지",1746
"개포주공 4단지",1810
"개포주공 4단지",1843
"개포주공 4단지",1834
"개포주공 4단지",1853
"개포주공 4단지",1910
"개포주공 4단지",1972
"개포주공 4단지",1776
"개포주공 4단지",1828
"개포주공 4단지",1831
"개포주공 4단지",1865
"개포주공 4단지",1862
"개포주공 4단지",1821
"개포주공 4단지",1800
"개포주공 4단지",2091
"개포주공 4단지",1833
"개포주공 4단지",2035
"개포주공 4단지",1826
"개포주공 4단지",1766
"개포주공 4단지",1858
"개포주공 4단지",1881
"개포주공 4단지",1892
"개포주공 4단지",1951
"개포주공 4단지",1905
"개포주공 4단지",1888
"개포주공 4단지",1904
"개포주공 4단지",1939
"개포주공 4단지",1927
"개포주공 4단지",2118
"개포주공 4단지",1184
"개포주공 4단지",1989
"개포주공 4단지",2024
"개포주공 4단지",1998
"개포주공 4단지",1974
"개포주공 4단지",2175
"개포주공 4단지",1965
"개포주공 4단지",1993
"개포주공 4단지",2033
"개포주공 5단지",1291
"개포주공 5단지",1262
"개포주공 5단지",1279
"개포주공 5단지",1278
"개포주공 5단지",1303
"개포주공 5단지",1250
"개포주공 5단지",1332
"개포주공 5단지",1315
"개포주공 5단지",1307
"개포주공 5단지",1336
"개포주공 5단지",1334
"개포주공 5단지",1293
"개포주공 5단지",1306
"개포주공 5단지",1275
"개포주공 5단지",1399
"개포주공 5단지",1371
"개포주공 5단지",1394
"개포주공 5단지",1504
"개포주공 6단지",1250
"개포주공 6단지",1295
"개포주공 6단지",1233
"개포주공 6단지",1330
"개포주공 6단지",1260
"개포주공 6단지",1275
"개포주공 6단지",1326
"개포주공 6단지",1235
"개포주공 6단지",1338
"개포주공 6단지",1202
"개포주공 6단지",1366
"개포주공 6단지",1364
"개포주공 6단지",1301
"개포주공 6단지",1286
"개포주공 6단지",1346
"개포주공 6단지",1383
"개포주공 6단지",1319
"개포주공 6단지",1468
"개포주공 6단지",1470
"개포주공 7단지",1347
"개포주공 7단지",1308
"개포주공 7단지",1242
