address,Apart,pps,gu,dong,size,floor,year,long,lat
밤고개로26길 50,강남한신휴플러스6단지,672,강남구,율현동,84.83,2,1,127.105484,37.468035
밤고개로27길 20,강남한신휴플러스8단지,706,강남구,율현동,114.91,3,1,127.111247,37.469393
밤고개로27길 20,강남한신휴플러스8단지,706,강남구,율현동,101.96,2,1,127.111247,37.469393
밤고개로27길 20,강남한신휴플러스8단지,711,강남구,율현동,101.96,2,1,127.111247,37.469393
밤고개로27길 20,강남한신휴플러스8단지,709,강남구,율현동,114.91,4,1,127.111247,37.469393
신내역로 165,신내 데시앙포레,508,중랑구,신내동,84.62,11,3,127.109678,37.615403
신내역로 165,신내 데시앙포레,428,중랑구,신내동,114.54,9,3,127.109678,37.615403
신내역로 165,신내 데시앙포레,502,중랑구,신내동,84.62,13,3,127.109678,37.615403
신내역로 165,신내 데시앙포레,468,중랑구,신내동,84.94,2,3,127.109678,37.615403
신내역로 165,신내 데시앙포레,601,중랑구,신내동,59.92,15,3,127.109678,37.615403
평창문화로 172,삼성,467,종로구,평창동,84.93,7,18,126.978884,37.611107
이촌로 310,래미안첼리투스아파트,1726,용산구,이촌동,124.02,13,1,126.979877,37.517197
이촌로 310,래미안첼리투스아파트,1613,용산구,이촌동,124.02,20,1,126.979877,37.517197
이촌로 310,래미안첼리투스아파트,1801,용산구,이촌동,124.35,46,1,126.979877,37.517197
신내역로 165,신내 데시앙포레,500,중랑구,신내동,84.94,18,3,127.109678,37.615403
신내역로 165,신내 데시앙포레,507,중랑구,신내동,84.65,22,3,127.109678,37.615403
신내역로1길 85,신내우디안1단지,550,중랑구,신내동,59.99,7,2,127.106723,37.617057
평창문화로 172,삼성,474,종로구,평창동,84.98,12,18,126.978884,37.611107
이촌로 310,래미안첼리투스아파트,1782,용산구,이촌동,124.02,46,1,126.979877,37.517197
신내역로1길 85,신내우디안1단지,494,중랑구,신내동,84.65,11,2,127.106723,37.617057
신내역로1길 85,신내우디안1단지,473,중랑구,신내동,84.65,3,2,127.106723,37.617057
신내역로1길 85,신내우디안1단지,471,중랑구,신내동,84.91,14,2,127.106723,37.617057
월계로42길 97,꿈의숲 SK VIEW,664,노원구,월계동,59.92,17,0,127.053828,37.620641
월계로42길 97,꿈의숲 SK VIEW,634,노원구,월계동,59.92,12,0,127.053828,37.620641
월계로42길 97,꿈의숲 SK VIEW,583,노원구,월계동,84.95,15,0,127.053828,37.620641
월계로42길 97,꿈의숲 SK VIEW,651,노원구,월계동,59.92,12,0,127.053828,37.620641
월계로42길 97,꿈의숲 SK VIEW,651,노원구,월계동,59.92,15,0,127.053828,37.620641
월계로42길 97,꿈의숲 SK VIEW,634,노원구,월계동,59.96,17,0,127.053828,37.620641
4.19로11길 16,진안골드밸리,306,강북구,수유동,134.18,4,15,127.0082939,37.64566661
4.19로1길 33,정원,347,강북구,수유동,37.16,5,10,127.0139352,37.64654007
63로 32,콤비빌딩,494,영등포구,여의도동,131.6,23,22,126.9386981,37.51896085
63로 45,시범,921,영등포구,여의도동,79.24,3,45,126.9389962,37.52034352
63로 45,시범,733,영등포구,여의도동,156.99,11,45,126.9389962,37.52034352
63로 45,시범,813,영등포구,여의도동,118.12,10,45,126.9389962,37.52034352
63로 45,시범,935,영등포구,여의도동,60.96,6,45,126.9389962,37.52034352
63로 45,시범,950,영등포구,여의도동,60.96,9,45,126.9389962,37.52034352
63로 45,시범,947,영등포구,여의도동,60.96,2,45,126.9389962,37.52034352
63로 45,시범,959,영등포구,여의도동,79.24,7,45,126.9389962,37.52034352
63로 45,시범,968,영등포구,여의도동,60.96,11,45,126.9389962,37.52034352
63로 45,시범,921,영등포구,여의도동,79.24,12,45,126.9389962,37.52034352
63로 45,시범,992,영등포구,여의도동,60.96,8,45,126.9389962,37.52034352
63로 45,시범,902,영등포구,여의도동,79.24,12,45,126.9389962,37.52034352
63로 45,시범,890,영등포구,여의도동,79.24,3,45,126.9389962,37.52034352
63로 7,은하,650,영등포구,여의도동,121.51,1,42,126.9357381,37.51833981
63로 7,은하,658,영등포구,여의도동,121.52,8,42,126.9357381,37.51833981
63로 7,은하,658,영등포구,여의도동,121.52,11,42,126.9357381,37.51833981
63로 7,은하,687,영등포구,여의도동,121.52,4,42,126.9357381,37.51833981
가락로 187,한양아파트,770,송파구,송파동,64.26,10,33,127.1150782,37.50533068
가락로 187,한양아파트,542,송파구,송파동,158.61,10,33,127.1150782,37.50533068
가락로 187,한양아파트,792,송파구,송파동,64.26,8,33,127.1150782,37.50533068
가락로 187,한양아파트,549,송파구,송파동,158.61,2,33,127.1150782,37.50533068
가락로 187,한양아파트,586,송파구,송파동,105.52,10,33,127.1150782,37.50533068
가락로 192,2차한양아파트,653,송파구,송파동,108.68,7,32,127.1156021,37.50554748
가락로 192,2차한양아파트,798,송파구,송파동,64.26,8,32,127.1156021,37.50554748
가락로 192,2차한양아파트,648,송파구,송파동,108.68,10,32,127.1156021,37.50554748
가락로 192,2차한양아파트,626,송파구,송파동,108.68,2,32,127.1156021,37.50554748
가락로 192,2차한양아파트,768,송파구,송파동,84.92,8,32,127.1156021,37.50554748
가락로 192,2차한양아파트,712,송파구,송파동,84.92,2,32,127.1156021,37.50554748
가락로 192,2차한양아파트,658,송파구,송파동,108.68,2,32,127.1156021,37.50554748
가락로 192,2차한양아파트,740,송파구,송파동,84.92,12,32,127.1156021,37.50554748
가락로 192,2차한양아파트,801,송파구,송파동,64.26,6,32,127.1156021,37.50554748
가락로 192,2차한양아파트,750,송파구,송파동,84.92,12,32,127.1156021,37.50554748
가락로 192,2차한양아파트,707,송파구,송파동,84.92,5,32,127.1156021,37.50554748
가락로 192,2차한양아파트,707,송파구,송파동,84.92,1,32,127.1156021,37.50554748
가락로 192,2차한양아파트,544,송파구,송파동,146.96,12,32,127.1156021,37.50554748
가락로36길 9,해동아파트,593,송파구,방이동,57.64,5,9,127.1190738,37.50969914
가락로3길 3,밀란체1,614,송파구,석촌동,68.36,6,9,127.1001987,37.49917164
가락로5길 4,K.L.C,583,송파구,석촌동,64.3,2,14,127.1023468,37.4999158
가로공원로 129,삼익플라주(81-10),388,양천구,신월동,83.95,11,10,126.830371,37.53643573
가로공원로 177,요산 페어뷰,413,강서구,화곡동,73.8,4,3,126.8355795,37.53724577
가로공원로 233,뉴파인,413,강서구,화곡동,78.91,8,9,126.8415038,37.5384627
가로공원로 82,올림푸스(150-1),308,양천구,신월동,68.19,1,10,126.8249864,37.53524215
가로공원로61길 20,NEW SK 아파트,311,양천구,신월동,70.14,6,14,126.8264663,37.53736116
가로공원로61길 20,NEW SK 아파트,331,양천구,신월동,64.86,6,14,126.8264663,37.53736116
가로공원로77길 27,"대성3,4호(379-58,나동)",331,강서구,화곡동,68.95,5,14,126.8384181,37.53811328
가마산로 231,보광,476,구로구,구로동,83.97,5,32,126.8864331,37.49448809
가마산로 231,보광,453,구로구,구로동,83.97,5,32,126.8864331,37.49448809
가마산로 231,보광,462,구로구,구로동,83.97,1,32,126.8864331,37.49448809
가마산로 268,대림역와이즈플레이스,606,구로구,구로동,44.591,19,4,126.8902327,37.49571957
가마산로 280,순영웰라이빌2차,431,구로구,구로동,64.45,9,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,451,구로구,구로동,64.45,19,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,452,구로구,구로동,64.45,6,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,431,구로구,구로동,64.45,4,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,419,구로구,구로동,64.45,15,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,458,구로구,구로동,64.45,13,11,126.8913867,37.49628382
가마산로 280,순영웰라이빌2차,419,구로구,구로동,64.45,9,11,126.8913867,37.49628382
가마산로 283,성호메이플라워멤버스빌,395,구로구,구로동,41.4,4,14,126.8914794,37.4968764
가마산로 283,성호메이플라워멤버스빌,406,구로구,구로동,41.4,17,14,126.8914794,37.4968764
가마산로 283,성호메이플라워멤버스빌,406,구로구,구로동,36.98,11,14,126.8914794,37.4968764
가마산로 284,하나세인스톤2차,745,구로구,구로동,19.33,14,5,126.8918742,37.49653526
가마산로 284,하나세인스톤2차,724,구로구,구로동,19.33,15,5,126.8918742,37.49653526
가마산로 284,하나세인스톤2차,727,구로구,구로동,19.33,17,5,126.8918742,37.49653526
가마산로 284,하나세인스톤2차,745,구로구,구로동,19.33,16,5,126.8918742,37.49653526
가마산로 284,하나세인스톤2차,740,구로구,구로동,19.33,13,5,126.8918742,37.49653526
가마산로 286,SR친오애,464,구로구,구로동,84.961,20,7,126.8920682,37.49658999
가마산로 312,신동아,467,영등포구,대림동,53.37,8,29,126.8943769,37.49796078
가마산로 312,신동아,393,영등포구,대림동,67.41,6,29,126.8943769,37.49796078
가마산로 312,신동아,418,영등포구,대림동,67.41,12,29,126.8943769,37.49796078
가마산로 312,신동아,383,영등포구,대림동,67.41,3,29,126.8943769,37.49796078
가마산로 312,신동아,399,영등포구,대림동,67.41,10,29,126.8943769,37.49796078
가마산로 312,신동아,378,영등포구,대림동,67.41,1,29,126.8943769,37.49796078
가마산로 312,신동아,450,영등포구,대림동,53.37,7,29,126.8943769,37.49796078
