"address","Apart","gu","dong","long","lat","distance","place","lon","lat"
"밤고개로26길 50","강남한신휴플러스6단지","강남구","율현동",127.105484,37.468035,767.658217904483,"서울특별시 강남구 세곡동 521 강남구립 행복요양병원",127.1027479,37.4614899
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,1156.68544651898,"서울특별시 강남구 세곡동 521 강남구립 행복요양병원",127.1027479,37.4614899
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1221.79269847379,"서울특별시 중랑구 망우동 227 서울시북부병원 및 시립중랑노인전문요양원",127.1073169,37.604588
"평창문화로 172","삼성","종로구","평창동",126.978884,37.611107,2791.60526942141,"서울특별시 성북구 정릉동 508-171 성북참병원",127.0055888,37.5976433
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,185.065917249418,"서울특별시 용산구 이촌동 301-165 금강아산병원",126.9819117,37.5175961
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1287.92615623515,"서울특별시 중랑구 신내동 418-6 신내동요양병원",127.10116,37.6063595
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,319.08782389947,"서울특별시 성북구 장위동 307-47 해인병원",127.0509886,37.6224182
"4.19로11길 16","진안골드밸리","강북구","수유동",127.0082939,37.64566661,784.166711021558,"서울특별시 강북구 수유동 521-59 현인양한방노인전문병원",127.006939,37.6387045
"4.19로1길 33","정원","강북구","수유동",127.0139352,37.64654007,883.175795603949,"서울특별시 강북구 수유동 188-1 광산타워(우리들병원)",127.0225839,37.6425343
"63로 32","콤비빌딩","영등포구","여의도동",126.9386981,37.51896085,196.530198075074,"서울특별시 영등포구 여의도동 62 여의도성모병원",126.9366694,37.5182344
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,311.977684436672,"서울특별시 영등포구 여의도동 62 여의도성모병원",126.9366694,37.5182344
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,83.0612845661377,"서울특별시 영등포구 여의도동 62 여의도성모병원",126.9366694,37.5182344
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068,558.796847681191,"서울특별시 송파구 송파동 135-3 서재곤 링커병원",127.1119672,37.5097019
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,562.946298991605,"서울특별시 송파구 송파동 135-3 서재곤 링커병원",127.1119672,37.5097019
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914,544.173070709811,"서울특별시 송파구 방이동 192-3 나무종합병원",127.1240628,37.5125688
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164,921.027552293871,"서울특별시 송파구 석촌동 176-3 한솔병원 소화기 센터",127.1060427,37.5060244
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158,754.281686005941,"서울특별시 송파구 석촌동 176-3 한솔병원 소화기 센터",127.1060427,37.5060244
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573,225.128005720267,"서울특별시 양천구 신월동 51-9 메디힐병원",126.8280387,37.537254
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577,98.027913941119,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627,416.436948676961,"서울특별시 강서구 화곡동 105-68 더와이즈황병원",126.8428801,37.5420409
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215,350.360518815856,"서울특별시 양천구 신월동 51-9 메디힐병원",126.8280387,37.537254
