"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"밤고개로26길 50","강남한신휴플러스6단지","강남구","율현동",127.105484,37.468035,6.17,1.24,0.23,0.77
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,5.86,1.7,0.28,1.16
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,2.21,1.08,0.16,1.22
"평창문화로 172","삼성","종로구","평창동",126.978884,37.611107,1.66,1.95,0.05,2.79
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,1.98,0.53,0.12,0.19
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1.89,1.2,0.14,1.29
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,0.55,0.17,0.01,0.32
"4.19로11길 16","진안골드밸리","강북구","수유동",127.0082939,37.64566661,0.93,0.25,0.07,0.78
"4.19로1길 33","정원","강북구","수유동",127.0139352,37.64654007,0.55,0.46,0.16,0.88
"63로 32","콤비빌딩","영등포구","여의도동",126.9386981,37.51896085,2.27,0.6,0.09,0.2
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,2.36,0.48,0.17,0.31
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,2.42,0.62,0.1,0.08
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068,2.12,0.42,0.08,0.56
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,2.07,0.45,0.05,0.56
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914,1.53,0.26,0.1,0.54
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164,3.55,0.46,0.05,0.92
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158,3.35,0.6,0.15,0.75
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573,1.81,0.48,0.07,0.23
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577,1.5,0.62,0.06,0.1
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627,1.24,0.25,0.11,0.42
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215,2.22,0.17,0.28,0.35
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,1.96,0.21,0.05,0.14
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328,1.33,0.41,0.08,0.18
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,1.77,0.37,0.11,0.26
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957,2.05,0.11,0.01,0.56
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,2.13,0.17,0.04,0.68
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,2.13,0.12,0.03,0.65
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,2.17,0.17,0.02,0.65
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999,2.19,0.18,0.04,0.64
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,2.36,0.16,0.03,0.39
"가마산로 442","래미안 영등포 프레비뉴","영등포구","신길동",126.9059756,37.50496753,3.41,0.2,0.1,0.92
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,3.64,0.41,0.12,1.15
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,3.28,0.29,0.04,0.87
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1.79,1.06,0.02,1.06
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,1.78,1.03,0.03,0.97
"가마산로19길 30","일동행복세상","구로구","구로동",126.8846034,37.49452787,1.62,0.53,0.15,0.26
"가마산로20다길 45","골드마인(나동)","구로구","구로동",126.8887713,37.49278258,2.04,0.28,0.15,0.28
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,2.04,0.3,0.16,0.27
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,2.11,0.13,0.02,0.63
"가마산로27길 11","해담채3","구로구","구로동",126.8913651,37.49720229,2.11,0.1,0.03,0.64
