"학교명","lon","lat"
"서울시립대학교",127.0587771,37.5838657
"서울여자간호대학교",126.947416,37.597475
"서울여자대학교",127.0904568,37.6281126
"서일대학교",127.0977437,37.5866169
"성공회대학교",126.8253202,37.4872325
"성균관대학교",126.993606,37.588227
"성신여자대학교",127.02127,37.5915464
"세종대학교",127.073139,37.5502596
"숙명여자대학교",126.9648311,37.5463644
"숭실대학교",126.9574596,37.4963111
"숭의여자대학교",126.9875325,37.5567763
"연세대학교",126.938572,37.565784
"이화여자대학교",126.9458061,37.5617015
"인덕대학교",127.0555547,37.6313747
"장로회신학대학교",127.1034577,37.5505112
"적십자간호대학",126.965871,37.5672578
"중앙대학교 서울캠퍼스",126.957378,37.5049996
"총신대학교",126.9671431,37.4907219
"추계예술대학교",126.9534165,37.5624515
"한국방송통신대학교",127.0032905,37.5786127
"한국성서대학교",127.0643199,37.6487485
"한국예술종합학교",127.0609186,37.6084827
"한국외국어대학교",127.0582192,37.5976171
"한국체육대학교",127.1309837,37.5196266
"한국폴리텍 I 대학 서울강서캠퍼스",126.842351,37.5496169
"한국폴리텍Ⅰ대학 서울정수캠퍼스",126.996542,37.5290615
"한성대학교",127.0094254,37.5822608
"한양대학교",127.0465971,37.5544649
"한양여자대학교",127.046734,37.5580179
"한영신학대학교",126.8512616,37.4965411
"홍익대학교",126.9252336,37.5484236
"가톨릭대학교",127.0051811,37.500612
"가톨릭대학교",127.0040214,37.587496
"감리교신학대학교",126.96161,37.5676455
"건국대학교",127.073456,37.5435547
"경기대학교",126.9624113,37.5648332
"경희대학교",127.052544,37.5961951
"고려대학교",127.0277773,37.590799
"광운대학교",127.05982,37.6194277
"국민대학교",126.9977033,37.6119544
"국제예술대학",127.0310327,37.5168791
"그리스도대학교",126.8547974,37.5483449
"덕성여자대학교",127.0161604,37.6511988
"동국대학교",127.0009915,37.5580249
"동덕여자대학교",127.041808,37.6063202
"동양미래대학교",126.8677806,37.5004101
"디지털서울문화예술대학교",126.943915,37.58535
"명지대학교 인문캠퍼스",126.9233966,37.5802178
"명지전문대학",126.9251874,37.5846465
"배화여자대학교",126.9653816,37.5793895
"백석예술대학교",126.9963329,37.480179
"사이버한국외국어대학교",127.0588498,37.597108
"삼육대학교",127.1052902,37.6426765
"삼육보건대학교",127.0677097,37.5911446
"상명대학교",126.955252,37.602638
"서강대학교",126.9410023,37.5509442
"서경대학교",127.0133508,37.6148855
"서울과학기술대학교",127.0786713,37.6324657
"서울과학기술대학교",127.0774813,37.6316684
"서울교육대학교",127.0164124,37.4899615
"서울기독대학교",126.9120286,37.6009165
"서울대학교",126.9519053,37.459882
"서울디지털대학교",126.947988,37.542959
"서울사이버대학교",127.0271582,37.6299355
