"학원명","학원주소","lon","lat"
"서울간호학원","서울특별시 성북구 동소문로 113 , 4,5층 (동선동4가,태인빌딩)",127.0174094,37.5933933
"피플미술학원","서울특별시 성북구 동소문로22길 4 , 4층 (동선동1가)",127.0178362,37.5916313
"큰별음악학원","서울특별시 성북구 솔샘로4길 46   외 5필지 성신플라자 401호 4층 (정릉동)",127.0073678,37.6084254
"신글로리아음악학원","서울특별시 강북구 도봉로30길 34   2층 (미아동)",127.026935,37.6269767
"새서울음악학원","서울특별시 성북구 동소문로 298 , 3층 (하월곡동)",127.040531,37.6118768
"하얀나무미술학원","서울특별시 성북구 동소문로 122   2-3층 (동선동1가)",127.0172996,37.5923125
"학림독서실","서울특별시 성북구 한천로 592 , 2층 (석관동)",127.0616458,37.6121466
"샘독서실","서울특별시 강북구 삼각산로 110 , 2층 3층 (수유동)",127.0163285,37.640597
"숭덕독서실","서울특별시 성북구 정릉로31나길 4   2층 (정릉동)",127.0153193,37.6039869
"세영보습학원","서울특별시 성북구 동소문로20길 28-7   1층-4층 (동소문동5가)",127.0163051,37.5911292
"최선생중국어학원","서울특별시 강북구 솔샘로 199   2층 (미아동)",127.0147689,37.6203009
"슈베르트음악학원","서울특별시 강북구 한천로 981 , 3층 일부 (번동)",127.037216,37.6279206
"KEC보습학원","서울특별시 성북구 돌곶이로 186-1 (장위동)",127.0488662,37.6172982
"정석사관학원","서울특별시 성북구 아리랑로 117   3층 (정릉동)",127.0132933,37.6021796
"월드보습학원","서울특별시 성북구 돌곶이로 68 , 2층 일부 (석관동, 서울프라자)",127.0582742,37.609786
"백운음악학원","서울특별시 강북구 삼양로123길 1 , 3층 (수유동, 우리은행)",127.015417,37.6447584
"나무미술학원","서울특별시 성북구 장위로21다길 76 (장위동)",127.0468191,37.6168699
"으뜸보습학원","서울특별시 성북구 정릉로27길 25 (정릉동)",127.0132424,37.6049201
"안암보습학원","서울특별시 성북구 종암로19길 13   3층 (종암동)",127.0340422,37.5982002
"강북고려학원","서울특별시 강북구 삼각산로 90   2층 (수유동)",127.014083,37.6402394
"정음악학원","서울특별시 성북구 동소문로 88 , 3층 (동소문동5가)",127.0135727,37.5917408
"대일음악학원","서울특별시 성북구 보국문로16길 74   2층 (정릉동)",127.0104426,37.6129663
"왕월드컴퓨터학원","서울특별시 강북구 한천로 1088 , 3층 (수유동, 현진빌딩)",127.0226297,37.6431929
"스스로러닝센터종암예일학원","서울특별시 성북구 종암로5길 21 , 2층 (종암동)",127.0345557,37.5942191
"안선생보습학원","서울특별시 성북구 종암로 73 , 4층 일부 (종암동)",127.0349737,37.5968391
"제원속셈학원","서울특별시 성북구 성북로 17 (성북동1가)",127.0039089,37.5887961
"어린음악대성북원음악학원","서울특별시 강북구 도봉로33길 38   3층 (미아동)",127.0264618,37.621528
"강북세종학원","서울특별시 강북구 도봉로67길 35 , 4층 일부 좌측 (미아동,홍보빌딩)",127.0225015,37.6300513
"아이즈학원","서울특별시 성북구 서경로 55 , 4층 일부 (정릉동, 서륭빌딩)",127.0152147,37.608197
"글로리아음악학원","서울특별시 성북구 보문로29길 121 , 2층 (삼선동3가)",127.0122651,37.5852982
"에덴음악학원","서울특별시 강북구 삼양로49길 8 , 3층 (미아동, 고려학원)",127.0269077,37.6268335
"중앙영재보습학원","서울특별시 강북구 월계로37길 65   한진아파트 상가 2층 (번동)",127.0445725,37.6248067
"에델피아노음악학원","서울특별시 성북구 돌곶이로22가길 12   3층 (석관동)",127.0596086,37.6097669
"바로컴퓨터학원","서울특별시 강북구 삼양로118길 42 , 3층 (수유동)",127.0184086,37.6439733
"예지음악학원","서울특별시 강북구 인수봉로 132 , 2층 (수유동)",127.0138627,37.6315291
"NEW한솔보습학원","서울특별시 강북구 솔샘로47길 22   2층 (미아동)",127.0183805,37.6209626
"대성미용학원","서울특별시 성북구 도봉로 31 , 3층 (길음동)",127.0299196,37.6119369
"대광독서실","서울특별시 성북구 성북로2길 50 , 1층~3층 (동소문동1가)",127.008521,37.5898847
"샛별피아노학원","서울특별시 성북구 장위로48길 15 (장위동)",127.0557611,37.6147
"현대도배기술학원","서울특별시 강북구 도봉로53길 7 (미아동, 우원빌딩)",127.0253521,37.6267505
"칸타빌레음악학원","서울특별시 성북구 돌곶이로18길 14 (석관동)",127.0597607,37.6092059
"파란(보습)학원","서울특별시 성북구 정릉로52길 5   반석빌딩3층 (종암동)",127.0302173,37.6037498
"지영음악학원","서울특별시 성북구 아리랑로19길 20 (정릉동, 영신빌딩)",127.0122707,37.6025866
"한교위즈(wiz)어학원","서울특별시 강북구 도봉로71가길 11   2층 일부 (수유동)",127.0221713,37.6317362
"선화음악학원","서울특별시 강북구 한천로109길 47 , 2층 201호 (번동)",127.0416908,37.6274984
"리라미술학원","서울특별시 성북구 돌곶이로14길 12   2층 (석관동)",127.060416,37.6083425
"한올독서실","서울특별시 강북구 덕릉로40길 79   4층 (번동)",127.0335325,37.6343554
"스카이학원","서울특별시 강북구 노해로 96   2-4층 (수유동)",127.0231421,37.6438576
"탑플러스학원","서울특별시 강북구 오현로 22   2-3층 (미아동)",127.0269077,37.6268335
"라움음악학원","서울특별시 강북구 삼각산로 143-1   벽산아파트 상가B동 305호 (수유동)",127.0189389,37.6421703
"삼광보습학원","서울특별시 강북구 오패산로52길 35 , 2층, 3층 (미아동)",127.0320394,37.6244687
"박소정무용학원","서울특별시 강북구 한천로109길 57-15   3-4층 (번동)",127.0420225,37.6276029
"웅지독서실","서울특별시 강북구 오현로32길 4-8   동보프라자 5층 (번동)",127.0395223,37.628216
"신하버드독서실","서울특별시 강북구 도봉로13길 55   5층 (미아동)",127.0272877,37.6149535
"진무용학원","서울특별시 성북구 종암로 186   3층 (하월곡동)",127.0314391,37.6063828
"제일컴퓨터학원","서울특별시 성북구 정릉로31나길 8   1-2층 (정릉동)",127.0153188,37.6041139
"한신보습학원","서울특별시 성북구 동소문로 2 , 3층 (동소문동2가)",127.0070203,37.5885574
"돈암엘리트보습학원","서울특별시 성북구 동소문로 11 , 5층 (동소문동1가,세화빌딩)",127.0128821,37.5924212
"젠아이학원","서울특별시 강북구 삼양로 447 , 2층 (수유동)",127.0159155,37.6433056
"안암명문보습학원","서울특별시 성북구 안암로 95-3 , 2층전체 (안암동5가,우림빌딩)",127.0308316,37.5844223
"수유고려보습학원","서울특별시 강북구 한천로 1102   3층 (수유동)",127.0215096,37.6440072
"서정M학원","서울특별시 성북구 성북로8길 4   3층 (성북동)",127.0043319,37.5906171
"칸어학원","서울특별시 강북구 덕릉로 77   2-3층 (수유동)",127.022305,37.6347566
"하나보습학원","서울특별시 강북구 덕릉로 77   3층 (수유동)",127.022305,37.6347566
"새열린보습학원","서울특별시 강북구 한천로105길 33   3-4층 (번동)",127.0458356,37.6254884
"바른길학원","서울특별시 성북구 한천로 588 , 2층 (석관동)",127.061952,37.6118454
"수학나무학원","서울특별시 성북구 북악산로31길 39 (종암동)",127.0350495,37.5937145
"선광보습학원","서울특별시 강북구 덕릉로 148   2층 (번동)",127.0301735,37.634945
"한신이화음악학원","서울특별시 성북구 성북로4길 52   한신아파트 스카이플라자 동관 8층 1804호 (돈암동)",127.0109401,37.5942553
"서울탑보습학원","서울특별시 성북구 보문로 90-2 , 2층 (보문동4가)",127.0178481,37.5876272
"E.EDU[이.에듀]학원","서울특별시 강북구 인수봉로 288   2-3층 (수유동)",127.0109841,37.6443339
"금탑독서실","서울특별시 성북구 정릉로38마길 29   우성상가 제1동 401호 4층 (정릉동)",127.0155984,37.6009374
