"학원명","학원주소","lon","lat"
"아이은음악학원","서울특별시 관악구 난곡로35길 29 (신림동)",126.9180436,37.4719056
"수림독서실-187","서울특별시 관악구 호암로22길 39 , (2,3,4층) (신림동,수림독서실)",126.934908,37.4688394
"선익음악학원","서울특별시 동작구 상도로62길 5 (상도동)",126.95437,37.4946624
"새서울음악학원","서울특별시 관악구 봉천로 594 301호 (봉천동)",126.9631615,37.476236
"서울법학원","서울특별시 관악구 관악로 132 , 2층일부ㆍ3층ㆍ4층ㆍ5층 (봉천동)",126.9598833,37.4910492
"호림독서실","서울특별시 관악구 호암로22길 32 (신림동)",126.9344313,37.4686603
"올리브나무남정임미술학원","서울특별시 관악구 구암길 25  2층(봉천동)",126.9475595,37.4890506
"연세음악학원","서울특별시 동작구 사당로 136 (사당동)",126.9655561,37.4891167
"송이음악학원","서울특별시 동작구 만양로14가길 32  3,4층(노량진동)",126.9448233,37.5128993
"케이투독서실","서울특별시 관악구 대학6길 25 , 2,3,4,6층 (신림동)",126.9362655,37.468939
"음악사랑음악학원","서울특별시 관악구 호암로 401 4층 (신림동)",126.9259487,37.4610399
"건영음악학원","서울특별시 관악구 신림로3길 40  상가2층(신림동)",126.9426441,37.4669806
"이화음악학원","서울특별시 관악구 관악로14길 105 2층 (봉천동)",126.9582338,37.477829
"대림음악학원","서울특별시 동작구 여의대방로 250 , 상가동,상가 5-8호 (대방동, 대림아파트)",126.9295968,37.5126338
"흑석연세보습학원","서울특별시 동작구 서달로8길 14  (흑석동)",126.9615471,37.5057176
"삼보아카데미독서실","서울특별시 관악구 호암로26가길 48 (신림동)",126.9329532,37.4687767
"이앤아이미술학원","서울특별시 동작구 동작대로11길 89  (사당동)",126.9764728,37.4812276
"성원음악학원","서울특별시 동작구 여의대방로44길 9 성원상가3층(대방동)",126.9254944,37.5093489
"베리타스학원","서울특별시 관악구 신림로58길 13 201,506호 (신림동)",126.9306642,37.4825717
"음사랑음악학원","서울특별시 동작구 흑석로 11 , 3층 (상도1동, 열린우리교회)",126.9519588,37.5050915
"예일음악학원","서울특별시 관악구 문성로 74 4층(신림동)",126.912461,37.4763596
"등용독서실","서울특별시 관악구 신림로 206  (신림동)",126.9374398,37.475584
"대지보습학원","서울특별시 동작구 사당로23나길 30 2-4층 (사당동)",126.9755302,37.487662
"연세아카데미보습학원","서울특별시 관악구 미성길 60 두영상가3층(신림동)",126.9138635,37.4745992
