"학원명","학원주소","lon","lat"
"한양독서실","서울특별시 도봉구 도봉로109길 46-5 (지층일부,2층,3층)",127.0305928,37.6473142
"진영독서실","서울특별시 도봉구 도봉로181길 14 (2,3층)",127.0450947,37.6840781
"후생독서실","서울특별시 노원구 동일로227길 26 상계주공@15단지상가 3층일부",127.056623,37.66833
"하이탑독서실","서울특별시 노원구 한글비석로 460 (5층)",127.0669368,37.664388
"이화미술&보습학원","서울특별시 도봉구 삼양로 574-8 , 2층 (쌍문동)",127.0131593,37.6543048
"아크멘학원","서울특별시 도봉구 방학로10길 12 (2층)",127.0330425,37.6629806
"피치아음악학원","서울특별시 도봉구 도당로27길 59 (2층)",127.0407542,37.6700265
"청우어학원","서울특별시 노원구 동일로 1365 , 301호 (상계동)",127.0612214,37.6505713
"선진아카데미속셈학원","서울특별시 노원구 동일로 1398 (303호)(올림피아빌딩)",127.06122,37.6533879
"경희무용학원","서울특별시 노원구 동일로 1393 (604호)",127.0605347,37.6529076
"하얀미술학원","서울특별시 도봉구 시루봉로 201",127.03279,37.6670656
"포인트학원","서울특별시 노원구 동일로237길 52 4층",127.0523579,37.6735253
"중계새롬보습학원","서울특별시 노원구 중계로8길 11 (3층)",127.0826092,37.6459488
"한샘영재보습학원","서울특별시 노원구 섬밭로 209 벽산아파트 상가동 (304호,305호)",127.0643203,37.6352779
"방학컴퓨터・회계학원","서울특별시 도봉구 방학로 171 (2층,3층)",127.0332303,37.6621271
"명성보습학원","서울특별시 노원구 덕릉로126길 44 3층",127.0830305,37.6716728
"Pride(프라이드)학원","서울특별시 노원구 동일로227길 26 15단지연금매장 3층일부",127.0533712,37.6686255
"리틀비음악학원","서울특별시 노원구 동일로227길 26 상계주공아파트 15단지유아원 (3층일부)",127.0554313,37.6687459
"카이스트학원","서울특별시 도봉구 도봉로125길 57 (2층)",127.0365923,37.6551752
"지혜스터디빌독서실","서울특별시 노원구 노원로28길 67 (3,4층)",127.0707219,37.6547976
"보람독서실","서울특별시 노원구 노원로34길 66 외1필지 A동 2층",127.0660513,37.6618761
"중앙키즈팝음악학원","서울특별시 노원구 동일로 216길 , 70 4층일부 (상계동)",127.065477,37.6520846
"세화음악학원","서울특별시 노원구 섬밭로 209 벽산상가 308호",127.0643203,37.6352779
"예쁜소리음악학원","서울특별시 노원구 동일로 1456 주공7단지 유치원상가 3층302호",127.0603755,37.6588861
"숙대음악학원","서울특별시 노원구 한글비석로 460 (3층)",127.0669368,37.664388
"삼성영어학원","서울특별시 도봉구 도봉로104길 75 2층",127.0361451,37.6434807
"중앙음악학원","서울특별시 노원구 덕릉로 459-47 상계주공@1 유치원상가3층일부",127.0598204,37.6474986
"엔젤컴퓨터학원","서울특별시 도봉구 노해로65길 7-12 , 6층 일부 (창동)",127.0458076,37.6516902
"박선생속셈학원","서울특별시 노원구 공릉로59길 15 웅천상가 302호",127.0710975,37.6324173
"명문속셈학원","서울특별시 도봉구 덕릉로66길 17 주공17단지38-2(3층)",127.0531266,37.6457209
"선민음악학원","서울특별시 도봉구 도봉로114길 50 (2층)",127.0371179,37.6474757
"클릭전원미술학원","서울특별시 노원구 동일로 1372 (6층)",127.0617843,37.6510515
"숙명피아노학원","서울특별시 노원구 광운로 43",127.0590011,37.6213106
"SMMA음악학원","서울특별시 노원구 섬밭로 232 현우빌딩 2층,3층",127.0824847,37.6505542
"정택속셈학원","서울특별시 도봉구 도당로19길 63 (2층)",127.039433,37.669813
"동명피아노학원","서울특별시 노원구 동일로228길 29 (3층)",127.0587347,37.6677476
"샘터미술학원","서울특별시 노원구 동일로218길 17 외1필지 (5층1호)",127.0617571,37.6538373
"보람음악학원","서울특별시 노원구 한글비석로 474 보람상가 315호",127.0655693,37.6646633
"창경음악학원","서울특별시 도봉구 도봉로131길 90 (3층)",127.0332159,37.6565117
"JoyfulAcademy보습학원","서울특별시 노원구 한글비석로50길 22 (2층)",127.0669558,37.6653162
"보람웅변학원","서울특별시 노원구 한글비석로 474 , 보람상가 316호 (상계동,보람상가)",127.0655693,37.6646633
"은파음악학원","서울특별시 노원구 노원로 547 임광@상가 3층(일부)",127.057048,37.6606791
"이지컴컴퓨터학원","서울특별시 도봉구 방학로 223 (3층일부)",127.0273354,37.6613533
"예슬미술학원","서울특별시 노원구 동일로228길 29 (303호)",127.0587347,37.6677476
"신세계음악학원","서울특별시 도봉구 방학로 223 (3층일부)",127.0273354,37.6613533
"예광음악학원","서울특별시 노원구 동일로 1384 주공6단지상가 202호",127.064743,37.653688
"조이뮤직아카데미학원","서울특별시 노원구 동일로228길 35 (201,202호)",127.0590436,37.6678798
