"학원명","학원주소","lon","lat"
"지엔피엘(GNPL)학원","서울특별시 광진구 구의강변로 64 , A동 201호 (구의동,구의아크로리버)",127.0927925,37.5360961
"군자스터디뱅크독서실","서울특별시 광진구 군자로 100  (군자동)",127.0714454,37.5518976
"타임에듀학원","서울특별시 광진구 아차산로26길 20 ,  2층일부 (자양동)",127.0657662,37.5404844
"토크스테이션학원","서울특별시 노원구 동일로173가길 147 ,  대영빌딩 4층일부 (공릉동,동영빌딩)",127.0714602,37.6247179
"엘림보습학원","서울특별시 광진구 천호대로 616 3층일부 (능동)",127.0791827,37.5535934
"극동이화음악학원","서울특별시 성동구 독서당로 187 극동상가 408호(옥수동)",127.0119669,37.5426494
"씨원수학보습학원","서울특별시 광진구 아차산로70길 26 (2동12층) (광장동)",127.1012395,37.5419085
"유림컴퓨터학원","서울특별시 성동구 뚝섬로 325-1  (성수동1가)",127.0472115,37.541138
"정석음악학원","서울특별시 성동구 성덕정길 42 3층 (성수동1가)",127.0482556,37.5384974
"정석미술학원","서울특별시 성동구 성덕정길 42 (2층) (성수동1가)",127.0482556,37.5384974
"다솜음악학원","서울특별시 광진구 용마산로7길 30 2층(중곡동)",127.0860605,37.5595129
"광진음악학원","서울특별시 광진구 능동로6길 22 2층(자양동)",127.0692038,37.534024
"푸른솔컴퓨터학원","서울특별시 광진구 뚝섬로 681 3층 (자양동)",127.0849707,37.5324595
"이화음악학원","서울특별시 광진구 아차산로21길 15  (화양동)",127.070891,37.542749
"신용답독서실","서울특별시 성동구 용답중앙11길 16 (용답동)",127.0521803,37.5660675
"교일보습학원","서울특별시 광진구 광나루로36길 76 (34층) (구의동)",127.0854211,37.5416231
"에듀메가속셈학원","서울특별시 성동구 행당로17길 9  (행당동)",127.0333739,37.5592474
"성신에듀아이보습학원","서울특별시 광진구 자양로22길 24 3층일부 (구의동)",127.0847392,37.539458
"청록독서실","서울특별시 성동구 독서당로48길 6 (금호동4가)",127.0223405,37.5471532
"청람보습학원","서울특별시 광진구 용마산로 100  (중곡동)",127.0873021,37.5625743
"연세음악학원","서울특별시 광진구 천호대로129길 28 2층 (구의동)",127.0911512,37.5528286
"라벨라음악학원","서울특별시 광진구 자양번영로3길 12 , 2층 (자양동,바로크피아노학원)",127.0745848,37.5317578
"카이로스학원","서울특별시 광진구 뚝섬로64길 42  (자양동)",127.0888504,37.5317155
"욱이음악학원","서울특별시 성동구 왕십리로31나길 18 2층(하왕십리동)",127.0281505,37.56255
"가람음악학원","서울특별시 광진구 뚝섬로36길 15 (2층) (자양동)",127.0714515,37.5337065
"뚝섬아이티교육컴퓨터학원","서울특별시 성동구 상원길 24 4층 (성수동1가)",127.0490505,37.5461095
"라온제나음악학원","서울특별시 광진구 뚝섬로41길 8  (자양동)",127.0750666,37.533879
"한가람컴퓨터학원","서울특별시 광진구 영화사로 19  (중곡동)",127.0895795,37.5576434
"예지독서실","서울특별시 광진구 능동로3길 54 4층(자양동)",127.0644959,37.5341949
"끌레르음악학원","서울특별시 성동구 무학봉길 49 무학현대아파트상가동 4층일부(하왕십리동)",127.027937,37.5610919
"대진독서실","서울특별시 광진구 면목로 155  (중곡동)",127.0818025,37.5672549
"어울림음악학원","서울특별시 성동구 마조로 59  (마장동)",127.0414826,37.5632952
"포레음악학원","서울특별시 광진구 자양로13길 61 2층 (자양동)",127.0813949,37.5336968
"화이트음악학원","서울특별시 성동구 무학봉길 61 (하왕십리동)",127.029587,37.561058
"성동제일수독서실","서울특별시 성동구 행당로11길 3 (행당동)",127.0305304,37.5581374
"스터디뱅크독서실","서울특별시 광진구 뚝섬로33길 45 4층(자양동)",127.0700795,37.5369467
"상왕제일컴퓨터학원","서울특별시 성동구 왕십리로 412  (상왕십리동)",127.0249238,37.5679524
"큰빛음악학원","서울특별시 광진구 영화사로 29-1 (중곡동)",127.090536,37.5569804
"유니버셜발레학원","서울특별시 광진구 천호대로 670 2.3층(구의동)",127.0895793,37.5510567
"현대독서실","서울특별시 성동구 성수일로1길 10  (성수동1가)",127.0475531,37.5418571
"정일보습학원","서울특별시 광진구 군자로 100 3층 (군자동)",127.0714454,37.5518976
"초롱미술학원","서울특별시 성동구 사근동8길 3  (사근동)",127.047169,37.5605642
"국도세무컴퓨터보습학원","서울특별시 성동구 왕십리로 319 3층 (행당동)",127.0454783,37.5544207
"나래자동차정비학원","서울특별시 성동구 자동차시장1길 70 D동 3층일부(용답동)",127.0662301,37.5601731
"그리새미술학원","서울특별시 성동구 독서당로 175 극동그린상가 3층(옥수동)",127.0102397,37.5418197
"안세독서실","서울특별시 성동구 성덕정11길 8  (성수2가1동)",127.0521481,37.5384043
"한국보습학원","서울특별시 광진구 아차산로 201 (화양동)",127.066009,37.541714
"금호음악학원","서울특별시 성동구 금호산길 42  (금호동2가)",127.0194865,37.5519642
"예은음악학원","서울특별시 성동구 무수막길 61  (금호동3가)",127.0213142,37.5514513
"청출어람보습학원","서울특별시 광진구 아차산로 479 (3층) (구의동)",127.1008608,37.5542175
"혜민병원부설간호조무사학원","서울특별시 광진구 자양로 81 , 3,4층일부 (자양동,덕산빌딩)",127.0838285,37.5350943
"디딤무용학원","서울특별시 광진구 자양로 201 4층 (구의동)",127.0854056,37.545492
"에스엔유음악학원","서울특별시 광진구 아차산로36길 39 자양우성7차파아트상가 302호(자양동)",127.0745443,37.5362625
"청운독서실","서울특별시 광진구 자양로26길 31  (구의동)",127.0857211,37.5415245
