"학원명","학원주소","lon","lat"
"서울커피바리스타학원","서울특별시 영등포구 양평로 111-1 , 2층 (양평동4가,명서빌딩)",126.8948516,37.537083
"한미간호조무사학원","서울특별시 영등포구 영등포로 216-1 , 4층 (영등포동3가)",126.910939,37.5181151
"경일자동차중장비정비기술학원","서울특별시 영등포구 영등포로86길 4 , 2층 (신길동)",126.8909343,37.5218818
"연합환경기술학원","서울특별시 구로구 경인로 548 3,4층 구로동",126.8848087,37.5047594
"수도기술고시통신직업전문학원","서울특별시 영등포구 경인로 882 , 2층 일부 (영등포동1가,여의도씨티아이)",126.9107891,37.5175535
"운성미술학원","서울특별시 영등포구 신길로41라길 19 2,3층 신길동",126.907202,37.5071402
"창조미술학원","서울특별시 영등포구 도신로4길 21 , 2층 (대림동)",126.8963018,37.5017065
"동심음악학원","서울특별시 구로구 구로중앙로27가길 5-2",126.885076,37.4976626
"새벧엘음악학원","서울특별시 금천구 범안로 1188 (독산동)",126.8937525,37.4663573
"숙연음악학원","서울특별시 금천구 시흥대로148길 22   3층 독산동",126.9000739,37.4749231
"신대원학원","서울특별시 구로구 도림로 31-1 2,3층 구로동",126.8879999,37.4872543
"동아요리기술학원","서울특별시 영등포구 경인로 875-1   2층 영등포동3가",126.9111189,37.5181907
"대교독서실","서울특별시 영등포구 국제금융로7길 22   대교B상가 201호 여의도동",126.9326509,37.5228955
"한양음악학원","서울특별시 금천구 시흥대로45길 39   3층 시흥동",126.8998164,37.4484462
"예지음악학원","서울특별시 구로구 고척로 230   한수빌딩 3층 고척동",126.8585107,37.505929
"뉴(New)이화음악학원","서울특별시 구로구 구로중앙로34길 36 , 2층 (구로동)",126.8909129,37.492979
"예당음악학원","서울특별시 구로구 개봉로17길 41 , 2층 (개봉동)",126.8535182,37.4912272
"예림미술학원","서울특별시 구로구 경서로 9",126.8564994,37.4983229
"정심음악학원","서울특별시 금천구 독산로74길 19 (독산동)",126.9034592,37.4687031
"소리사랑피아노학원","서울특별시 영등포구 신길로60길 40-3 (신길동)",126.9146621,37.5137983
"엘리트음악학원","서울특별시 영등포구 여의대방로 45  삼성아파트 상가 203호 신길동",126.9112836,37.4962922
"개봉한림독서실","서울특별시 구로구 개봉로17라길 25",126.8533709,37.4925818
"새예림음악학원","서울특별시 구로구 경서로 9",126.8564994,37.4983229
"피아노와함께학원","서울특별시 영등포구 국회대로29길 3 3층 당산동4가",126.9028354,37.5279732
"숙피아노바이올린학원","서울특별시 금천구 독산로 126 3,4층 시흥동",126.9053672,37.4584858
"민아음악학원","서울특별시 구로구 구로중앙로14길 24",126.892047,37.4934438
"정도보습학원","서울특별시 구로구 구로중앙로7길 28 , 극동상가 402-406호 (구로동, 극동아파트)",126.8896192,37.491098
"금조음악학원","서울특별시 영등포구 도림로47길 13",126.8998478,37.4962802
"인당독서실","서울특별시 구로구 고척로6길 58-4",126.8417194,37.496285
"신중앙컴퓨터학원","서울특별시 영등포구 도신로 116   대웅빌딩 301호 신길동",126.9049783,37.5080129
"엘림독서실","서울특별시 구로구 구로동로28길 84-17",126.8888586,37.4911937
"현대음악학원","서울특별시 구로구 오류로8길 34   3층 오류동",126.8425801,37.4914395
"새한양피아노음악학원","서울특별시 영등포구 국회대로38길 15 당산동3가",126.897468,37.526018
"한별음악학원","서울특별시 영등포구 대림로44길 10",126.8977637,37.502577
"태산영재학원","서울특별시 영등포구 여의대방로47길 34 ",126.9204888,37.509232
"새보라음악학원","서울특별시 금천구 금하로24길 20 2,3층 시흥동",126.9082974,37.4500566
"조상익음악학원","서울특별시 구로구 구로동로28길 84-17 , 2층 (구로동)",126.8886047,37.4911606
"지앤비영어전문학원","서울특별시 구로구 오류로8길 63   4층 오류동",126.8436426,37.4924978
"민속한복학원","서울특별시 영등포구 영신로 29 , 5층 (영등포동)",126.9079781,37.5140313
"동아제과제빵기술학원","서울특별시 영등포구 양산로 186 ,  4층 (영등포동6가,백상빌딩)",126.9036785,37.5227009
"뉴하늘소리음악학원","서울특별시 구로구 신도림로11길 8 (신도림동)",126.880063,37.5083213
"선음악학원","서울특별시 영등포구 대림로31가길 10",126.8964144,37.4953579
"명신미술학원","서울특별시 영등포구 신풍로 66",126.9133079,37.4998431
"예원음악학원","서울특별시 구로구 개봉로3길 82",126.8517062,37.486235
"혜진음악학원","서울특별시 구로구 구로중앙로28길 35-5",126.887469,37.4997197
"시사어학원","서울특별시 영등포구 여의대방로 55 4층",126.9127903,37.4968586
"오현음악학원","서울특별시 금천구 금하로24길 44",126.9082977,37.4489501
"동방디자인학원","서울특별시 영등포구 경인로 886 ,  5층 (영등포동1가,서울빌딩)",126.911033,37.5175951
"키즈랜드어학원","서울특별시 구로구 신도림로 18",126.8788971,37.5064875
"미래독서실","서울특별시 금천구 시흥대로141길 47",126.8974852,37.4749053
"이화피아노학원","서울특별시 영등포구 선유동2로 46 유원2차상가 207호당산동5가",126.8982838,37.5331208
"은하음악학원","서울특별시 영등포구 신길로 18  중원상가2층 신길동",126.9090841,37.4943088
"성광학원","서울특별시 구로구 구로동로22길 89 ",126.8889009,37.4881071
"모짜르트음악학원","서울특별시 금천구 독산로50길 74 (시흥동)",126.9081937,37.4623973
"은소래음악학원","서울특별시 영등포구 도신로 70 우성상가 303,304호 신길동",126.9000208,37.5052985
"새은파음악학원","서울특별시 금천구 독산로50길 98",126.9096353,37.4622998
"새누리음악학원","서울특별시 영등포구 디지털로69길 12 대림한신2차아파트상가 202호 대림동",126.9043954,37.4947367
"신동음악학원","서울특별시 영등포구 대림로31길 40  대림동",126.8946051,37.4968124
"미래음악학원","서울특별시 구로구 구일로8길 92   2층 구로동",126.876052,37.4967184
"장학학원","서울특별시 영등포구 대림로 203",126.8978946,37.498756
"여의도탑클래스학원","서울특별시 영등포구 국제금융로 78 홍우빌딩 11층 13,14호 여의도동",126.9312481,37.5208907
"분석과심화학원","서울특별시 영등포구 도신로4길 17   2층 대림동",126.8961629,37.502071
"백호미술학원","서울특별시 구로구 신도림로9길 20 2,3층 신도림동",126.8800632,37.508762
"신한샘학원","서울특별시 영등포구 도신로60길 8-1   3층 신길동",126.9170128,37.5110456
"예지원독서실","서울특별시 금천구 금하로 692 (시흥동, 예원빌딩)",126.9069022,37.4516458
"경진컴퓨터학원","서울특별시 금천구 범안로 1255   예진빌딩2층 독산동",126.9014308,37.4665623
"성민열관리기술학원","서울특별시 영등포구 경인로 872   5층 영등포동1가",126.9154146,37.5175274
"소라피아노음악학원","서울특별시 금천구 시흥대로94길 69",126.9011368,37.4637159
"소리엘피아노학원","서울특별시 영등포구 문래로20길 14 , 상가 201호 (문래동3가, 문래공원한신아파트)",126.8929792,37.5175671
"신중앙음악학원","서울특별시 영등포구 당산로31길 19",126.8943766,37.5267211
"메카(MECA)수학영어학원","서울특별시 영등포구 여의대방로 55 , 6층일부 (신길동,신길프라자)",126.9127556,37.4967644
"열린음악학원","서울특별시 금천구 시흥대로20길 13   3층 시흥동",126.9041588,37.4409808
"유니버학원","서울특별시 영등포구 도신로29아길 7   3층 영등포동",126.9060434,37.5093352
"한국UPI(유피아이)학원","서울특별시 금천구 가산로 106 , 201호 (가산동,주상복합두산아파트)",126.8936748,37.4754056
"지음음악학원","서울특별시 영등포구 당산로41길 23 현대상가 302,304호 당산동4가",126.8958121,37.5236775
"은정미술음악학원","서울특별시 구로구 도림로20길 18  2층 구로동",126.8924043,37.4889293
"인성속셈학원","서울특별시 금천구 독산로35길 33",126.9034746,37.4584367
"문래현대음악학원","서울특별시 영등포구 문래로4길 4 현대2차아파트상가 201,202호 문래동6가",126.8830537,37.520374
"평강보습학원","서울특별시 금천구 금하로 755 (시흥동)",126.9135638,37.4501538
"자매음악학원","서울특별시 구로구 중앙로5길 62   서울삼익가든상가 405호 고척동",126.8569277,37.49768
"모라니음악학원","서울특별시 영등포구 국제금융로7길 3 수정상가 303,304호 여의도동",126.9311893,37.5225233
"칸타빌레음악학원","서울특별시 구로구 구로중앙로7길 28   극동상가 302호 구로동",126.8897943,37.4909276
"센스음악학원","서울특별시 영등포구 당산로44길 3   삼성타운 5층 508호 당산동5가",126.9010058,37.5318988
