"학원명","학원주소","lon","lat"
"에듀탑원격보습학원","서울특별시 마포구 잔다리로7길 16 , 302호 (서교동, 서교동 교평빌딩)",126.9168018,37.5531788
"서울컴퓨터학원","서울특별시 서대문구 신촌로 117  3층 (창천동)",126.9323923,37.5580422
"예그린무용학원","서울특별시 은평구 응암로 304  (응암동)",126.9211775,37.5984271
"순복음신학원","서울특별시 은평구 역말로8길 5-1  1.2.3.4층 (대조동)",126.9226126,37.6100563
"중앙정보처리학원","서울특별시 마포구 신촌로 176 , 6층전부 (대흥동)",126.9451551,37.5564089
"신촌음악학원","서울특별시 마포구 신촌로 70  4층 (노고산동)",126.9423172,37.5549221
"디자인피플미술학원","서울특별시 마포구 와우산로 100  3.4층 (서교동)",126.9246863,37.5528076
"엠앤엠이화음악학원","서울특별시 마포구 월드컵로25길 98   2층 (망원동)",126.9023527,37.5574298
"씨앤씨2관미술학원","서울특별시 마포구 와우산로 91 , (3,4층) (서교동)",126.9238213,37.5526771
"삼익음악학원","서울특별시 은평구 역말로 85 ()",126.9192341,37.6072782
"희문음악학원","서울특별시 마포구 동교로19길 48  2층 (서교동)",126.9172369,37.5574411
"웅지독서실","서울특별시 마포구 대흥로 180  3층 (대흥동)",126.9461503,37.5550212
"능수독서실","서울특별시 서대문구 북아현로14길 27  3층 (북아현동)",126.9569614,37.5631112
"조연독서실","서울특별시 서대문구 거북골로 83  2층 (남가좌동)",126.9198736,37.5763644
"맥보습학원","서울특별시 서대문구 세무서길 83  2층 (홍제동)",126.9469092,37.5914738
"로뎀나무미술학원","서울특별시 은평구 서오릉로 152  2층 (갈현동)",126.9137086,37.6220821
"플러스학원","서울특별시 은평구 서오릉로17길 18-7  (2층)(구산동)",126.9077312,37.6135173
"수학을만나다학원","서울특별시 마포구 월드컵북로 218  2층 (성산동)",126.9080869,37.5610393
"문화영어수학전문학원","서울특별시 서대문구 세무서10길 15  지층B01호지층B02호 (홍제동)",126.9480067,37.591289
"메가펀잉글리쉬학원","서울특별시 은평구 은평로16길 4  2층 (응암동)",126.929792,37.6008717
"뮤엠영어역촌제1학원","서울특별시 은평구 진흥로1길 23   3층 (역촌동)",126.9184016,37.6025176
"상아미술학원","서울특별시 마포구 월드컵로31길 56 ,  2,3층 (망원동)",126.9012821,37.5559772
"비상아이비츠학원","서울특별시 서대문구 증가로10길 60-22 1,2층 (남가좌동)",126.9252607,37.5790797
"신연세음악학원","서울특별시 은평구 증산로15길 70 5층 (신사동)",126.9058134,37.5907207
"덕산독서실","서울특별시 은평구 갈현로3가길 5   2층3층 (신사동)",126.9071054,37.6011747
"인왕음악학원","서울특별시 서대문구 세무서길 31  2층 (홍제동)",126.9454929,37.5894483
"새글사랑웅변학원","서울특별시 은평구 연서로13길 13  2층 (구산동)",126.9143932,37.6095647
"연희피아노학원","서울특별시 서대문구 연희로 174  2층 (연희동)",126.9355673,37.5723477
"프리머스학원","서울특별시 마포구 포은로 117  3층 (망원동)",126.9042551,37.5573636
"인성보습학원","서울특별시 서대문구 모래내로 379  2층 (홍제동)",126.9376996,37.5830559
"서부보습학원","서울특별시 은평구 연서로4길 20  2층 (역촌동)",126.9181042,37.6024816
"위슬런학원","서울특별시 은평구 갈현로 209  2층 (갈현동)",126.9136238,37.6160504
"대조기찬학원","서울특별시 은평구 서오릉로10길 21  2층 (대조동)",126.919884,37.611992
"유한컴퓨터학원","서울특별시 서대문구 응암로 87  3층 (북가좌동)",126.9116913,37.5807637
"마포중앙학원","서울특별시 마포구 토정로 255  3층 (용강동)",126.9419481,37.5419619
"한양아이티전문학원","서울특별시 서대문구 통일로 463  2층 (홍제동)",126.9498096,37.5934486
"명지미술학원","서울특별시 서대문구 증가로 123  3층 (남가좌동)",126.9223809,37.5839244
"미성연세음악학원","서울특별시 은평구 통일로 752-21  3층 (불광동)",126.9332218,37.6223093
"신서당독서실","서울특별시 서대문구 응암로 28 307호 (북가좌동, 한양아파트)",126.908324,37.576308
"신촌연세학원","서울특별시 마포구 백범로1길 8-9 , 2층 (노고산동)",126.9377852,37.5539101
"홍은미성속셈학원","서울특별시 서대문구 모래내로 343  3층 (홍은동)",126.9345107,37.5808719
"응암홍익미술학원","서울특별시 은평구 가좌로7나길 30  2층 (응암동)",126.9184104,37.5838331
"예스탑학원","서울특별시 마포구 망원로 56  2층 (망원동)",126.9030074,37.5567772
"리배음악학원","서울특별시 마포구 마포대로11길 84  현대아파트 상가2층203.204 (공덕동)",126.9503207,37.5493707
"맥스터디학원","서울특별시 은평구 통일로69길 16  2.3층 (대조동)",126.9269262,37.6112399
"신촌대진학원","서울특별시 마포구 서강로 100  3층 (신수동)",126.9332104,37.5518685
"예진음악학원","서울특별시 마포구 망원로 57  2층 (망원동)",126.903175,37.5570815
